# Simulating growing object file directories
# 
# dir_split:          1
# example_file:       f/a/9/4/45086052549beddc54a439b229aceaee92c3
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          4
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:03:50.576776
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=01 --dir-depth=04 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7464880 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          1          4         1         5         1        ok       0.000  0x005cd3800  0x000186400  0x00594d400        25688          18        25670  6/5/6/f/d14fd0cf1d13d51ca94b94195f4ab0373df2
    0x1000          1          4         2         9         1        ok       0.000  0x005cd3800  0x000188800  0x00594b000        25688          23        25665  5/7/b/f/9fa25fa1d98387f04b5e5c416e1c105b3a4a
    0x1000          1          4         3        13         1        ok       0.000  0x005cd3800  0x00018ac00  0x005948c00        25688          28        25660  f/7/c/e/f6e4ca39cb8c2dde57ea572bbcad11d9bfb7
    0x1000          1          4         4        17         1        ok       0.000  0x005cd3800  0x00018d000  0x005946800        25688          33        25655  3/8/6/3/872a6235ce3f4e59e0040a8fbaef0fa650b5
    0x1000          1          4         5        21         1        ok       0.000  0x005cd3800  0x00018f400  0x005944400        25688          38        25650  7/4/4/5/e5d2117288bfa4e641555e98b5918926f2ea
    0x1000          1          4         6        25         1        ok       0.000  0x005cd3800  0x000191800  0x005942000        25688          43        25645  9/d/6/2/504764984a2ca74a1e939fd3a4262517c1b4
    0x1000          1          4         7        28         1        ok       0.000  0x005cd3800  0x000193800  0x005940000        25688          47        25641  5/0/9/d/47a028465e19a324b11a93646a3d621b7311
    0x1000          1          4         8        32         1        ok       0.000  0x005cd3800  0x000195c00  0x00593dc00        25688          52        25636  2/c/f/2/0cb2e9b8898a87ee05b329b79a5b3bdc2608
    0x1000          1          4         9        34         1        ok       0.000  0x005cd3800  0x000197800  0x00593c000        25688          55        25633  5/7/7/c/1e5e0856cc470628df59b619d72da19ffcf7
    0x1000          1          4        10        38         1        ok       0.000  0x005cd3800  0x000199c00  0x005939c00        25688          60        25628  1/f/0/6/98f7235d12534b3c0d764dbc5a2b53c6ffc2
    0x1000          1          4        11        42         1        ok       0.000  0x005cd3800  0x00019c000  0x005937800        25688          65        25623  e/d/3/9/a5fdec0848e98b49dc10d4625024a3bb4f75
    0x1000          1          4        12        45         1        ok       0.000  0x005cd3800  0x00019e000  0x005935800        25688          69        25619  9/a/5/e/43e7d10de1911545f6d1210f09a211150fd4
    0x1000          1          4        13        48         1        ok       0.000  0x005cd3800  0x0001a0000  0x005933800        25688          73        25615  6/4/6/d/302b56f13669cd8461612cceb57b2fdae104
    0x1000          1          4        14        52         1        ok       0.000  0x005cd3800  0x0001a2400  0x005931400        25688          78        25610  4/e/c/7/89949ddc311f901c1fb8219bf5c43b9e310f
    0x1000          1          4        15        54         1        ok       0.000  0x005cd3800  0x0001a4000  0x00592f800        25688          81        25607  9/d/9/a/527a4ff1a0bcd2eaf5b2bd6252c9b07a2690
    0x1000          1          4        16        57         1        ok       0.000  0x005cd3800  0x0001a6000  0x00592d800        25688          85        25603  2/4/5/2/aa75b0ad39b0f81a7b75f2edceecd3793a09
    0x1000          1          4        17        60         1        ok       0.000  0x005cd3800  0x0001a8000  0x00592b800        25688          89        25599  1/9/7/8/dbd363c13fee425a64ddf50122a5f7d6d282
    0x1000          1          4        18        63         1        ok       0.000  0x005cd3800  0x0001aa000  0x005929800        25688          93        25595  e/a/3/1/8f3b65b19494443cd9922f2796f7d414c232
    0x1000          1          4        19        66         1        ok       0.000  0x005cd3800  0x0001ac000  0x005927800        25688          97        25591  2/5/7/2/ebffbab21bbe007bebffb015a4f4fc92a826
    0x1000          1          4        20        69         1        ok       0.000  0x005cd3800  0x0001ae000  0x005925800        25688         101        25587  7/8/b/8/5f3f6b3520da908db7aa04b0fdf04c24e0dd
    0x1000          1          4        21        73         1        ok       0.000  0x005cd3800  0x0001b0400  0x005923400        25688         106        25582  b/b/4/6/20ca9b5b0a5d61cb6ee09d0c7f6663c9b749
    0x1000          1          4        22        76         1        ok       0.000  0x005cd3800  0x0001b2400  0x005921400        25688         110        25578  6/7/6/8/6e6dabf815df78866e5f9c08c10dafff9bda
    0x1000          1          4        23        79         1        ok       0.000  0x005cd3800  0x0001b4400  0x00591f400        25688         114        25574  b/9/c/3/8b2fa40344a79ccafaeb93695a28e03410c6
    0x1000          1          4        24        81         1        ok       0.000  0x005cd3800  0x0001b6000  0x00591d800        25688         117        25571  5/7/0/6/1f2a4863058a11328a806c84c48f9d8625c6
    0x1000          1          4        25        84         1        ok       0.000  0x005cd3800  0x0001b8000  0x00591b800        25688         121        25567  7/1/1/7/a508225bccf3f35fd0094bcdf1bcf707af65
    0x1000          1          4        26        88         1        ok       0.000  0x005cd3800  0x0001ba400  0x005919400        25688         126        25562  d/0/e/8/9663452e01e19db8e4cc7634c49df7fc746a
