# Simulating growing object file directories
# 
# dir_split:          1
# example_file:       5/9/0/d/d/2/f/174ececa7dccc609c651fabb109e083eb
# reformat_partition: /dev/murphytest03-vg/smalltest
# data_gen:           random
# dir_depth:          7
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:08:32.503612
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=01 --dir-depth=07 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest03-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7423412 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          1          7         1         8         1        ok       0.000  0x005cd3800  0x000187000  0x00594c800        25688          21        25667  a/e/f/c/9/d/f/261eb59da8ee1862448aea771dd5df8e4
    0x1000          1          7         2        15         1        ok       0.000  0x005cd3800  0x00018a000  0x005949800        25688          29        25659  7/7/8/7/9/7/8/180bcbbbb221a03e1164e3be286055aba
    0x1000          1          7         3        21         1        ok       0.000  0x005cd3800  0x00018cc00  0x005946c00        25688          36        25652  7/a/6/a/2/6/a/8e4325c9431e6330b90f4e0e54df48b22
    0x1000          1          7         4        28         1        ok       0.000  0x005cd3800  0x00018fc00  0x005943c00        25688          44        25644  5/8/7/a/a/6/e/13b5271820dddfde5bdaaa5f1dc353680
    0x1000          1          7         5        35         1        ok       0.000  0x005cd3800  0x000192c00  0x005940c00        25688          52        25636  6/9/0/9/5/e/1/71789b2bebdc5f53e953111e092458ed8
    0x1000          1          7         6        42         1        ok       0.000  0x005cd3800  0x000195c00  0x00593dc00        25688          60        25628  3/0/d/f/e/a/1/b8f748a2647e5bd018ec9919f1a1b487f
    0x1000          1          7         7        49         1        ok       0.000  0x005cd3800  0x000198c00  0x00593ac00        25688          68        25620  f/1/2/9/a/a/9/e506865569e5bb3c4b978f1816492ff4b
    0x1000          1          7         8        56         1        ok       0.000  0x005cd3800  0x00019bc00  0x005937c00        25688          76        25612  8/6/b/6/f/5/8/62029341add40394702e9cce0dde15139
    0x1000          1          7         9        63         1        ok       0.000  0x005cd3800  0x00019ec00  0x005934c00        25688          84        25604  2/1/4/0/1/d/3/c48f4e47c5394cdb7b9c6ac7339d5cae9
    0x1000          1          7        10        70         1        ok       0.000  0x005cd3800  0x0001a1c00  0x005931c00        25688          92        25596  1/9/5/9/6/3/9/084c820f722c9f3898c1b7a1d8bcdf703
    0x1000          1          7        11        77         1        ok       0.000  0x005cd3800  0x0001a4c00  0x00592ec00        25688         100        25588  0/c/0/2/d/4/f/30af34d49461c328a4bbe41bd7a263d86
