# Simulating growing object file directories
# 
# dir_split:          1
# example_file:       a/e/d/2/4/b/d/3/f47b5643428bd34cc685d5bed6d3f379
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          8
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:07:06.952957
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=01 --dir-depth=08 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7460812 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          1          8         1         9         1        ok       0.000  0x005cd3800  0x000187400  0x00594c400        25688          22        25666  9/4/0/d/c/2/4/6/b9c4a422b9bc2a77296a93d7d5770b1b
    0x1000          1          8         2        17         1        ok       0.000  0x005cd3800  0x00018a800  0x005949000        25688          31        25657  7/2/f/1/7/d/5/3/5cf6fb58e467b05240d4dd8387e3e41c
    0x1000          1          8         3        25         1        ok       0.000  0x005cd3800  0x00018dc00  0x005945c00        25688          40        25648  a/5/a/8/5/a/7/7/543f4ccf2f6b57423e10c38ab810e9aa
    0x1000          1          8         4        33         1        ok       0.000  0x005cd3800  0x000191000  0x005942800        25688          49        25639  b/b/c/4/d/2/9/d/55cca836ac6bf6a77a32935656d05e78
    0x1000          1          8         5        41         1        ok       0.000  0x005cd3800  0x000194400  0x00593f400        25688          58        25630  0/0/1/f/a/3/d/3/3e48843158c379f2cfdc3dc78b371941
    0x1000          1          8         6        48         1        ok       0.000  0x005cd3800  0x000197400  0x00593c400        25688          66        25622  a/9/c/5/6/0/8/c/dfe9d69db5864fcd378860108eabff15
    0x1000          1          8         7        56         1        ok       0.000  0x005cd3800  0x00019a800  0x005939000        25688          75        25613  6/a/b/0/2/0/8/e/22e2e757426d74eedd16cff4b3b309a4
    0x1000          1          8         8        64         1        ok       0.000  0x005cd3800  0x00019dc00  0x005935c00        25688          84        25604  e/7/3/5/b/0/3/e/45e37bceb7f710850d8ea26cf4f47425
    0x1000          1          8         9        72         1        ok       0.000  0x005cd3800  0x0001a1000  0x005932800        25688          93        25595  d/e/d/d/6/f/9/0/1951b139c4e0b3cc12fb5615b90fa157
    0x1000          1          8        10        80         1        ok       0.000  0x005cd3800  0x0001a4400  0x00592f400        25688         102        25586  c/7/e/d/d/a/f/b/e541c1076254d763ab9067e4c74c63c1
    0x1000          1          8        11        87         1        ok       0.000  0x005cd3800  0x0001a7400  0x00592c400        25688         110        25578  b/e/f/c/1/a/c/f/a3822bcc3130d6b6a9e70f8396bbea26
    0x1000          1          8        12        94         1        ok       0.000  0x005cd3800  0x0001aa400  0x005929400        25688         118        25570  9/7/8/4/5/a/8/2/689b7dd066e5e4207e86f8d0a7886c87
    0x1000          1          8        13       102         1        ok       0.000  0x005cd3800  0x0001ad800  0x005926000        25688         127        25561  1/9/8/1/a/5/7/4/a9bf3479efd6887e10f3216f733c3d12
    0x1000          1          8        14       110         1        ok       0.000  0x005cd3800  0x0001b0c00  0x005922c00        25688         136        25552  4/2/3/f/f/e/5/9/45adc9191ce3bb5eb48c84ff88cdba4e
    0x1000          1          8        15       118         1        ok       0.000  0x005cd3800  0x0001b4000  0x00591f800        25688         145        25543  2/0/e/2/4/4/8/e/67e16e78f6e406782a3b874181ee10fd
    0x1000          1          8        16       125         1        ok       0.000  0x005cd3800  0x0001b7000  0x00591c800        25688         153        25535  9/a/2/5/7/3/8/2/843a193af35005d26044d16df78b1f7e
    0x1000          1          8        17       132         1        ok       0.000  0x005cd3800  0x0001ba000  0x005919800        25688         161        25527  0/d/4/8/1/1/5/7/d13f9b6ebc25500a3fb69f2126f7c3f7
    0x1000          1          8        18       139         1        ok       0.000  0x005cd3800  0x0001bd000  0x005916800        25688         169        25519  a/e/c/4/e/c/e/d/abc462ca53d38ce6f51339d47eb07d9d
    0x1000          1          8        19       146         1        ok       0.000  0x005cd3800  0x0001c0000  0x005913800        25688         177        25511  2/6/0/8/8/9/4/8/df0e1156baee008aa008d5a236c6002a
    0x1000          1          8        20       153         1        ok       0.000  0x005cd3800  0x0001c3000  0x005910800        25688         185        25503  4/9/1/3/0/9/3/6/b910433994ea2e2169e5e7be5964847a
    0x1000          1          8        21       160         1        ok       0.000  0x005cd3800  0x0001c6000  0x00590d800        25688         193        25495  2/b/1/9/e/d/0/b/964ca211af871f8bbb957ad704254c77
    0x1000          1          8        22       167         1        ok       0.000  0x005cd3800  0x0001c9000  0x00590a800        25688         201        25487  0/4/1/6/e/6/2/4/58e5b4433c7945ce53193f53d1e8bc0e
    0x1000          1          8        23       174         1        ok       0.000  0x005cd3800  0x0001cc000  0x005907800        25688         209        25479  6/3/a/3/e/6/d/d/89bc319d6191ca44f5d9f5d4b4218d81
    0x1000          1          8        24       179         1        ok       0.000  0x005cd3800  0x0001ce800  0x005905000        25688         215        25473  1/9/8/4/3/7/8/2/f997635b904326336fbeef4a64b90f33
    0x1000          1          8        25       187         1        ok       0.000  0x005cd3800  0x0001d1c00  0x005901c00        25688         224        25464  f/d/6/b/7/0/3/8/b85f2d13f3525422221f9920aa06bb3a
    0x1000          1          8        26       193         1        ok       0.000  0x005cd3800  0x0001d4800  0x0058ff000        25688         231        25457  6/a/0/d/b/8/7/0/fcfa964a1713525efa4677b9e1f0c20c
    0x1000          1          8        27       200         1        ok       0.000  0x005cd3800  0x0001d7800  0x0058fc000        25688         239        25449  1/f/e/7/6/9/c/6/bd14218d05915571cebcc6ffd008d54c
    0x1000          1          8        28       207         1        ok       0.000  0x005cd3800  0x0001da800  0x0058f9000        25688         247        25441  f/2/6/9/5/c/6/1/b40d04fc4e042560a1a642e7a116eeb1
    0x1000          1          8        29       214         1        ok       0.000  0x005cd3800  0x0001dd800  0x0058f6000        25688         255        25433  4/1/4/9/7/4/3/2/58001b2825269232a7b766570f731bc0
    0x1000          1          8        30       220         1        ok       0.000  0x005cd3800  0x0001e0400  0x0058f3400        25688         262        25426  9/7/9/a/b/8/7/3/30fd465e88acbbffe826a9d73dd43cbc
    0x1000          1          8        31       227         1        ok       0.000  0x005cd3800  0x0001e3400  0x0058f0400        25688         270        25418  f/0/5/9/f/f/d/5/20bdfee7167146e4f5b145d52e8846eb
    0x1000          1          8        32       234         1        ok       0.000  0x005cd3800  0x0001e6400  0x0058ed400        25688         278        25410  9/e/b/7/6/c/c/1/797c54ac0dd8d30cc809002e5cf829ed
    0x1000          1          8        33       241         1        ok       0.000  0x005cd3800  0x0001e9400  0x0058ea400        25688         286        25402  7/5/1/9/f/6/b/3/36e7833ceefb61fc7dfa3d948729ff55
    0x1000          1          8        34       248         1        ok       0.000  0x005cd3800  0x0001ec400  0x0058e7400        25688         294        25394  e/e/a/8/5/e/f/a/2a40abe13687b5de9e817c857c9d877b
    0x1000          1          8        35       255         1        ok       0.000  0x005cd3800  0x0001ef400  0x0058e4400        25688         302        25386  f/1/f/3/a/9/5/5/69be34858599476f419c92cf9c3e76b6
    0x1000          1          8        36       262         1        ok       0.000  0x005cd3800  0x0001f2400  0x0058e1400        25688         310        25378  f/f/1/c/9/5/6/2/95f85ad979217cd95109b4b75eaf4c9e
    0x1000          1          8        37       269         1        ok       0.000  0x005cd3800  0x0001f5400  0x0058de400        25688         318        25370  b/7/0/8/5/d/b/e/b2885476c462afecc6ba6e7a191c4ca8
    0x1000          1          8        38       276         1        ok       0.000  0x005cd3800  0x0001f8400  0x0058db400        25688         326        25362  e/0/0/c/8/0/f/5/c773d6d7acc207a8b47543e682bca679
    0x1000          1          8        39       283         1        ok       0.000  0x005cd3800  0x0001fb400  0x0058d8400        25688         334        25354  4/c/1/f/8/f/0/7/8485c40038691dd1d5d1a0fba470f039
    0x1000          1          8        40       290         1        ok       0.000  0x005cd3800  0x0001fe400  0x0058d5400        25688         342        25346  9/2/8/c/5/8/6/d/3914c91a27ab8c427e1222d3d70496c8
    0x1000          1          8        41       295         1        ok       0.000  0x005cd3800  0x000200c00  0x0058d2c00        25688         348        25340  9/7/8/c/5/4/4/5/41baaad874bd6ade5ed254cef7f268ea
    0x1000          1          8        42       302         1        ok       0.000  0x005cd3800  0x000203c00  0x0058cfc00        25688         356        25332  2/e/9/d/2/7/8/c/92b69afad1bad3e8da7185d594a538bf
    0x1000          1          8        43       309         1        ok       0.000  0x005cd3800  0x000206c00  0x0058ccc00        25688         364        25324  d/b/1/5/c/5/0/1/d4e39902514390e3c3a37ff9e39d5c6e
    0x1000          1          8        44       316         1        ok       0.000  0x005cd3800  0x000209c00  0x0058c9c00        25688         372        25316  d/3/0/6/4/7/4/c/e39a004dd8ac13e9966e26c9e0c33ac0
    0x1000          1          8        45       323         1        ok       0.000  0x005cd3800  0x00020cc00  0x0058c6c00        25688         380        25308  6/8/b/2/3/e/b/3/d5124a0437c7d09a5a51f8adc863f736
    0x1000          1          8        46       330         1        ok       0.000  0x005cd3800  0x00020fc00  0x0058c3c00        25688         388        25300  4/f/6/4/7/c/f/7/bc6eb0636ae6f9a12671d59dc3c098c7
    0x1000          1          8        47       338         1        ok       0.000  0x005cd3800  0x000213000  0x0058c0800        25688         397        25291  8/5/5/e/9/7/8/e/e9c7df0219006c863dbae0a297b78276
    0x1000          1          8        48       346         1        ok       0.000  0x005cd3800  0x000216400  0x0058bd400        25688         406        25282  3/4/4/4/7/5/3/8/fdacf923ef3073a98ba0321e161526ff
    0x1000          1          8        49       353         1        ok       0.000  0x005cd3800  0x000219400  0x0058ba400        25688         414        25274  d/2/a/2/b/a/6/6/147f1e699fdcae70bf94b690887365d0
    0x1000          1          8        50       360         1        ok       0.000  0x005cd3800  0x00021c400  0x0058b7400        25688         422        25266  c/6/b/3/6/1/6/b/47dbd3611a4c9b885b3b61ed113dd019
    0x1000          1          8        51       368         1        ok       0.000  0x005cd3800  0x00021f800  0x0058b4000        25688         431        25257  5/b/a/2/9/a/5/a/41f6b0690921c010b542a6989e9aec9c
    0x1000          1          8        52       375         1        ok       0.000  0x005cd3800  0x000222800  0x0058b1000        25688         439        25249  9/9/f/2/e/9/c/e/880749e9f5113fb131069f30b2b45ea7
    0x1000          1          8        53       382         1        ok       0.000  0x005cd3800  0x000225800  0x0058ae000        25688         447        25241  2/7/9/8/1/0/6/7/1f266cdd34236106a4506af7e8916534
    0x1000          1          8        54       389         1        ok       0.000  0x005cd3800  0x000228800  0x0058ab000        25688         455        25233  1/7/2/0/6/9/b/0/a149d7c5ed663354989a83b15b0a048d
    0x1000          1          8        55       395         1        ok       0.000  0x005cd3800  0x00022b400  0x0058a8400        25688         462        25226  1/f/8/6/9/3/d/8/660da7d4bcdd402d8320a906ebea252d
    0x1000          1          8        56       402         1        ok       0.001  0x005cd3800  0x00022e400  0x0058a5400        25688         470        25218  4/3/f/7/f/9/1/0/24f7d6c30f87b8cd809b889acc6c81f1
    0x1000          1          8        57       409         1        ok       0.001  0x005cd3800  0x000231400  0x0058a2400        25688         478        25210  c/f/c/6/8/6/d/5/360ab2a4aa31631f17c6a15f45449b39
    0x1000          1          8        58       416         1        ok       0.000  0x005cd3800  0x000234400  0x00589f400        25688         486        25202  7/c/c/2/2/6/d/b/204a8b07935166200863639031b566ef
    0x1000          1          8        59       423         1        ok       0.000  0x005cd3800  0x000237400  0x00589c400        25688         494        25194  7/b/e/2/5/4/8/f/e0e0aa9bd4ccfb66d167357d1d00b840
    0x1000          1          8        60       430         1        ok       0.000  0x005cd3800  0x00023a400  0x005899400        25688         502        25186  8/1/3/3/1/b/d/c/37259e29e642bb96db006de158a0bbb5
    0x1000          1          8        61       437         1        ok       0.000  0x005cd3800  0x00023d400  0x005896400        25688         510        25178  2/3/f/d/0/7/2/5/a2ff6e9e732a00206c63995d41b00b02
    0x1000          1          8        62       444         1        ok       0.000  0x005cd3800  0x000240400  0x005893400        25688         518        25170  d/4/d/8/4/6/6/6/1b381af4a844c01bafb296ae70e0c628
    0x1000          1          8        63       451         1        ok       0.000  0x005cd3800  0x000243400  0x005890400        25688         526        25162  8/b/7/3/d/7/e/3/8694a8b8780cddec7c0f671d15ccbb79
    0x1000          1          8        64       458         1        ok       0.000  0x005cd3800  0x000246400  0x00588d400        25688         534        25154  6/4/f/e/3/0/1/0/ff9476fcf488cf052af0649d04bc6414
    0x1000          1          8        65       465         1        ok       0.000  0x005cd3800  0x000249400  0x00588a400        25688         542        25146  a/2/8/5/0/a/c/f/5f16c74ab1fb1867401573d00c7a1f3c
    0x1000          1          8        66       471         1        ok       0.000  0x005cd3800  0x00024c000  0x005887800        25688         549        25139  9/a/c/9/4/5/f/c/35356e252ca993d9811d5a970047322c
    0x1000          1          8        67       478         1        ok       0.000  0x005cd3800  0x00024f000  0x005884800        25688         557        25131  5/5/4/0/1/a/c/2/6b24f91d0c6e680caedd08c1ff2021bd
