# Simulating growing object file directories
# 
# dir_split:          1
# example_file:       5/4/e/0/3/2/3/c/cff0b8464a0afbc0e883b9eb29b836e7
# reformat_partition: /dev/murphytest03-vg/smalltest
# data_gen:           random
# dir_depth:          8
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:09:11.693526
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=01 --dir-depth=08 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest03-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7422220 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          1          8         1         9         1        ok       0.000  0x005cd3800  0x000187400  0x00594c400        25688          22        25666  9/2/0/0/8/d/d/8/760fd2fdfd93832927515801aa062170
    0x1000          1          8         2        17         1        ok       0.000  0x005cd3800  0x00018a800  0x005949000        25688          31        25657  6/f/1/e/5/d/3/9/41c5ceea7eec4a453b74975ed16072c3
    0x1000          1          8         3        25         1        ok       0.000  0x005cd3800  0x00018dc00  0x005945c00        25688          40        25648  e/5/b/a/d/0/5/4/6707e8a15bd9363e0166e50f37c2e2be
    0x1000          1          8         4        33         1        ok       0.000  0x005cd3800  0x000191000  0x005942800        25688          49        25639  f/0/7/4/e/4/d/4/3462025533be386facdb65a72d392eca
    0x1000          1          8         5        40         1        ok       0.000  0x005cd3800  0x000194000  0x00593f800        25688          57        25631  f/d/0/d/2/8/0/5/d99c80b795ca6add8aca02ab0f9f2edd
    0x1000          1          8         6        48         1        ok       0.000  0x005cd3800  0x000197400  0x00593c400        25688          66        25622  8/f/c/f/f/d/a/3/ba356ba9dfdb032bb8a0cb2789c9d603
    0x1000          1          8         7        56         1        ok       0.000  0x005cd3800  0x00019a800  0x005939000        25688          75        25613  5/6/0/8/c/a/2/5/62d43e1b08b9908b5b6c0b77204c1e73
    0x1000          1          8         8        63         1        ok       0.000  0x005cd3800  0x00019d800  0x005936000        25688          83        25605  f/8/e/1/c/5/e/d/23304cffaa860574c68b9e44b97e2cef
    0x1000          1          8         9        70         1        ok       0.000  0x005cd3800  0x0001a0800  0x005933000        25688          91        25597  6/c/8/3/6/8/8/7/80078c36ed3e4f74a381aeeb0b91a26d
    0x1000          1          8        10        78         1        ok       0.000  0x005cd3800  0x0001a3c00  0x00592fc00        25688         100        25588  b/2/4/c/9/e/d/2/a8d9b4c7572e54c93a7fa35cb449c1fa
