# Simulating growing object file directories
# 
# dir_split:          1
# example_file:       7/5/5/8/9/6/a/1/21340e2c69068a30ed1f7d292b6e0e97
# reformat_partition: /dev/murphytest04-vg/smalltest
# data_gen:           random
# dir_depth:          8
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:07:46.307938
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=01 --dir-depth=08 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest04-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7434192 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          1          8         1         9         1        ok       0.000  0x005cd3800  0x000187400  0x00594c400        25688          22        25666  d/7/4/6/d/3/6/f/84d14dd9c81759d5e7e69bda22eee69f
    0x1000          1          8         2        17         1        ok       0.000  0x005cd3800  0x00018a800  0x005949000        25688          31        25657  9/1/7/a/8/b/f/5/a5b70ceded281c8a646fc398b9277e44
    0x1000          1          8         3        25         1        ok       0.000  0x005cd3800  0x00018dc00  0x005945c00        25688          40        25648  b/a/9/e/d/7/2/6/6d24bbc4bc900e69638495a30fd9289e
    0x1000          1          8         4        33         1        ok       0.000  0x005cd3800  0x000191000  0x005942800        25688          49        25639  7/b/1/f/c/8/3/5/920172a58a92a8af03fdf0b8bc56b611
    0x1000          1          8         5        41         1        ok       0.000  0x005cd3800  0x000194400  0x00593f400        25688          58        25630  5/1/8/9/c/4/4/c/e22b4fc961c70271215d1b1f85e9049f
    0x1000          1          8         6        47         1        ok       0.000  0x005cd3800  0x000197000  0x00593c800        25688          65        25623  9/1/9/e/f/a/e/f/4109064ffc498dc2277c9240e7e1e201
    0x1000          1          8         7        55         1        ok       0.000  0x005cd3800  0x00019a400  0x005939400        25688          74        25614  1/f/e/8/a/9/6/1/bd08834803a20313533fed0a09a38321
    0x1000          1          8         8        63         1        ok       0.000  0x005cd3800  0x00019d800  0x005936000        25688          83        25605  8/c/f/6/7/8/e/b/052bc30aa1dbbb850291d2eb68cb4758
    0x1000          1          8         9        70         1        ok       0.000  0x005cd3800  0x0001a0800  0x005933000        25688          91        25597  5/5/c/1/7/4/3/4/54fcb3570fc7db75970e92f4f019cfda
    0x1000          1          8        10        77         1        ok       0.000  0x005cd3800  0x0001a3800  0x005930000        25688          99        25589  9/0/f/0/1/7/1/1/60050a37654bc547f65b4028af87036f
    0x1000          1          8        11        84         1        ok       0.000  0x005cd3800  0x0001a6800  0x00592d000        25688         107        25581  7/4/f/5/4/e/4/9/3c456a8d8ccf3bf0ec445c3b46a14d5d
    0x1000          1          8        12        92         1        ok       0.000  0x005cd3800  0x0001a9c00  0x005929c00        25688         116        25572  e/0/b/5/f/6/1/8/8c9866150b3da04a616c5eb5ee21367e
    0x1000          1          8        13        99         1        ok       0.000  0x005cd3800  0x0001acc00  0x005926c00        25688         124        25564  7/6/0/9/e/6/1/d/65383df77ff78cd75376ad29793e78f0
    0x1000          1          8        14       107         1        ok       0.000  0x005cd3800  0x0001b0000  0x005923800        25688         133        25555  4/6/6/a/5/c/0/8/19c84ee04f8254388815f3d8599afea1
    0x1000          1          8        15       114         1        ok       0.000  0x005cd3800  0x0001b3000  0x005920800        25688         141        25547  e/1/f/5/5/8/2/7/261dfc98c2098e24bb41e25218333e71
    0x1000          1          8        16       122         1        ok       0.000  0x005cd3800  0x0001b6400  0x00591d400        25688         150        25538  c/7/5/2/4/d/c/b/eed060b490f876394a26d9d324f97894
    0x1000          1          8        17       129         1        ok       0.000  0x005cd3800  0x0001b9400  0x00591a400        25688         158        25530  b/0/c/1/0/e/c/1/ad1ebf5f7baae8ae621eddab55ea91ae
    0x1000          1          8        18       137         1        ok       0.000  0x005cd3800  0x0001bc800  0x005917000        25688         167        25521  6/6/f/4/1/f/8/f/ae4fed3b18070676f729ef5f6640dab3
    0x1000          1          8        19       144         1        ok       0.000  0x005cd3800  0x0001bf800  0x005914000        25688         175        25513  4/e/6/0/3/b/2/d/1b0d362ac68c2da47cfbea7281f090c0
    0x1000          1          8        20       150         1        ok       0.000  0x005cd3800  0x0001c2400  0x005911400        25688         182        25506  b/a/c/5/f/5/0/1/64a045d38d624b9c89b9dfa634db7247
    0x1000          1          8        21       157         1        ok       0.000  0x005cd3800  0x0001c5400  0x00590e400        25688         190        25498  d/5/7/8/9/7/d/3/dea89d8910d30b1b864dd08aed61fa08
    0x1000          1          8        22       164         1        ok       0.000  0x005cd3800  0x0001c8400  0x00590b400        25688         198        25490  c/9/5/a/5/a/2/f/5750525b9e84819a20f49ee158a6d0d6
    0x1000          1          8        23       171         1        ok       0.000  0x005cd3800  0x0001cb400  0x005908400        25688         206        25482  b/3/b/e/4/3/5/a/b495cc7ef1fecaa1364f7187cfb9f6c4
    0x1000          1          8        24       178         1        ok       0.000  0x005cd3800  0x0001ce400  0x005905400        25688         214        25474  8/e/0/6/4/a/b/6/c76934bd58a3f46068ab3cc900de8625
    0x1000          1          8        25       185         1        ok       0.000  0x005cd3800  0x0001d1400  0x005902400        25688         222        25466  6/0/f/7/f/1/8/7/41147f0948f8fcb474b49f7aa0c877e9
    0x1000          1          8        26       192         1        ok       0.000  0x005cd3800  0x0001d4400  0x0058ff400        25688         230        25458  9/c/7/a/0/2/6/0/f6cec976b8b64b6a56fc85e09bb1567d
    0x1000          1          8        27       199         1        ok       0.000  0x005cd3800  0x0001d7400  0x0058fc400        25688         238        25450  b/8/7/d/e/c/2/5/8e600c850f6a9aaffe59649a95b994bb
    0x1000          1          8        28       206         1        ok       0.000  0x005cd3800  0x0001da400  0x0058f9400        25688         246        25442  d/b/0/7/2/6/9/6/e847b2f40466690dac516bfe537e4ce9
    0x1000          1          8        29       213         1        ok       0.000  0x005cd3800  0x0001dd400  0x0058f6400        25688         254        25434  1/2/6/e/d/1/c/e/fb6525dc79cfab8336ed365312ce9a4d
    0x1000          1          8        30       221         1        ok       0.000  0x005cd3800  0x0001e0800  0x0058f3000        25688         263        25425  a/6/3/3/4/a/9/9/da357f22a5158c98e33ae7db1a874142
    0x1000          1          8        31       229         1        ok       0.000  0x005cd3800  0x0001e3c00  0x0058efc00        25688         272        25416  0/1/b/1/7/7/f/2/017c1f973c25ae7a33bcca01d79c5c97
    0x1000          1          8        32       235         1        ok       0.000  0x005cd3800  0x0001e6800  0x0058ed000        25688         279        25409  a/6/1/6/0/3/f/5/26a3dafda55d6a7d7623e5875983a302
    0x1000          1          8        33       241         1        ok       0.000  0x005cd3800  0x0001e9400  0x0058ea400        25688         286        25402  4/6/1/c/1/a/8/b/7e6516ed64b50e1c09199bcf9de2f3d8
    0x1000          1          8        34       248         1        ok       0.000  0x005cd3800  0x0001ec400  0x0058e7400        25688         294        25394  b/c/f/9/0/0/0/3/997a98e97db2b81d60d1ed95e9b668d7
    0x1000          1          8        35       255         1        ok       0.000  0x005cd3800  0x0001ef400  0x0058e4400        25688         302        25386  b/1/a/6/8/7/0/8/924cf06af9f2b8870c7e9dc2ea1d4f09
    0x1000          1          8        36       263         1        ok       0.000  0x005cd3800  0x0001f2800  0x0058e1000        25688         311        25377  f/0/c/0/1/7/4/e/f9cea8c1e2d975e5b6a0dc5e516d737a
    0x1000          1          8        37       270         1        ok       0.000  0x005cd3800  0x0001f5800  0x0058de000        25688         319        25369  9/5/6/2/4/9/2/5/8d893a68aeb71f18394ccb27291c6246
    0x1000          1          8        38       277         1        ok       0.000  0x005cd3800  0x0001f8800  0x0058db000        25688         327        25361  7/e/3/7/8/6/d/8/43f2f6788163f8fd74370e8e18e8bbaf
    0x1000          1          8        39       284         1        ok       0.000  0x005cd3800  0x0001fb800  0x0058d8000        25688         335        25353  a/f/d/8/6/4/a/0/6f236a6c465595d8a6ec5fa409bb9b8f
    0x1000          1          8        40       290         1        ok       0.000  0x005cd3800  0x0001fe400  0x0058d5400        25688         342        25346  a/6/9/1/0/9/0/8/3a16153e5456776b324aef7dad249ca9
    0x1000          1          8        41       297         1        ok       0.000  0x005cd3800  0x000201400  0x0058d2400        25688         350        25338  d/d/0/b/d/5/3/4/19af643d7a7fbacc443588d4e3e1bccf
    0x1000          1          8        42       304         1        ok       0.000  0x005cd3800  0x000204400  0x0058cf400        25688         358        25330  8/1/1/d/1/6/5/b/e217fd05c1ea548073968401d2ab897e
    0x1000          1          8        43       311         1        ok       0.000  0x005cd3800  0x000207400  0x0058cc400        25688         366        25322  9/7/9/2/f/c/7/3/0a90d60ad67cf0a5c2da5fa66132cdc2
    0x1000          1          8        44       319         1        ok       0.000  0x005cd3800  0x00020a800  0x0058c9000        25688         375        25313  3/6/c/f/1/3/3/b/e1a0100dd33578a6aeec9509e2b51f8e
    0x1000          1          8        45       325         1        ok       0.000  0x005cd3800  0x00020d400  0x0058c6400        25688         382        25306  7/e/e/8/1/b/9/3/ca8e320f26cbbd73830bbf6d4301d9e3
    0x1000          1          8        46       332         1        ok       0.000  0x005cd3800  0x000210400  0x0058c3400        25688         390        25298  1/1/0/c/f/7/4/6/0f575effe83cf0f713b02bc9344dc14d
    0x1000          1          8        47       339         1        ok       0.000  0x005cd3800  0x000213400  0x0058c0400        25688         398        25290  8/3/1/8/9/1/e/e/1be0b9875fafb85537bc6ea2ac62362e
    0x1000          1          8        48       346         1        ok       0.000  0x005cd3800  0x000216400  0x0058bd400        25688         406        25282  c/0/c/b/e/6/e/1/63f549ee9ceeafcb5b9f27c04c409504
    0x1000          1          8        49       353         1        ok       0.000  0x005cd3800  0x000219400  0x0058ba400        25688         414        25274  7/d/e/c/d/1/5/b/3133c8a956df442cc1a7bedfe2c565da
    0x1000          1          8        50       360         1        ok       0.000  0x005cd3800  0x00021c400  0x0058b7400        25688         422        25266  4/7/9/e/0/2/3/d/3f01efeef57a6ce0472f5d9982d074da
    0x1000          1          8        51       367         1        ok       0.000  0x005cd3800  0x00021f400  0x0058b4400        25688         430        25258  5/6/d/a/3/1/1/7/66638a748eb59a8cc2d8eaea8f56355d
    0x1000          1          8        52       374         1        ok       0.000  0x005cd3800  0x000222400  0x0058b1400        25688         438        25250  0/d/2/8/2/0/8/e/56d013a960e4ddb18bd4a748ede46552
    0x1000          1          8        53       381         1        ok       0.000  0x005cd3800  0x000225400  0x0058ae400        25688         446        25242  5/b/8/c/2/1/b/7/696e4008f64ff685baa932be1e12d04c
    0x1000          1          8        54       388         1        ok       0.000  0x005cd3800  0x000228400  0x0058ab400        25688         454        25234  b/d/4/a/3/8/2/d/953481e96e6b44cebb28c9471abedcf7
    0x1000          1          8        55       395         1        ok       0.000  0x005cd3800  0x00022b400  0x0058a8400        25688         462        25226  a/a/e/0/4/e/1/9/3070b2477869d95cd50b8660519c10d5
    0x1000          1          8        56       402         1        ok       0.000  0x005cd3800  0x00022e400  0x0058a5400        25688         470        25218  e/b/9/5/1/6/6/7/118252af9d8ac55a39dc6ade6fe0ae41
    0x1000          1          8        57       409         1        ok       0.000  0x005cd3800  0x000231400  0x0058a2400        25688         478        25210  7/5/2/5/0/6/7/a/c81d5ee79dc16554cdc4f6d9e8f81e98
    0x1000          1          8        58       415         1        ok       0.000  0x005cd3800  0x000234000  0x00589f800        25688         485        25203  b/d/1/0/3/3/7/6/4011143d63860a2f4e591069ec0df5b2
    0x1000          1          8        59       421         1        ok       0.000  0x005cd3800  0x000236c00  0x00589cc00        25688         492        25196  6/6/4/b/2/a/1/5/6e16c5d548e6184b94208b4a1ddbd9cc
    0x1000          1          8        60       428         1        ok       0.000  0x005cd3800  0x000239c00  0x005899c00        25688         500        25188  6/3/5/0/b/7/5/f/61ad7a380f13cc1d0c6a06c1e5b6f0c5
    0x1000          1          8        61       434         1        ok       0.000  0x005cd3800  0x00023c800  0x005897000        25688         507        25181  6/6/2/a/4/1/4/2/93a98903949c86d77e00d7a1cfcfab76
    0x1000          1          8        62       441         1        ok       0.000  0x005cd3800  0x00023f800  0x005894000        25688         515        25173  6/c/d/f/4/7/9/5/1cc89a772d2a23bf3802716f47d52805
    0x1000          1          8        63       448         1        ok       0.000  0x005cd3800  0x000242800  0x005891000        25688         523        25165  f/4/0/7/f/f/6/8/77dc2cad842072047fc459cd8e5f14dd
    0x1000          1          8        64       455         1        ok       0.000  0x005cd3800  0x000245800  0x00588e000        25688         531        25157  d/1/b/3/e/f/1/2/41377918219731577021fcc820966ead
    0x1000          1          8        65       462         1        ok       0.000  0x005cd3800  0x000248800  0x00588b000        25688         539        25149  8/0/d/e/a/a/6/e/95e6a0c901ab1362f2bd3b94f47647fa
    0x1000          1          8        66       469         1        ok       0.000  0x005cd3800  0x00024b800  0x005888000        25688         547        25141  f/3/c/5/3/3/8/6/ebf86b5c8e5ad1842d9f15ff2103529f
    0x1000          1          8        67       475         1        ok       0.000  0x005cd3800  0x00024e400  0x005885400        25688         554        25134  5/1/d/f/3/f/5/0/181cdee43042b8965cc77208bdba7c7d
    0x1000          1          8        68       482         1        ok       0.000  0x005cd3800  0x000251400  0x005882400        25688         562        25126  7/2/9/6/c/a/d/9/0fc7368b187d2bca96e2552a5f82c246
    0x1000          1          8        69       489         1        ok       0.000  0x005cd3800  0x000254400  0x00587f400        25688         570        25118  9/a/7/8/4/6/c/7/498595cad0b03b3811b50955259ce80d
    0x1000          1          8        70       496         1        ok       0.000  0x005cd3800  0x000257400  0x00587c400        25688         578        25110  9/d/6/b/9/f/1/b/235db267eba0bead0ec94582f4d6c598
    0x1000          1          8        71       504         1        ok       0.000  0x005cd3800  0x00025a800  0x005879000        25688         587        25101  2/c/4/8/b/0/3/d/5c10233fc4a0d428b740b1a533b681c4
    0x1000          1          8        72       511         1        ok       0.000  0x005cd3800  0x00025d800  0x005876000        25688         595        25093  a/e/2/4/d/c/e/5/943c994b3530b30973a5175a5d7b16fc
    0x1000          1          8        73       518         1        ok       0.000  0x005cd3800  0x000260800  0x005873000        25688         603        25085  f/7/d/8/a/4/c/a/1cf9073c8d21f2843e94383bb6f5dafc
    0x1000          1          8        74       525         1        ok       0.000  0x005cd3800  0x000263800  0x005870000        25688         611        25077  4/3/7/4/7/3/4/8/b7e7f2dd16757b3aca9b92a8e1db9f01
    0x1000          1          8        75       532         1        ok       0.000  0x005cd3800  0x000266800  0x00586d000        25688         619        25069  5/2/6/2/b/a/b/3/371ce910f672876d6f09e7ab6777fc6c
    0x1000          1          8        76       539         1        ok       0.000  0x005cd3800  0x000269800  0x00586a000        25688         627        25061  3/0/7/f/f/3/3/4/34eae9af855a93206c120b0e610f8cfa
