# Simulating growing object file directories
# 
# dir_split:          1
# example_file:       8/4/b/c/1/a/e/8/9/5/f59068aaf1b6f450233411232ed16a
# reformat_partition: /dev/murphytest04-vg/smalltest
# data_gen:           random
# dir_depth:          10
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:08:49.809450
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=01 --dir-depth=10 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest04-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7432152 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          1         10         1        11         1        ok       0.000  0x005cd3800  0x000187c00  0x00594bc00        25688          24        25664  a/d/a/6/f/b/c/8/6/4/d15ba1f2a3ec479785d2791f3a0bd8
    0x1000          1         10         2        21         1        ok       0.000  0x005cd3800  0x00018b800  0x005948000        25688          35        25653  1/5/2/8/6/e/0/a/d/e/8d7746fe8b6cc40aabe54ae98b05d5
    0x1000          1         10         3        31         1        ok       0.000  0x005cd3800  0x00018f400  0x005944400        25688          46        25642  4/5/d/7/6/7/0/7/c/2/74551fd8dbf2b967c9361dd437c885
    0x1000          1         10         4        40         1        ok       0.000  0x005cd3800  0x000192c00  0x005940c00        25688          56        25632  4/0/a/d/c/2/1/8/8/1/c2979928dbf37f22789322c6a4a01a
    0x1000          1         10         5        50         1        ok       0.000  0x005cd3800  0x000196800  0x00593d000        25688          67        25621  d/e/2/a/9/2/b/e/7/c/1d4de2b3f5601d18f9b01f1be43b2e
    0x1000          1         10         6        60         1        ok       0.000  0x005cd3800  0x00019a400  0x005939400        25688          78        25610  6/1/f/f/b/a/b/d/2/4/95641d6f1f0cf3e93b0007a428a509
    0x1000          1         10         7        70         1        ok       0.000  0x005cd3800  0x00019e000  0x005935800        25688          89        25599  0/e/a/b/a/b/d/e/7/5/c79a8d2b4ae1efcebd4b7c7590f00a
    0x1000          1         10         8        80         1        ok       0.000  0x005cd3800  0x0001a1c00  0x005931c00        25688         100        25588  e/8/4/8/a/7/6/f/2/d/d421b4fe0f09d6cc94627f862cf7a8
    0x1000          1         10         9        89         1        ok       0.000  0x005cd3800  0x0001a5400  0x00592e400        25688         110        25578  a/1/5/a/5/e/e/a/1/6/8890c3801d07c5051231fb2abd5703
    0x1000          1         10        10        98         1        ok       0.000  0x005cd3800  0x0001a8c00  0x00592ac00        25688         120        25568  1/b/4/6/d/9/2/b/d/c/63afd00cf69e02a577f0f38bb59474
