# Simulating growing object file directories
# 
# dir_split:          1
# example_file:       3/9/d/d/4/c/8/a/3/3/8/7/7/d0c853286ec3db57432db0637d6
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          13
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:09:16.795175
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=01 --dir-depth=13 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7447648 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          1         13         1        14         1        ok       0.000  0x005cd3800  0x000188800  0x00594b000        25688          27        25661  9/c/5/8/6/b/8/f/8/8/c/7/9/bbf23a065f21ac83af46feb288f
    0x1000          1         13         2        27         1        ok       0.000  0x005cd3800  0x00018d000  0x005946800        25688          41        25647  d/7/1/5/c/6/0/4/4/b/c/4/5/a2c952f79feeada749e1d1f56a8
    0x1000          1         13         3        39         1        ok       0.000  0x005cd3800  0x000191400  0x005942400        25688          54        25634  9/3/a/a/7/3/d/9/6/0/2/5/6/ee0a2245c48a35d8bdde3c27671
    0x1000          1         13         4        51         1        ok       0.000  0x005cd3800  0x000195800  0x00593e000        25688          67        25621  9/d/8/a/5/0/8/a/f/6/d/8/6/9e069e2a3adf12e15139a7525d4
    0x1000          1         13         5        64         1        ok       0.000  0x005cd3800  0x00019a000  0x005939800        25688          81        25607  0/7/9/9/9/3/2/0/8/5/4/1/9/76ae4266af5341d7aab8b0d4e2f
    0x1000          1         13         6        77         1        ok       0.000  0x005cd3800  0x00019e800  0x005935000        25688          95        25593  f/4/d/7/7/1/f/7/5/8/5/4/9/1d30aad8b6aad1d88308ccc39dc
    0x1000          1         13         7        90         1        ok       0.000  0x005cd3800  0x0001a3000  0x005930800        25688         109        25579  8/4/b/d/5/a/a/3/f/2/9/2/4/dea2b21adcc691cfa2a1b701b11
    0x1000          1         13         8       102         1        ok       0.000  0x005cd3800  0x0001a7400  0x00592c400        25688         122        25566  8/1/1/f/1/d/5/1/0/b/0/1/f/7ca4aa9dc58c962d1e27d0c6d50
    0x1000          1         13         9       115         1        ok       0.000  0x005cd3800  0x0001abc00  0x005927c00        25688         136        25552  b/3/9/9/f/7/3/9/4/0/4/9/c/44d7f74600e076cec1b8a63d237
    0x1000          1         13        10       128         1        ok       0.000  0x005cd3800  0x0001b0400  0x005923400        25688         150        25538  c/4/8/2/3/0/0/8/4/4/c/8/f/530744be330a185cde427d414a8
