# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       f6/5812339c2bd46fddd4cd7ea36acd61468722f8
# reformat_partition: /dev/murphytest04-vg/smalltest
# data_gen:           random
# dir_depth:          1
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T00:02:14.906375
# commandline:   ./filesystem_limit.py --each-file-size=4096 --dir-split=2 --dir-depth=1 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest04-vg/smalltest
# testversion:   9948e52 FS test: track number of leaf directories created
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7515200 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
  each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  d_ct_time  write_ok  write_time      df_total       df_used      df_avail  inode_total  inode_used  inode_avail
0x0000001000          2          1         1         1         1      0.000        ok       0.000  0x0005cd3800  0x0000185800  0x000594e000        25688          15        25673
0x0000001000          2          1         2         2         1      0.000        ok       0.000  0x0005cd3800  0x0000187000  0x000594c800        25688          17        25671
0x0000001000          2          1         3         3         1      0.000        ok       0.000  0x0005cd3800  0x0000188800  0x000594b000        25688          19        25669
0x0000001000          2          1         4         4         1      0.000        ok       0.000  0x0005cd3800  0x000018a000  0x0005949800        25688          21        25667
0x0000001000          2          1         5         5         1      0.000        ok       0.000  0x0005cd3800  0x000018b800  0x0005948000        25688          23        25665
0x0000001000          2          1         6         6         1      0.000        ok       0.000  0x0005cd3800  0x000018d000  0x0005946800        25688          25        25663
0x0000001000          2          1         7         7         1      0.000        ok       0.000  0x0005cd3800  0x000018e800  0x0005945000        25688          27        25661
0x0000001000          2          1         8         8         1      0.000        ok       0.000  0x0005cd3800  0x0000190000  0x0005943800        25688          29        25659
0x0000001000          2          1         9         9         1      0.000        ok       0.000  0x0005cd3800  0x0000191800  0x0005942000        25688          31        25657
0x0000001000          2          1        10        10         1      0.000        ok       0.000  0x0005cd3800  0x0000193000  0x0005940800        25688          33        25655
0x0000001000          2          1        11        11         1      0.000        ok       0.000  0x0005cd3800  0x0000194800  0x000593f000        25688          35        25653
0x0000001000          2          1        12        12         1      0.000        ok       0.000  0x0005cd3800  0x0000196000  0x000593d800        25688          37        25651
0x0000001000          2          1        13        13         1      0.000        ok       0.000  0x0005cd3800  0x0000197800  0x000593c000        25688          39        25649
0x0000001000          2          1        14        14         1      0.000        ok       0.000  0x0005cd3800  0x0000199000  0x000593a800        25688          41        25647
0x0000001000          2          1        15        15         1      0.000        ok       0.000  0x0005cd3800  0x000019a800  0x0005939000        25688          43        25645
0x0000001000          2          1        16        16         1      0.000        ok       0.000  0x0005cd3800  0x000019c000  0x0005937800        25688          45        25643
0x0000001000          2          1        17        17         1      0.000        ok       0.000  0x0005cd3800  0x000019d800  0x0005936000        25688          47        25641
0x0000001000          2          1        18        18         1      0.000        ok       0.000  0x0005cd3800  0x000019f000  0x0005934800        25688          49        25639
0x0000001000          2          1        19        19         1      0.000        ok       0.000  0x0005cd3800  0x00001a0800  0x0005933000        25688          51        25637
0x0000001000          2          1        20        20         1      0.000        ok       0.000  0x0005cd3800  0x00001a2000  0x0005931800        25688          53        25635
0x0000001000          2          1        21        21         1      0.000        ok       0.000  0x0005cd3800  0x00001a3800  0x0005930000        25688          55        25633
0x0000001000          2          1        22        22         1      0.000        ok       0.000  0x0005cd3800  0x00001a5000  0x000592e800        25688          57        25631
0x0000001000          2          1        23        23         1      0.000        ok       0.000  0x0005cd3800  0x00001a6800  0x000592d000        25688          59        25629
0x0000001000          2          1        24        24         1      0.000        ok       0.000  0x0005cd3800  0x00001a8000  0x000592b800        25688          61        25627
0x0000001000          2          1        25        25         1      0.000        ok       0.000  0x0005cd3800  0x00001a9800  0x000592a000        25688          63        25625
0x0000001000          2          1        26        26         1      0.000        ok       0.000  0x0005cd3800  0x00001ab000  0x0005928800        25688          65        25623
0x0000001000          2          1        27        27         1      0.000        ok       0.000  0x0005cd3800  0x00001ac800  0x0005927000        25688          67        25621
0x0000001000          2          1        28        28         1      0.000        ok       0.000  0x0005cd3800  0x00001ae000  0x0005925800        25688          69        25619
0x0000001000          2          1        29        29         1      0.000        ok       0.000  0x0005cd3800  0x00001af800  0x0005924000        25688          71        25617
0x0000001000          2          1        30        30         1      0.000        ok       0.000  0x0005cd3800  0x00001b1000  0x0005922800        25688          73        25615
0x0000001000          2          1        31        31         1      0.000        ok       0.000  0x0005cd3800  0x00001b2800  0x0005921000        25688          75        25613
0x0000001000          2          1        32        32         1      0.000        ok       0.000  0x0005cd3800  0x00001b4000  0x000591f800        25688          77        25611
0x0000001000          2          1        33        33         1      0.000        ok       0.000  0x0005cd3800  0x00001b5800  0x000591e000        25688          79        25609
0x0000001000          2          1        34        34         1      0.000        ok       0.000  0x0005cd3800  0x00001b7000  0x000591c800        25688          81        25607
0x0000001000          2          1        35        35         1      0.000        ok       0.000  0x0005cd3800  0x00001b8800  0x000591b000        25688          83        25605
0x0000001000          2          1        36        35         2      0.000        ok       0.000  0x0005cd3800  0x00001b9c00  0x0005919c00        25688          84        25604
0x0000001000          2          1        37        36         1      0.000        ok       0.000  0x0005cd3800  0x00001bb400  0x0005918400        25688          86        25602
0x0000001000          2          1        38        37         1      0.000        ok       0.000  0x0005cd3800  0x00001bcc00  0x0005916c00        25688          88        25600
0x0000001000          2          1        39        38         1      0.000        ok       0.000  0x0005cd3800  0x00001be400  0x0005915400        25688          90        25598
0x0000001000          2          1        40        39         1      0.000        ok       0.000  0x0005cd3800  0x00001bfc00  0x0005913c00        25688          92        25596
