# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       10/e1/45/d2/56a7948bb2e4c3075cac2e36809629df
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          4
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:13:58.350149
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=02 --dir-depth=04 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7435108 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          2          4         1         5         1        ok       0.000  0x005cd3800  0x000186400  0x00594d400        25688          18        25670  e1/08/14/ad/0096e9cf4b52961636903f571fa04e08
    0x1000          2          4         2         9         1        ok       0.000  0x005cd3800  0x000188800  0x00594b000        25688          23        25665  a5/25/a0/07/c8ebbd82d1da67b4f70ff743e7141e4d
    0x1000          2          4         3        13         1        ok       0.000  0x005cd3800  0x00018ac00  0x005948c00        25688          28        25660  12/06/ad/06/12c8071677d27be18048493fcca6923d
    0x1000          2          4         4        17         1        ok       0.000  0x005cd3800  0x00018d000  0x005946800        25688          33        25655  8e/aa/a9/a0/8717ecace14a762bad846ec9e4994b49
    0x1000          2          4         5        21         1        ok       0.000  0x005cd3800  0x00018f400  0x005944400        25688          38        25650  76/80/4e/1a/e0c2da2b2db8c2a58a6bf908232039ef
    0x1000          2          4         6        25         1        ok       0.000  0x005cd3800  0x000191800  0x005942000        25688          43        25645  af/ee/12/29/f89c68f5d52ef461d6557d4346d45bee
    0x1000          2          4         7        29         1        ok       0.000  0x005cd3800  0x000193c00  0x00593fc00        25688          48        25640  a9/db/5b/d2/c701681de39ec6c3f7c510f2b5ed958b
    0x1000          2          4         8        33         1        ok       0.000  0x005cd3800  0x000196000  0x00593d800        25688          53        25635  a4/f9/31/cd/d57e166c16c3e320047ebcbf1e7e98e0
    0x1000          2          4         9        37         1        ok       0.000  0x005cd3800  0x000198400  0x00593b400        25688          58        25630  46/46/e7/a4/3703d49950106aee3ab5d22f9e203b46
    0x1000          2          4        10        41         1        ok       0.000  0x005cd3800  0x00019a800  0x005939000        25688          63        25625  bd/95/cd/cf/0c3fb9e0de148f39a2cbe54d0c28b580
