# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       ca/dd/6b/75/d2/6b9135ba45ff34ba2e140e498146d5
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          5
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:14:31.616708
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=02 --dir-depth=05 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7436016 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          2          5         1         6         1        ok       0.000  0x005cd3800  0x000186800  0x00594d000        25688          19        25669  1e/9a/dc/97/89/4e896702f1b4cac3d368c1cc500d96
    0x1000          2          5         2        11         1        ok       0.000  0x005cd3800  0x000189000  0x00594a800        25688          25        25663  29/3d/15/39/35/3e1158b7f9139c295b509d1f469d48
    0x1000          2          5         3        16         1        ok       0.000  0x005cd3800  0x00018b800  0x005948000        25688          31        25657  25/38/12/5a/32/1982603c23acdcd07f9d6db7928236
    0x1000          2          5         4        21         1        ok       0.000  0x005cd3800  0x00018e000  0x005945800        25688          37        25651  6d/43/27/09/c7/40124dd0f060cf16c69e530950b1f9
    0x1000          2          5         5        26         1        ok       0.000  0x005cd3800  0x000190800  0x005943000        25688          43        25645  cf/57/1b/cd/2a/50b8785746ac082d5f311911aed5b0
    0x1000          2          5         6        31         1        ok       0.000  0x005cd3800  0x000193000  0x005940800        25688          49        25639  e4/4c/49/8e/25/0703f2af767b29731bdfa4865aa25c
    0x1000          2          5         7        36         1        ok       0.000  0x005cd3800  0x000195800  0x00593e000        25688          55        25633  21/ff/da/87/27/11d344fc3196274beef43ca0a7ff0b
    0x1000          2          5         8        41         1        ok       0.000  0x005cd3800  0x000198000  0x00593b800        25688          61        25627  f9/8f/40/25/2f/ffd6e9a17016e21b201f429293132e
    0x1000          2          5         9        46         1        ok       0.000  0x005cd3800  0x00019a800  0x005939000        25688          67        25621  8d/46/17/ba/b8/d85f3420a6d2eb89b37db3363d1d3b
    0x1000          2          5        10        51         1        ok       0.000  0x005cd3800  0x00019d000  0x005936800        25688          73        25615  2a/67/d6/9e/02/d41cd6016172da6f3b269826cc7eb3
    0x1000          2          5        11        56         1        ok       0.000  0x005cd3800  0x00019f800  0x005934000        25688          79        25609  ab/b3/c8/cf/7d/8aba09131ca8d42e14d1e249b7972b
    0x1000          2          5        12        61         1        ok       0.000  0x005cd3800  0x0001a2000  0x005931800        25688          85        25603  55/4f/9a/26/3e/a4712b213073dd8d43bf32f3591519
    0x1000          2          5        13        66         1        ok       0.000  0x005cd3800  0x0001a4800  0x00592f000        25688          91        25597  37/17/c0/be/9f/d0dbe166d07edd85ba6b632e9c408c
    0x1000          2          5        14        71         1        ok       0.000  0x005cd3800  0x0001a7000  0x00592c800        25688          97        25591  56/9e/45/fa/32/614c9bc0552f03985b85df195cdb6d
    0x1000          2          5        15        76         1        ok       0.000  0x005cd3800  0x0001a9800  0x00592a000        25688         103        25585  34/04/b6/41/01/ad19c2fdcee67050531e271fb167ab
    0x1000          2          5        16        81         1        ok       0.000  0x005cd3800  0x0001ac000  0x005927800        25688         109        25579  7d/a1/ea/33/93/95665ba489e54fc6bba371789bfc7a
    0x1000          2          5        17        85         1        ok       0.000  0x005cd3800  0x0001ae400  0x005925400        25688         114        25574  29/7c/f1/27/0d/57c52d1aa30e6c9714799275a16cb5
    0x1000          2          5        18        90         1        ok       0.000  0x005cd3800  0x0001b0c00  0x005922c00        25688         120        25568  cb/21/a0/08/bd/555ea9df7215ab61b5808661eba287
    0x1000          2          5        19        95         1        ok       0.000  0x005cd3800  0x0001b3400  0x005920400        25688         126        25562  4b/65/66/45/e2/51865d2105c2f715eee04fd7ee8a23
    0x1000          2          5        20       100         1        ok       0.000  0x005cd3800  0x0001b5c00  0x00591dc00        25688         132        25556  d8/13/64/55/ad/99133f7b315abfb63b63c448920e8a
    0x1000          2          5        21       105         1        ok       0.000  0x005cd3800  0x0001b8400  0x00591b400        25688         138        25550  12/bb/f6/93/e9/fc40bc43c3c374d9041e4d783db309
    0x1000          2          5        22       110         1        ok       0.000  0x005cd3800  0x0001bac00  0x005918c00        25688         144        25544  d5/92/94/0c/d8/9704c75e797be7faf99f7c1a1d9962
    0x1000          2          5        23       115         1        ok       0.000  0x005cd3800  0x0001bd400  0x005916400        25688         150        25538  3b/a1/8d/85/64/7cd8c7d016d82246ce8a12cba26f30
    0x1000          2          5        24       120         1        ok       0.000  0x005cd3800  0x0001bfc00  0x005913c00        25688         156        25532  89/d5/e6/f7/32/07113fd5c1d2b6a0d5f9f09a5d00b7
    0x1000          2          5        25       125         1        ok       0.000  0x005cd3800  0x0001c2400  0x005911400        25688         162        25526  4c/6b/da/b1/cf/1acdd328d9feb68204a701ecf0cfc8
    0x1000          2          5        26       130         1        ok       0.000  0x005cd3800  0x0001c4c00  0x00590ec00        25688         168        25520  cd/02/e4/bb/74/dedfa4908a364adcadd0ad9e8cbad4
    0x1000          2          5        27       135         1        ok       0.000  0x005cd3800  0x0001c7400  0x00590c400        25688         174        25514  65/d5/4c/44/2c/3dd406f4bf538acb2cbb4528d30af4
    0x1000          2          5        28       140         1        ok       0.000  0x005cd3800  0x0001c9c00  0x005909c00        25688         180        25508  c2/5d/ee/c3/17/152f87670b4a13d07b92e358431a56
    0x1000          2          5        29       145         1        ok       0.000  0x005cd3800  0x0001cc400  0x005907400        25688         186        25502  5d/bc/d9/d7/3d/91fc112b92ed118686faedf0000d0b
    0x1000          2          5        30       150         1        ok       0.000  0x005cd3800  0x0001cec00  0x005904c00        25688         192        25496  47/6f/1f/fd/86/1310913f514f7b1910171b95f20863
    0x1000          2          5        31       155         1        ok       0.000  0x005cd3800  0x0001d1400  0x005902400        25688         198        25490  d6/6b/a2/ea/ba/2c789f3629c5268608f1ddfae41f1d
    0x1000          2          5        32       160         1        ok       0.000  0x005cd3800  0x0001d3c00  0x0058ffc00        25688         204        25484  46/5a/25/17/48/bf989991e1c55b4df204b5480c3272
    0x1000          2          5        33       165         1        ok       0.000  0x005cd3800  0x0001d6400  0x0058fd400        25688         210        25478  ae/38/13/34/7d/7c3fa53617842438cce691554e24a0
    0x1000          2          5        34       170         1        ok       0.000  0x005cd3800  0x0001d8c00  0x0058fac00        25688         216        25472  dc/eb/1c/7f/71/b64c6481814facd1be15fe11419396
    0x1000          2          5        35       175         1        ok       0.000  0x005cd3800  0x0001db400  0x0058f8400        25688         222        25466  53/db/ca/08/14/21d811e72f65e801a4592ed5c36a44
    0x1000          2          5        36       180         1        ok       0.000  0x005cd3800  0x0001ddc00  0x0058f5c00        25688         228        25460  1f/35/6e/17/81/f9886939565bc7c49fdf15d4289c6f
    0x1000          2          5        37       185         1        ok       0.000  0x005cd3800  0x0001e0400  0x0058f3400        25688         234        25454  75/3e/94/88/5b/24b3e24d4ca7b070394981a1cb3ab3
    0x1000          2          5        38       190         1        ok       0.000  0x005cd3800  0x0001e2c00  0x0058f0c00        25688         240        25448  7e/6d/72/fc/2f/e2f89dcadde9db7feb09c7a270b768
    0x1000          2          5        39       195         1        ok       0.000  0x005cd3800  0x0001e5400  0x0058ee400        25688         246        25442  92/3b/f1/8c/f3/3886dc09d220f859b175f77c750ac2
    0x1000          2          5        40       200         1        ok       0.000  0x005cd3800  0x0001e7c00  0x0058ebc00        25688         252        25436  d4/97/8f/bb/f0/f15e6c7c78aec041a747c683de94ff
    0x1000          2          5        41       205         1        ok       0.000  0x005cd3800  0x0001ea400  0x0058e9400        25688         258        25430  84/bd/14/72/18/bb645c6d799c1f9bcf39f605b0b85c
    0x1000          2          5        42       210         1        ok       0.000  0x005cd3800  0x0001ecc00  0x0058e6c00        25688         264        25424  51/75/28/de/2b/61dfed24cac5384403631f05a19534
    0x1000          2          5        43       215         1        ok       0.000  0x005cd3800  0x0001ef400  0x0058e4400        25688         270        25418  8f/18/6d/74/f0/934733dd366a1f244e5b7ae3631de3
    0x1000          2          5        44       220         1        ok       0.000  0x005cd3800  0x0001f1c00  0x0058e1c00        25688         276        25412  c9/d8/52/ca/cf/e248ddc80ab8d9ec3d738d16fe26dc
    0x1000          2          5        45       225         1        ok       0.000  0x005cd3800  0x0001f4400  0x0058df400        25688         282        25406  a6/9d/0f/44/32/6d25fc57779ff61503bb4fee91eda5
    0x1000          2          5        46       230         1        ok       0.000  0x005cd3800  0x0001f6c00  0x0058dcc00        25688         288        25400  17/2f/70/46/32/a45663594edd261b9136eb6ffa9e93
    0x1000          2          5        47       235         1        ok       0.000  0x005cd3800  0x0001f9400  0x0058da400        25688         294        25394  38/7b/27/27/b1/759b681eb485b3faeb712f639b1e6f
    0x1000          2          5        48       240         1        ok       0.000  0x005cd3800  0x0001fbc00  0x0058d7c00        25688         300        25388  8a/2c/c1/0a/af/4d07febad72396e0f8bf26b562ed7f
    0x1000          2          5        49       244         1        ok       0.000  0x005cd3800  0x0001fe000  0x0058d5800        25688         305        25383  92/03/87/48/1f/855fd2462f47cea2af29bc338a219c
    0x1000          2          5        50       249         1        ok       0.000  0x005cd3800  0x000200800  0x0058d3000        25688         311        25377  aa/16/30/3f/0e/5fd2fbe61abbe2954d4c3ec9173830
