# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       cf/f1/bf/66/6f/49/61/7dbbc4a17412ee9a97bb17455f
# reformat_partition: /dev/murphytest03-vg/smalltest
# data_gen:           random
# dir_depth:          7
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:15:25.338772
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=02 --dir-depth=07 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest03-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7406512 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          2          7         1         8         1        ok       0.000  0x005cd3800  0x000187000  0x00594c800        25688          21        25667  a4/22/2b/1d/de/67/e1/d3debca3e769b6dbc72cebf600
    0x1000          2          7         2        15         1        ok       0.000  0x005cd3800  0x00018a000  0x005949800        25688          29        25659  a5/3f/27/a6/9b/98/d8/42f439269334d4d9ce6a2cba9e
    0x1000          2          7         3        22         1        ok       0.000  0x005cd3800  0x00018d000  0x005946800        25688          37        25651  4a/80/21/14/f7/42/52/02697ef7b5d14d23709533b434
    0x1000          2          7         4        29         1        ok       0.000  0x005cd3800  0x000190000  0x005943800        25688          45        25643  dd/a6/a5/99/6f/1d/37/e85d18f140f3e8f1136f4a3c52
    0x1000          2          7         5        36         1        ok       0.000  0x005cd3800  0x000193000  0x005940800        25688          53        25635  a3/36/25/9f/52/55/c5/736cdc604f749a51e31f0723ab
    0x1000          2          7         6        43         1        ok       0.000  0x005cd3800  0x000196000  0x00593d800        25688          61        25627  92/5d/5d/a0/42/0d/00/f340194244790d6024b23fe91d
    0x1000          2          7         7        50         1        ok       0.000  0x005cd3800  0x000199000  0x00593a800        25688          69        25619  84/04/32/ca/34/1a/f7/d7022859952f6dbfffb7013574
    0x1000          2          7         8        57         1        ok       0.000  0x005cd3800  0x00019c000  0x005937800        25688          77        25611  7a/54/b5/e8/bc/12/c6/373cf4d63647dd4569e17d9bd3
    0x1000          2          7         9        64         1        ok       0.000  0x005cd3800  0x00019f000  0x005934800        25688          85        25603  61/27/c8/f9/e0/4c/ad/6c54fde414ae5394cbf1ce17ac
    0x1000          2          7        10        71         1        ok       0.000  0x005cd3800  0x0001a2000  0x005931800        25688          93        25595  8d/c5/46/91/ad/72/3f/76f52e3b930852ef1e734300be
    0x1000          2          7        11        78         1        ok       0.000  0x005cd3800  0x0001a5000  0x00592e800        25688         101        25587  c4/35/50/32/86/15/18/dc7b21788cd6e3bd459d525708
    0x1000          2          7        12        85         1        ok       0.000  0x005cd3800  0x0001a8000  0x00592b800        25688         109        25579  7f/1a/fd/47/c8/6a/d5/e0cea1c2faa5b876855ceb1273
    0x1000          2          7        13        92         1        ok       0.000  0x005cd3800  0x0001ab000  0x005928800        25688         117        25571  f0/77/05/69/8c/d4/6b/ea40992f625b7aacc06e43752a
    0x1000          2          7        14        99         1        ok       0.000  0x005cd3800  0x0001ae000  0x005925800        25688         125        25563  b0/5a/bf/91/83/3f/0c/a1f16f521d741c3fe95359cf36
    0x1000          2          7        15       106         1        ok       0.000  0x005cd3800  0x0001b1000  0x005922800        25688         133        25555  5a/63/b6/59/0c/b9/3e/3c8d34f8390400a56ce3a82987
    0x1000          2          7        16       113         1        ok       0.000  0x005cd3800  0x0001b4000  0x00591f800        25688         141        25547  be/33/26/2f/b3/92/86/e8d06d9acc9fe1b3cf2ac317c9
    0x1000          2          7        17       119         1        ok       0.000  0x005cd3800  0x0001b6c00  0x00591cc00        25688         148        25540  4a/47/bc/f6/0f/04/14/32f646dbcf64a195a983f8a7b2
    0x1000          2          7        18       126         1        ok       0.000  0x005cd3800  0x0001b9c00  0x005919c00        25688         156        25532  d1/ad/b1/27/74/4d/43/58ceafe7bc8188f5c4cea0349c
    0x1000          2          7        19       133         1        ok       0.000  0x005cd3800  0x0001bcc00  0x005916c00        25688         164        25524  cf/3f/6f/cc/98/e2/81/4fce09b7bc1e67a12dffdcd9f0
    0x1000          2          7        20       140         1        ok       0.000  0x005cd3800  0x0001bfc00  0x005913c00        25688         172        25516  ba/44/30/9b/da/6c/96/75beedea6e9e3f5493b32394fa
    0x1000          2          7        21       147         1        ok       0.000  0x005cd3800  0x0001c2c00  0x005910c00        25688         180        25508  47/3e/ec/6e/bd/fb/ea/b73b1909a4f843e72761acf0f8
    0x1000          2          7        22       154         1        ok       0.000  0x005cd3800  0x0001c5c00  0x00590dc00        25688         188        25500  16/b3/24/63/8c/29/d8/771b305938fd6ee65fe808df0d
    0x1000          2          7        23       161         1        ok       0.000  0x005cd3800  0x0001c8c00  0x00590ac00        25688         196        25492  c1/fb/9b/63/f6/ac/f9/5c6890900074696dc5fc6ae894
    0x1000          2          7        24       168         1        ok       0.000  0x005cd3800  0x0001cbc00  0x005907c00        25688         204        25484  00/55/87/9d/06/03/cc/7583a6487f224becf4b4ef5fc3
    0x1000          2          7        25       175         1        ok       0.000  0x005cd3800  0x0001cec00  0x005904c00        25688         212        25476  aa/a1/e4/d4/ef/4b/80/3b3a7f1de2dfc75a53913457cc
