# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       b0/9c/f9/5a/b8/43/7e/36/de/2f0f5ebdbe27106b8820b4
# reformat_partition: /dev/murphytest04-vg/smalltest
# data_gen:           random
# dir_depth:          9
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T00:26:37.860536
# commandline:   ./filesystem_limit.py --each-file-size=4096 --dir-split=2 --dir-depth=9 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest04-vg/smalltest
# testversion:   9948e52 FS test: track number of leaf directories created
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7512840 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
  each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  d_ct_time  write_ok  write_time      df_total       df_used      df_avail  inode_total  inode_used  inode_avail
0x0000001000          2          9         1         1         1      0.000        ok       0.000  0x0005cd3800  0x0000187800  0x000594c000        25688          23        25665
0x0000001000          2          9         2         2         1      0.000        ok       0.000  0x0005cd3800  0x000018b000  0x0005948800        25688          33        25655
0x0000001000          2          9         3         3         1      0.000        ok       0.000  0x0005cd3800  0x000018e800  0x0005945000        25688          43        25645
0x0000001000          2          9         4         4         1      0.000        ok       0.000  0x0005cd3800  0x0000192000  0x0005941800        25688          53        25635
0x0000001000          2          9         5         5         1      0.000        ok       0.000  0x0005cd3800  0x0000195800  0x000593e000        25688          63        25625
0x0000001000          2          9         6         6         1      0.000        ok       0.000  0x0005cd3800  0x0000199000  0x000593a800        25688          73        25615
0x0000001000          2          9         7         7         1      0.000        ok       0.000  0x0005cd3800  0x000019c800  0x0005937000        25688          83        25605
0x0000001000          2          9         8         8         1      0.000        ok       0.000  0x0005cd3800  0x00001a0000  0x0005933800        25688          93        25595
0x0000001000          2          9         9         9         1      0.000        ok       0.000  0x0005cd3800  0x00001a3800  0x0005930000        25688         103        25585
0x0000001000          2          9        10        10         1      0.000        ok       0.000  0x0005cd3800  0x00001a7000  0x000592c800        25688         113        25575
0x0000001000          2          9        11        11         1      0.000        ok       0.000  0x0005cd3800  0x00001aa800  0x0005929000        25688         123        25565
0x0000001000          2          9        12        12         1      0.000        ok       0.000  0x0005cd3800  0x00001ae000  0x0005925800        25688         133        25555
0x0000001000          2          9        13        13         1      0.000        ok       0.000  0x0005cd3800  0x00001b1800  0x0005922000        25688         143        25545
0x0000001000          2          9        14        14         1      0.000        ok       0.000  0x0005cd3800  0x00001b5000  0x000591e800        25688         153        25535
0x0000001000          2          9        15        15         1      0.000        ok       0.000  0x0005cd3800  0x00001b8800  0x000591b000        25688         163        25525
0x0000001000          2          9        16        16         1      0.000        ok       0.000  0x0005cd3800  0x00001bc000  0x0005917800        25688         173        25515
