# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       fb/57/c6/7a/43/1d/c0/de/b2/bb9e9cad66a077d72aa783
# reformat_partition: /dev/murphytest03-vg/smalltest
# data_gen:           random
# dir_depth:          9
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:16:08.894309
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=02 --dir-depth=09 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest03-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7404536 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          2          9         1        10         1        ok       0.000  0x005cd3800  0x000187800  0x00594c000        25688          23        25665  18/ba/82/ba/36/b6/99/22/f4/16aa62f30380bc92e0d415
    0x1000          2          9         2        19         1        ok       0.000  0x005cd3800  0x00018b000  0x005948800        25688          33        25655  8f/91/22/a4/a3/fe/9c/06/8a/5f240e83c27f6a91f60410
    0x1000          2          9         3        28         1        ok       0.000  0x005cd3800  0x00018e800  0x005945000        25688          43        25645  46/d8/c0/dc/e8/bf/52/42/46/ff313e7933ec10bc39a1e9
    0x1000          2          9         4        37         1        ok       0.000  0x005cd3800  0x000192000  0x005941800        25688          53        25635  5c/d1/08/86/e1/ed/7d/68/40/9b564d44b91a937fb117fe
    0x1000          2          9         5        46         1        ok       0.000  0x005cd3800  0x000195800  0x00593e000        25688          63        25625  53/f2/50/62/62/d1/73/ef/e9/3760e2f10d9234814f8151
    0x1000          2          9         6        55         1        ok       0.000  0x005cd3800  0x000199000  0x00593a800        25688          73        25615  87/a9/1c/c3/91/bb/60/27/49/53a7ca128a29550f07071d
    0x1000          2          9         7        64         1        ok       0.000  0x005cd3800  0x00019c800  0x005937000        25688          83        25605  60/fe/34/5c/d2/d8/d0/6d/a9/6329afa0cbe56b0fcd98fc
    0x1000          2          9         8        73         1        ok       0.000  0x005cd3800  0x0001a0000  0x005933800        25688          93        25595  e0/f9/b6/d2/9d/4a/03/7f/fb/941f0bfdc119da48b25575
    0x1000          2          9         9        82         1        ok       0.000  0x005cd3800  0x0001a3800  0x005930000        25688         103        25585  9f/40/54/58/84/7f/5b/87/ff/cbe5f7472d756163e5b947
    0x1000          2          9        10        90         1        ok       0.000  0x005cd3800  0x0001a6c00  0x00592cc00        25688         112        25576  87/9c/c7/15/1b/fe/15/d0/ea/c8a1032e6ddbbcf74c28f6
