# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       c9/c7/19/3d/0d/ac/5e/95/fa/f5/2c188aa78581c85cf21b
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          10
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T00:29:48.715407
# commandline:   ./filesystem_limit.py --each-file-size=4096 --dir-split=2 --dir-depth=10 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   9948e52 FS test: track number of leaf directories created
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7574920 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
  each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  d_ct_time  write_ok  write_time      df_total       df_used      df_avail  inode_total  inode_used  inode_avail
0x0000001000          2         10         1         1         1      0.000        ok       0.000  0x0005cd3800  0x0000187c00  0x000594bc00        25688          24        25664
0x0000001000          2         10         2         2         1      0.000        ok       0.000  0x0005cd3800  0x000018b800  0x0005948000        25688          35        25653
0x0000001000          2         10         3         3         1      0.000        ok       0.000  0x0005cd3800  0x000018f400  0x0005944400        25688          46        25642
0x0000001000          2         10         4         4         1      0.000        ok       0.000  0x0005cd3800  0x0000193000  0x0005940800        25688          57        25631
0x0000001000          2         10         5         5         1      0.000        ok       0.000  0x0005cd3800  0x0000196c00  0x000593cc00        25688          68        25620
0x0000001000          2         10         6         6         1      0.000        ok       0.000  0x0005cd3800  0x000019a800  0x0005939000        25688          79        25609
0x0000001000          2         10         7         7         1      0.000        ok       0.000  0x0005cd3800  0x000019e400  0x0005935400        25688          90        25598
0x0000001000          2         10         8         8         1      0.000        ok       0.000  0x0005cd3800  0x00001a2000  0x0005931800        25688         101        25587
0x0000001000          2         10         9         9         1      0.000        ok       0.000  0x0005cd3800  0x00001a5c00  0x000592dc00        25688         112        25576
0x0000001000          2         10        10        10         1      0.000        ok       0.000  0x0005cd3800  0x00001a9800  0x000592a000        25688         123        25565
0x0000001000          2         10        11        11         1      0.000        ok       0.000  0x0005cd3800  0x00001ad400  0x0005926400        25688         134        25554
0x0000001000          2         10        12        12         1      0.000        ok       0.000  0x0005cd3800  0x00001b1000  0x0005922800        25688         145        25543
0x0000001000          2         10        13        13         1      0.000        ok       0.000  0x0005cd3800  0x00001b4c00  0x000591ec00        25688         156        25532
0x0000001000          2         10        14        14         1      0.000        ok       0.000  0x0005cd3800  0x00001b8800  0x000591b000        25688         167        25521
0x0000001000          2         10        15        15         1      0.000        ok       0.000  0x0005cd3800  0x00001bc000  0x0005917800        25688         177        25511
0x0000001000          2         10        16        16         1      0.000        ok       0.000  0x0005cd3800  0x00001bfc00  0x0005913c00        25688         188        25500
0x0000001000          2         10        17        17         1      0.000        ok       0.000  0x0005cd3800  0x00001c3800  0x0005910000        25688         199        25489
0x0000001000          2         10        18        18         1      0.000        ok       0.000  0x0005cd3800  0x00001c7400  0x000590c400        25688         210        25478
0x0000001000          2         10        19        19         1      0.000        ok       0.000  0x0005cd3800  0x00001cb000  0x0005908800        25688         221        25467
0x0000001000          2         10        20        20         1      0.000        ok       0.000  0x0005cd3800  0x00001cec00  0x0005904c00        25688         232        25456
0x0000001000          2         10        21        21         1      0.000        ok       0.000  0x0005cd3800  0x00001d2800  0x0005901000        25688         243        25445
0x0000001000          2         10        22        22         1      0.000        ok       0.000  0x0005cd3800  0x00001d6400  0x00058fd400        25688         254        25434
0x0000001000          2         10        23        23         1      0.000        ok       0.000  0x0005cd3800  0x00001da000  0x00058f9800        25688         265        25423
0x0000001000          2         10        24        24         1      0.000        ok       0.000  0x0005cd3800  0x00001ddc00  0x00058f5c00        25688         276        25412
0x0000001000          2         10        25        25         1      0.000        ok       0.000  0x0005cd3800  0x00001e1800  0x00058f2000        25688         287        25401
0x0000001000          2         10        26        26         1      0.000        ok       0.000  0x0005cd3800  0x00001e5400  0x00058ee400        25688         298        25390
0x0000001000          2         10        27        27         1      0.000        ok       0.000  0x0005cd3800  0x00001e8c00  0x00058eac00        25688         308        25380
0x0000001000          2         10        28        28         1      0.000        ok       0.000  0x0005cd3800  0x00001ec800  0x00058e7000        25688         319        25369
