# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       48/87/e5/41/4c/8e/4f/41/ae/9c/c1b28714022a973aaa55
# reformat_partition: /dev/murphytest03-vg/smalltest
# data_gen:           random
# dir_depth:          10
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:16:28.868471
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=02 --dir-depth=10 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest03-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7404524 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          2         10         1        11         1        ok       0.000  0x005cd3800  0x000187c00  0x00594bc00        25688          24        25664  32/51/0b/c0/e5/a0/a9/7e/b7/11/a73c4ad2c6dc7a49f93c
    0x1000          2         10         2        21         1        ok       0.000  0x005cd3800  0x00018b800  0x005948000        25688          35        25653  df/3c/80/02/96/04/3e/1d/ef/b6/b470d302762f492bb6f2
    0x1000          2         10         3        31         1        ok       0.000  0x005cd3800  0x00018f400  0x005944400        25688          46        25642  8d/12/de/22/54/96/e9/1d/f5/22/60fc74e9b7bde965e893
    0x1000          2         10         4        41         1        ok       0.000  0x005cd3800  0x000193000  0x005940800        25688          57        25631  1f/d6/71/f9/c5/54/d4/ff/ad/74/d566d537e3d7eec02f24
    0x1000          2         10         5        51         1        ok       0.000  0x005cd3800  0x000196c00  0x00593cc00        25688          68        25620  6f/26/30/d2/61/38/07/dc/1f/dc/82e3bafa5a80fcff78ff
    0x1000          2         10         6        61         1        ok       0.000  0x005cd3800  0x00019a800  0x005939000        25688          79        25609  8e/8f/31/44/d9/eb/40/89/c9/54/4e54af92388a4c91d165
    0x1000          2         10         7        70         1        ok       0.000  0x005cd3800  0x00019e000  0x005935800        25688          89        25599  df/11/2e/22/d8/32/85/86/2c/2f/c496dc2bbd8876fe773e
    0x1000          2         10         8        80         1        ok       0.000  0x005cd3800  0x0001a1c00  0x005931c00        25688         100        25588  09/a0/de/b0/8e/b3/81/47/e6/a5/b5cedebfc9d125dde96e
    0x1000          2         10         9        90         1        ok       0.000  0x005cd3800  0x0001a5800  0x00592e000        25688         111        25577  fb/69/ee/e6/bf/ed/7d/4a/21/31/81c2c0c7ec56bd7a3888
    0x1000          2         10        10       100         1        ok       0.000  0x005cd3800  0x0001a9400  0x00592a400        25688         122        25566  02/90/3b/77/71/74/f6/14/70/8d/c577e6cab93eaceced99
