# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       d8/f3/21/7e/ac/12/2a/f8/3b/5c/5d5321ccb8f0ceed05e2
# reformat_partition: /dev/murphytest04-vg/smalltest
# data_gen:           random
# dir_depth:          10
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:15:01.986488
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=02 --dir-depth=10 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest04-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7416192 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          2         10         1        11         1        ok       0.000  0x005cd3800  0x000187c00  0x00594bc00        25688          24        25664  fe/e9/b5/4f/c3/68/e2/26/ad/8b/15178f3cb54abfc3b968
    0x1000          2         10         2        21         1        ok       0.000  0x005cd3800  0x00018b800  0x005948000        25688          35        25653  12/b2/76/17/56/60/1b/6b/fd/35/46b56436ae1562e84d17
    0x1000          2         10         3        31         1        ok       0.000  0x005cd3800  0x00018f400  0x005944400        25688          46        25642  58/97/ef/b6/17/14/11/77/d8/87/14f6724a89b3839daa6c
    0x1000          2         10         4        41         1        ok       0.000  0x005cd3800  0x000193000  0x005940800        25688          57        25631  3e/3a/f0/5f/79/73/0a/1e/93/47/b470ff55a27081770639
    0x1000          2         10         5        51         1        ok       0.000  0x005cd3800  0x000196c00  0x00593cc00        25688          68        25620  b3/e7/68/d2/30/3e/ea/39/a0/e3/f12710a2e297bb7a5ce2
    0x1000          2         10         6        61         1        ok       0.000  0x005cd3800  0x00019a800  0x005939000        25688          79        25609  ea/44/8f/b4/83/f4/52/22/93/ff/64a6e8e56016fc9d1ea3
    0x1000          2         10         7        71         1        ok       0.000  0x005cd3800  0x00019e400  0x005935400        25688          90        25598  37/f2/b3/69/3e/15/47/73/25/1a/3c89ac6e370104e4f0ad
    0x1000          2         10         8        81         1        ok       0.000  0x005cd3800  0x0001a2000  0x005931800        25688         101        25587  f6/d7/5e/ad/2a/d5/7e/21/cd/c8/ecaa06fb616eddf0c165
    0x1000          2         10         9        91         1        ok       0.000  0x005cd3800  0x0001a5c00  0x00592dc00        25688         112        25576  1d/82/35/c0/bf/f0/a0/26/64/90/711e367ce616e667f147
    0x1000          2         10        10       101         1        ok       0.000  0x005cd3800  0x0001a9800  0x00592a000        25688         123        25565  a6/64/cb/07/39/eb/5d/03/57/08/019f387e2d0124fccaf0
    0x1000          2         10        11       111         1        ok       0.000  0x005cd3800  0x0001ad400  0x005926400        25688         134        25554  b1/12/f1/97/24/84/24/b2/1a/d3/43912b13bcbb8f9fdcf6
