# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       00/ec/19/4e/a5/7a/e3/db/22/bd/17/94ce8440d4bff35331
# reformat_partition: /dev/murphytest03-vg/smalltest
# data_gen:           random
# dir_depth:          11
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T00:31:43.037395
# commandline:   ./filesystem_limit.py --each-file-size=4096 --dir-split=2 --dir-depth=11 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest03-vg/smalltest
# testversion:   9948e52 FS test: track number of leaf directories created
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7507060 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
  each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  d_ct_time  write_ok  write_time      df_total       df_used      df_avail  inode_total  inode_used  inode_avail
0x0000001000          2         11         1         1         1      0.000        ok       0.000  0x0005cd3800  0x0000188000  0x000594b800        25688          25        25663
0x0000001000          2         11         2         2         1      0.000        ok       0.000  0x0005cd3800  0x000018c000  0x0005947800        25688          37        25651
0x0000001000          2         11         3         3         1      0.000        ok       0.000  0x0005cd3800  0x0000190000  0x0005943800        25688          49        25639
0x0000001000          2         11         4         4         1      0.000        ok       0.000  0x0005cd3800  0x0000194000  0x000593f800        25688          61        25627
0x0000001000          2         11         5         5         1      0.000        ok       0.000  0x0005cd3800  0x0000198000  0x000593b800        25688          73        25615
0x0000001000          2         11         6         6         1      0.000        ok       0.000  0x0005cd3800  0x000019c000  0x0005937800        25688          85        25603
0x0000001000          2         11         7         7         1      0.000        ok       0.000  0x0005cd3800  0x00001a0000  0x0005933800        25688          97        25591
0x0000001000          2         11         8         8         1      0.000        ok       0.000  0x0005cd3800  0x00001a4000  0x000592f800        25688         109        25579
0x0000001000          2         11         9         9         1      0.000        ok       0.000  0x0005cd3800  0x00001a8000  0x000592b800        25688         121        25567
0x0000001000          2         11        10        10         1      0.000        ok       0.000  0x0005cd3800  0x00001ac000  0x0005927800        25688         133        25555
0x0000001000          2         11        11        11         1      0.000        ok       0.000  0x0005cd3800  0x00001b0000  0x0005923800        25688         145        25543
0x0000001000          2         11        12        12         1      0.000        ok       0.000  0x0005cd3800  0x00001b4000  0x000591f800        25688         157        25531
0x0000001000          2         11        13        13         1      0.000        ok       0.000  0x0005cd3800  0x00001b8000  0x000591b800        25688         169        25519
0x0000001000          2         11        14        14         1      0.000        ok       0.000  0x0005cd3800  0x00001bc000  0x0005917800        25688         181        25507
0x0000001000          2         11        15        15         1      0.000        ok       0.000  0x0005cd3800  0x00001c0000  0x0005913800        25688         193        25495
