# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       d0/8a/9f/20/c5/10/5e/8d/ac/e1/b5/8d24c25274622ee08d
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          11
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:16:46.937452
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=02 --dir-depth=11 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7428752 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          2         11         1        12         1        ok       0.000  0x005cd3800  0x000188000  0x00594b800        25688          25        25663  73/c2/79/37/bc/7c/90/7e/a9/f9/77/442c5910ba014f8cc6
    0x1000          2         11         2        23         1        ok       0.000  0x005cd3800  0x00018c000  0x005947800        25688          37        25651  a9/6a/30/ba/ee/65/77/a0/41/0a/8f/beb25745730508a996
    0x1000          2         11         3        34         1        ok       0.000  0x005cd3800  0x000190000  0x005943800        25688          49        25639  82/d4/55/5d/98/4c/22/39/60/20/9c/62c0477042b054ca56
    0x1000          2         11         4        45         1        ok       0.000  0x005cd3800  0x000194000  0x00593f800        25688          61        25627  95/e1/a2/ce/cc/4c/3e/78/45/fc/e0/be0c7563ed56c64d32
    0x1000          2         11         5        56         1        ok       0.000  0x005cd3800  0x000198000  0x00593b800        25688          73        25615  1f/68/61/0c/70/69/24/ef/17/3c/32/10f54786a0a6bdd55b
    0x1000          2         11         6        67         1        ok       0.000  0x005cd3800  0x00019c000  0x005937800        25688          85        25603  3d/4e/00/2a/5c/28/09/ae/e7/cc/93/afceb6b4ab84110a97
    0x1000          2         11         7        78         1        ok       0.000  0x005cd3800  0x0001a0000  0x005933800        25688          97        25591  90/34/04/0a/97/c0/5b/ab/0b/f5/0d/574d432bad254051fc
    0x1000          2         11         8        89         1        ok       0.000  0x005cd3800  0x0001a4000  0x00592f800        25688         109        25579  4f/f7/8f/11/59/3f/45/e9/03/6e/21/8c30f4b67f075d19f9
    0x1000          2         11         9       100         1        ok       0.000  0x005cd3800  0x0001a8000  0x00592b800        25688         121        25567  83/e5/5c/ac/fa/50/6c/82/64/ef/e0/041e42c90afe267669
    0x1000          2         11        10       111         1        ok       0.000  0x005cd3800  0x0001ac000  0x005927800        25688         133        25555  dc/df/0d/e7/da/73/05/23/d0/c5/8f/680c81acc83313968a
    0x1000          2         11        11       122         1        ok       0.000  0x005cd3800  0x0001b0000  0x005923800        25688         145        25543  c2/d2/c7/cf/2c/3c/f5/21/22/52/3d/d3bba846e89613c303
    0x1000          2         11        12       133         1        ok       0.000  0x005cd3800  0x0001b4000  0x00591f800        25688         157        25531  9a/97/70/73/c3/dd/83/f7/10/f4/3f/7d894973bd43a6be33
    0x1000          2         11        13       144         1        ok       0.000  0x005cd3800  0x0001b8000  0x00591b800        25688         169        25519  2b/13/cf/4e/75/04/b2/80/60/0b/80/954f7c084049a805d8
    0x1000          2         11        14       155         1        ok       0.000  0x005cd3800  0x0001bc000  0x005917800        25688         181        25507  45/d5/54/7e/76/a0/c2/75/1c/91/84/fe9d9682282b50265c
    0x1000          2         11        15       166         1        ok       0.000  0x005cd3800  0x0001c0000  0x005913800        25688         193        25495  a2/45/34/17/52/7f/49/f5/6e/e6/9d/914d819bcc91fec725
    0x1000          2         11        16       177         1        ok       0.000  0x005cd3800  0x0001c4000  0x00590f800        25688         205        25483  bb/5a/2f/fa/81/d8/5a/12/a9/98/31/69837eb0db68e16767
    0x1000          2         11        17       188         1        ok       0.000  0x005cd3800  0x0001c8000  0x00590b800        25688         217        25471  19/14/3c/db/cb/f0/8f/f3/b1/89/11/ad28f25afb595bf10c
    0x1000          2         11        18       199         1        ok       0.000  0x005cd3800  0x0001cc000  0x005907800        25688         229        25459  a5/1b/47/0a/5e/c1/e4/be/8c/db/68/8efbb8c53a9026bae4
    0x1000          2         11        19       210         1        ok       0.000  0x005cd3800  0x0001d0000  0x005903800        25688         241        25447  ce/f4/49/d2/02/bc/57/92/70/bb/bd/680a42e156e6f22492
    0x1000          2         11        20       221         1        ok       0.000  0x005cd3800  0x0001d4000  0x0058ff800        25688         253        25435  2a/98/05/33/5b/fd/e5/cc/b8/66/e0/69e58821299ee42615
    0x1000          2         11        21       232         1        ok       0.000  0x005cd3800  0x0001d8000  0x0058fb800        25688         265        25423  91/7e/1f/b8/58/f9/a9/82/f1/41/d1/1c53af24fdbc4e3712
    0x1000          2         11        22       243         1        ok       0.000  0x005cd3800  0x0001dc000  0x0058f7800        25688         277        25411  fe/f8/b0/a1/1e/66/71/81/b2/4c/69/9ceac35fb495d4d002
    0x1000          2         11        23       254         1        ok       0.000  0x005cd3800  0x0001e0000  0x0058f3800        25688         289        25399  c5/5d/69/1b/6d/ea/6d/10/f3/c0/30/f66ac3d73f09b91807
    0x1000          2         11        24       265         1        ok       0.000  0x005cd3800  0x0001e4000  0x0058ef800        25688         301        25387  e0/b8/3d/51/29/1e/14/5a/c1/7d/f7/6b6d5cbcc97dc2be73
    0x1000          2         11        25       276         1        ok       0.000  0x005cd3800  0x0001e8000  0x0058eb800        25688         313        25375  85/47/9d/15/58/f5/95/e1/34/cb/9b/e6a1e99dfc9b3e2799
    0x1000          2         11        26       287         1        ok       0.000  0x005cd3800  0x0001ec000  0x0058e7800        25688         325        25363  20/c9/e5/5b/3a/38/03/63/8c/d8/6f/460ac16990cd151118
    0x1000          2         11        27       298         1        ok       0.000  0x005cd3800  0x0001f0000  0x0058e3800        25688         337        25351  e1/d8/1d/77/b1/3d/b8/82/f3/9a/29/efb28e940aa8f1d87f
    0x1000          2         11        28       309         1        ok       0.000  0x005cd3800  0x0001f4000  0x0058df800        25688         349        25339  2e/80/c1/8b/92/85/57/6e/ea/f6/f4/5cbfcd1f7d31198979
    0x1000          2         11        29       320         1        ok       0.000  0x005cd3800  0x0001f8000  0x0058db800        25688         361        25327  2c/29/7d/72/be/42/76/c3/2b/70/b6/d69fcf44151d9afdc2
    0x1000          2         11        30       331         1        ok       0.000  0x005cd3800  0x0001fc000  0x0058d7800        25688         373        25315  15/e2/35/20/a0/12/75/6e/ae/5b/26/6cce5c6085fd635f87
    0x1000          2         11        31       342         1        ok       0.000  0x005cd3800  0x000200000  0x0058d3800        25688         385        25303  16/30/a0/a4/97/91/33/7b/7e/5e/58/a513813709819902e4
    0x1000          2         11        32       352         1        ok       0.000  0x005cd3800  0x000203c00  0x0058cfc00        25688         396        25292  83/87/1b/d9/a6/b4/26/d9/38/19/c7/444b4e93a6c45bf608
    0x1000          2         11        33       363         1        ok       0.000  0x005cd3800  0x000207c00  0x0058cbc00        25688         408        25280  8c/d8/25/87/b5/f8/08/9e/7c/e5/90/daf5509b69ef959c57
    0x1000          2         11        34       374         1        ok       0.000  0x005cd3800  0x00020bc00  0x0058c7c00        25688         420        25268  78/76/e7/b5/27/9e/3a/2c/9d/7b/11/db6a6919702e9c9d5d
    0x1000          2         11        35       385         1        ok       0.000  0x005cd3800  0x00020fc00  0x0058c3c00        25688         432        25256  c6/43/0d/02/40/67/00/12/78/62/85/051b8be864fedfdcb9
    0x1000          2         11        36       396         1        ok       0.000  0x005cd3800  0x000213c00  0x0058bfc00        25688         444        25244  74/40/23/cf/e2/86/ae/4a/5d/d2/3f/8c1cefd430e6dbf57a
    0x1000          2         11        37       406         1        ok       0.000  0x005cd3800  0x000217800  0x0058bc000        25688         455        25233  78/d5/4b/cf/c8/10/62/04/fd/96/6e/0ca67c3c4281877612
    0x1000          2         11        38       417         1        ok       0.000  0x005cd3800  0x00021b800  0x0058b8000        25688         467        25221  22/43/91/c1/71/9c/8a/a7/12/95/33/2f6819ef94cc348c5d
