# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       cf/84/e2/b9/dd/5f/f3/f9/ca/6a/7c/a1/a2f190e91d53aa38
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          12
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:17:05.909701
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=02 --dir-depth=12 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7428644 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          2         12         1        13         1        ok       0.000  0x005cd3800  0x000188400  0x00594b400        25688          26        25662  38/9d/a5/a2/5e/0e/37/cf/c1/c6/45/64/20e2d3a6a51cbfbc
    0x1000          2         12         2        25         1        ok       0.000  0x005cd3800  0x00018c800  0x005947000        25688          39        25649  4b/8c/d8/15/43/8c/df/aa/e0/57/1a/39/b181fc61d1c87c3d
    0x1000          2         12         3        37         1        ok       0.000  0x005cd3800  0x000190c00  0x005942c00        25688          52        25636  e6/9a/2c/10/7e/68/2a/0a/02/2c/c5/dd/920a734ab6275637
    0x1000          2         12         4        49         1        ok       0.000  0x005cd3800  0x000195000  0x00593e800        25688          65        25623  ab/b6/aa/48/56/77/c9/91/50/d8/d7/1a/2f7803031690e76e
    0x1000          2         12         5        61         1        ok       0.000  0x005cd3800  0x000199400  0x00593a400        25688          78        25610  c5/0a/3b/77/b7/63/77/41/f6/c0/90/43/ba169553a21e30fe
    0x1000          2         12         6        73         1        ok       0.000  0x005cd3800  0x00019d800  0x005936000        25688          91        25597  28/0e/3b/24/b5/2f/7a/f8/6e/db/e8/8a/d41f18817adc733b
    0x1000          2         12         7        85         1        ok       0.000  0x005cd3800  0x0001a1c00  0x005931c00        25688         104        25584  f0/5b/16/19/51/18/26/d3/67/95/be/cf/08cb5c8f1f9b41e8
    0x1000          2         12         8        97         1        ok       0.000  0x005cd3800  0x0001a6000  0x00592d800        25688         117        25571  58/c1/ab/d3/21/57/21/14/38/97/43/1a/429e5789fa5b5669
    0x1000          2         12         9       109         1        ok       0.000  0x005cd3800  0x0001aa400  0x005929400        25688         130        25558  6f/d6/aa/6d/c9/05/25/32/8c/34/cc/d7/ecd51a373e326388
    0x1000          2         12        10       121         1        ok       0.000  0x005cd3800  0x0001ae800  0x005925000        25688         143        25545  c9/7e/03/7a/4c/20/a3/bc/e1/61/a3/20/e06aeb3c725a3651
    0x1000          2         12        11       133         1        ok       0.000  0x005cd3800  0x0001b2c00  0x005920c00        25688         156        25532  96/ec/03/87/a0/f6/79/2b/17/af/30/18/21639d26453ba8ef
    0x1000          2         12        12       145         1        ok       0.000  0x005cd3800  0x0001b7000  0x00591c800        25688         169        25519  8e/17/68/c9/bf/09/e5/8b/0c/3d/0e/8e/c9e8c3f03d0b92c9
