# Simulating growing object file directories
# 
# dir_split:          3
# example_file:       f70/fc3/e91/d713e65ef780b470dad04367ac67623
# reformat_partition: /dev/murphytest04-vg/smalltest
# data_gen:           random
# dir_depth:          3
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:18:18.285087
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=03 --dir-depth=03 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest04-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7404556 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          3          3         1         4         1        ok       0.000  0x005cd3800  0x000186000  0x00594d800        25688          17        25671  213/451/489/ed536f53d9436ee9b85fe072b4cc9ae
    0x1000          3          3         2         7         1        ok       0.000  0x005cd3800  0x000188000  0x00594b800        25688          21        25667  410/7b4/3a4/08f4faea07e08fe1d8185afae10da9d
    0x1000          3          3         3        10         1        ok       0.000  0x005cd3800  0x00018a000  0x005949800        25688          25        25663  a27/329/fe5/a18f21493d7dcfde8951dcdf3ff3d04
    0x1000          3          3         4        13         1        ok       0.000  0x005cd3800  0x00018c000  0x005947800        25688          29        25659  af2/185/9b2/ab8c6c4626125b2be6329ac70fcb6d6
    0x1000          3          3         5        16         1        ok       0.000  0x005cd3800  0x00018e000  0x005945800        25688          33        25655  269/336/2a0/0b682d48cddbf166fafd283919cbcb9
    0x1000          3          3         6        19         1        ok       0.000  0x005cd3800  0x000190000  0x005943800        25688          37        25651  ec6/b0a/191/91a22bc3720838e1a0fb9bc53c738f6
    0x1000          3          3         7        22         1        ok       0.000  0x005cd3800  0x000192000  0x005941800        25688          41        25647  157/717/5bd/a5d2684afc6d027aaad5f8979ed65c4
    0x1000          3          3         8        25         1        ok       0.000  0x005cd3800  0x000194000  0x00593f800        25688          45        25643  a6e/f9d/990/ba8fa6ab98637211f9ce87806d3f3fd
    0x1000          3          3         9        28         1        ok       0.000  0x005cd3800  0x000196000  0x00593d800        25688          49        25639  748/8ca/936/4734053152974538e179b772bedcbcc
    0x1000          3          3        10        31         1        ok       0.000  0x005cd3800  0x000198000  0x00593b800        25688          53        25635  c98/de4/156/58706824d5db7901c07342dba5b9bdf
    0x1000          3          3        11        34         1        ok       0.000  0x005cd3800  0x00019a000  0x005939800        25688          57        25631  767/2b6/ae6/8fecfd98a03c3106a72ec10cfcfdd4d
    0x1000          3          3        12        37         1        ok       0.000  0x005cd3800  0x00019c000  0x005937800        25688          61        25627  f4f/955/21e/0cffcfe652724bab068d5fe064e243b
    0x1000          3          3        13        40         1        ok       0.000  0x005cd3800  0x00019e000  0x005935800        25688          65        25623  5f9/1f2/d6d/f8e525ca9856d5d495d415f9fdfa168
    0x1000          3          3        14        43         1        ok       0.000  0x005cd3800  0x0001a0000  0x005933800        25688          69        25619  09d/9e1/dc6/d8d6db8c398d8c33f847b025c51266f
    0x1000          3          3        15        46         1        ok       0.000  0x005cd3800  0x0001a2000  0x005931800        25688          73        25615  8c8/be4/3e8/802a3ccc5c896d058dc71edf039c613
    0x1000          3          3        16        49         1        ok       0.000  0x005cd3800  0x0001a4000  0x00592f800        25688          77        25611  282/dcb/849/649fc5571df18a5000f7ca297d51ed1
    0x1000          3          3        17        52         1        ok       0.000  0x005cd3800  0x0001a6000  0x00592d800        25688          81        25607  e3b/ca6/7d2/7d41319a7ce31604efb621945848f77
    0x1000          3          3        18        55         1        ok       0.000  0x005cd3800  0x0001a8000  0x00592b800        25688          85        25603  8e3/f5f/b09/935555f97db65271f28e6f698459e21
    0x1000          3          3        19        58         1        ok       0.000  0x005cd3800  0x0001aa000  0x005929800        25688          89        25599  51a/b6d/c1c/6cae46ca01f0fc001001b26a5708498
    0x1000          3          3        20        61         1        ok       0.000  0x005cd3800  0x0001ac000  0x005927800        25688          93        25595  b30/b9d/b48/ef1b393fa3a72393f987b035fb78c38
    0x1000          3          3        21        64         1        ok       0.000  0x005cd3800  0x0001ae000  0x005925800        25688          97        25591  38c/21c/874/5b6263b8f78540b427b636e8c994212
    0x1000          3          3        22        67         1        ok       0.000  0x005cd3800  0x0001b0000  0x005923800        25688         101        25587  cc7/259/04c/7891964ef590d1e8e216f85ebe8ce5f
    0x1000          3          3        23        70         1        ok       0.000  0x005cd3800  0x0001b2000  0x005921800        25688         105        25583  a8a/d40/255/fdf75650d8e209577687b1db69639a2
    0x1000          3          3        24        73         1        ok       0.000  0x005cd3800  0x0001b4000  0x00591f800        25688         109        25579  185/fe5/284/325adb8aa7de2f78ed0e763a6d566ec
