# Simulating growing object file directories
# 
# dir_split:          3
# example_file:       e69/5d2/1f3/6c5/01e/844640db488872ea243addb99
# reformat_partition: /dev/murphytest03-vg/smalltest
# data_gen:           random
# dir_depth:          5
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:21:10.456870
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=03 --dir-depth=05 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest03-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7394920 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          3          5         1         6         1        ok       0.000  0x005cd3800  0x000186800  0x00594d000        25688          19        25669  709/50b/973/ca1/bac/11d180a4f8ebfbf69fa77851d
    0x1000          3          5         2        11         1        ok       0.000  0x005cd3800  0x000189000  0x00594a800        25688          25        25663  33c/34e/7d6/e82/3bb/830d8db2c4e15219358a27769
    0x1000          3          5         3        16         1        ok       0.000  0x005cd3800  0x00018b800  0x005948000        25688          31        25657  8ba/42f/c0e/9de/a4e/5f54fa85049bd8b52f49c1e2c
    0x1000          3          5         4        21         1        ok       0.000  0x005cd3800  0x00018e000  0x005945800        25688          37        25651  37d/507/9c9/4fe/fa9/bd585002eddf94d829d44c71a
    0x1000          3          5         5        26         1        ok       0.000  0x005cd3800  0x000190800  0x005943000        25688          43        25645  0bc/585/932/fae/38c/c748591a198e32d68cb29b44a
    0x1000          3          5         6        31         1        ok       0.000  0x005cd3800  0x000193000  0x005940800        25688          49        25639  e5a/61c/70e/14f/6d7/5085b850ebd81dad855e0a8a0
    0x1000          3          5         7        36         1        ok       0.000  0x005cd3800  0x000195800  0x00593e000        25688          55        25633  7aa/8e7/cf4/b63/451/9def1a71d02e49357da81d891
    0x1000          3          5         8        41         1        ok       0.000  0x005cd3800  0x000198000  0x00593b800        25688          61        25627  997/1c9/c79/d0c/efc/f5cfc77391e368f5e04628475
    0x1000          3          5         9        46         1        ok       0.000  0x005cd3800  0x00019a800  0x005939000        25688          67        25621  aa3/4f4/97d/959/cc0/f1191654186b5d00a7e7ff1b5
    0x1000          3          5        10        51         1        ok       0.000  0x005cd3800  0x00019d000  0x005936800        25688          73        25615  a3c/01c/f43/e2c/796/c7992aba7665efa7ee55dbc11
