# Simulating growing object file directories
# 
# dir_split:          3
# example_file:       d88/595/6f0/82e/c7b/c17/e49/72469436711210e5510
# reformat_partition: /dev/murphytest03-vg/smalltest
# data_gen:           random
# dir_depth:          7
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:22:06.454592
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=03 --dir-depth=07 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest03-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7391468 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          3          7         1         8         1        ok       0.000  0x005cd3800  0x000187000  0x00594c800        25688          21        25667  db0/0f0/419/f5c/df2/5cc/e05/ab054a4362925da45bf
    0x1000          3          7         2        15         1        ok       0.000  0x005cd3800  0x00018a000  0x005949800        25688          29        25659  732/600/0ec/33d/a32/b23/221/a3e0160d5706a72f820
    0x1000          3          7         3        22         1        ok       0.000  0x005cd3800  0x00018d000  0x005946800        25688          37        25651  681/b99/5c2/1f0/7d6/1c8/328/71b727cf564290f9424
    0x1000          3          7         4        29         1        ok       0.000  0x005cd3800  0x000190000  0x005943800        25688          45        25643  8d2/d66/543/ab5/dd8/900/1e1/aeb816168c691a8262b
    0x1000          3          7         5        36         1        ok       0.000  0x005cd3800  0x000193000  0x005940800        25688          53        25635  9f4/653/087/1aa/d3d/c5a/8bc/e9def6224b5ab3383cd
    0x1000          3          7         6        43         1        ok       0.000  0x005cd3800  0x000196000  0x00593d800        25688          61        25627  ed1/42c/707/14b/0e6/585/edf/85a9b44b6439fa901ec
    0x1000          3          7         7        50         1        ok       0.000  0x005cd3800  0x000199000  0x00593a800        25688          69        25619  f3d/a37/c64/441/3cb/2ef/6a5/86abe5ecef0dc4fdc0f
    0x1000          3          7         8        57         1        ok       0.000  0x005cd3800  0x00019c000  0x005937800        25688          77        25611  2d9/477/551/639/cee/ba2/f0f/ed3845f5e9292e3293c
    0x1000          3          7         9        64         1        ok       0.000  0x005cd3800  0x00019f000  0x005934800        25688          85        25603  426/8c7/851/101/b98/09f/b39/ad912a6ce81ea18f568
    0x1000          3          7        10        71         1        ok       0.000  0x005cd3800  0x0001a2000  0x005931800        25688          93        25595  0fb/3dd/0c7/ce5/200/47b/248/a104e2abf3ffac12cf3
    0x1000          3          7        11        78         1        ok       0.000  0x005cd3800  0x0001a5000  0x00592e800        25688         101        25587  baa/718/833/8fd/4d3/18c/e63/d7f54148e0dbdacad35
    0x1000          3          7        12        85         1        ok       0.000  0x005cd3800  0x0001a8000  0x00592b800        25688         109        25579  1e0/a18/ff5/335/f73/f7f/ceb/bec6be57f9a039dff06
    0x1000          3          7        13        92         1        ok       0.000  0x005cd3800  0x0001ab000  0x005928800        25688         117        25571  830/ce3/51f/805/f63/b41/29a/75f743b54a3fe7ae688
    0x1000          3          7        14        99         1        ok       0.000  0x005cd3800  0x0001ae000  0x005925800        25688         125        25563  f20/4a7/322/4c4/788/f3f/efa/6e7110b63517f901a56
    0x1000          3          7        15       106         1        ok       0.000  0x005cd3800  0x0001b1000  0x005922800        25688         133        25555  f87/d31/a43/1db/f79/9e9/3f1/d22b093e824377d9d86
    0x1000          3          7        16       113         1        ok       0.000  0x005cd3800  0x0001b4000  0x00591f800        25688         141        25547  b9a/fbb/004/b66/f29/23a/ca9/c57b7175f7bc3ea3db6
    0x1000          3          7        17       120         1        ok       0.000  0x005cd3800  0x0001b7000  0x00591c800        25688         149        25539  42f/6cf/590/723/457/22f/1a3/5962a2af2a5e6c4649f
    0x1000          3          7        18       127         1        ok       0.000  0x005cd3800  0x0001ba000  0x005919800        25688         157        25531  894/2b1/d44/978/877/471/a0f/248941cd30fb7ee65d6
    0x1000          3          7        19       134         1        ok       0.000  0x005cd3800  0x0001bd000  0x005916800        25688         165        25523  a74/89d/1d6/9cd/de6/e32/0ed/09c6fe599feff67635b
    0x1000          3          7        20       141         1        ok       0.000  0x005cd3800  0x0001c0000  0x005913800        25688         173        25515  c8a/594/815/220/9ae/ada/89f/07675120b8c9b239869
    0x1000          3          7        21       148         1        ok       0.000  0x005cd3800  0x0001c3000  0x005910800        25688         181        25507  d7a/1eb/e49/4ef/77a/d7f/b1f/8e9d39173c55ebd50db
    0x1000          3          7        22       155         1        ok       0.000  0x005cd3800  0x0001c6000  0x00590d800        25688         189        25499  d82/71d/72e/7b4/3f4/64e/66c/020fd7efce094ed0906
    0x1000          3          7        23       162         1        ok       0.000  0x005cd3800  0x0001c9000  0x00590a800        25688         197        25491  d33/3c7/7df/607/cb1/884/434/ae7d9a31e045e73b627
    0x1000          3          7        24       169         1        ok       0.000  0x005cd3800  0x0001cc000  0x005907800        25688         205        25483  605/b71/e08/2e7/4f1/6cc/655/f5e1a06c6d5bc37cb9b
    0x1000          3          7        25       176         1        ok       0.000  0x005cd3800  0x0001cf000  0x005904800        25688         213        25475  8c5/cc6/9cc/c30/484/f26/5ff/4384be097f05a1b492f
    0x1000          3          7        26       183         1        ok       0.000  0x005cd3800  0x0001d2000  0x005901800        25688         221        25467  24c/d0e/c3c/410/9cb/29f/6b5/067fb6786627ebe032a
    0x1000          3          7        27       190         1        ok       0.000  0x005cd3800  0x0001d5000  0x0058fe800        25688         229        25459  3f0/bce/f49/49c/39a/0df/e7b/12bac7c79219beb9914
