# Simulating growing object file directories
# 
# dir_split:          3
# example_file:       75f/080/3ef/1c3/8ba/c63/564/d33/f0f/ae3/426/d0d/827d
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          12
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:25:16.584723
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=03 --dir-depth=12 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7411384 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          3         12         1        13         1        ok       0.000  0x005cd3800  0x000188400  0x00594b400        25688          26        25662  14a/d07/d30/bc9/761/fde/66b/4bf/328/d66/b53/da2/6947
    0x1000          3         12         2        25         1        ok       0.000  0x005cd3800  0x00018c800  0x005947000        25688          39        25649  021/57e/413/932/9e8/93c/4e8/851/11e/1be/2e1/c19/6fb1
    0x1000          3         12         3        37         1        ok       0.000  0x005cd3800  0x000190c00  0x005942c00        25688          52        25636  935/e7c/265/771/349/ba7/691/bb4/415/375/dd5/529/9a46
    0x1000          3         12         4        49         1        ok       0.000  0x005cd3800  0x000195000  0x00593e800        25688          65        25623  2e7/a44/17a/111/eda/1c8/97b/154/48b/7f6/668/4ce/05bf
    0x1000          3         12         5        61         1        ok       0.000  0x005cd3800  0x000199400  0x00593a400        25688          78        25610  5c2/4cb/721/ec1/704/3db/e50/fdc/e61/bf0/7a9/198/2b75
    0x1000          3         12         6        73         1        ok       0.000  0x005cd3800  0x00019d800  0x005936000        25688          91        25597  292/43e/963/cb2/a1c/9f2/f21/a5e/7dd/8bb/801/d54/e8ba
    0x1000          3         12         7        85         1        ok       0.000  0x005cd3800  0x0001a1c00  0x005931c00        25688         104        25584  f72/d8b/acd/889/bae/5af/bbe/f69/fc5/2d3/46c/b9e/bdb3
    0x1000          3         12         8        97         1        ok       0.000  0x005cd3800  0x0001a6000  0x00592d800        25688         117        25571  926/28a/780/0ee/aae/a78/fc8/ddc/a1a/627/6cf/859/9d8f
    0x1000          3         12         9       109         1        ok       0.000  0x005cd3800  0x0001aa400  0x005929400        25688         130        25558  34f/057/0e4/2b7/3c0/253/b4a/a17/d2a/e83/0a7/e54/c347
    0x1000          3         12        10       121         1        ok       0.000  0x005cd3800  0x0001ae800  0x005925000        25688         143        25545  63b/cf4/d2e/acc/91a/cc0/ca6/de0/8b3/b33/62e/b38/a7fd
    0x1000          3         12        11       133         1        ok       0.000  0x005cd3800  0x0001b2c00  0x005920c00        25688         156        25532  dd4/db5/643/b08/760/d61/4f1/0d2/0b8/c7e/a9f/6a2/5be6
    0x1000          3         12        12       145         1        ok       0.000  0x005cd3800  0x0001b7000  0x00591c800        25688         169        25519  dbe/18f/4cf/355/b19/d49/c5f/2f3/3d6/68f/812/920/d73e
    0x1000          3         12        13       157         1        ok       0.000  0x005cd3800  0x0001bb400  0x005918400        25688         182        25506  f6e/0f0/51b/171/aa1/9a6/b4b/840/2b1/fa5/ce6/c3c/4cc5
    0x1000          3         12        14       169         1        ok       0.000  0x005cd3800  0x0001bf800  0x005914000        25688         195        25493  374/0e4/258/b5d/793/6a8/eaa/44f/c99/8a2/9e6/4d5/087b
    0x1000          3         12        15       181         1        ok       0.000  0x005cd3800  0x0001c3c00  0x00590fc00        25688         208        25480  6e8/9a4/868/af7/09f/939/d98/7aa/bfa/46f/fa3/256/24e0
    0x1000          3         12        16       193         1        ok       0.000  0x005cd3800  0x0001c8000  0x00590b800        25688         221        25467  d2f/288/f9b/975/953/05f/63b/c37/bfd/bbd/3fa/cbc/3613
    0x1000          3         12        17       205         1        ok       0.000  0x005cd3800  0x0001cc400  0x005907400        25688         234        25454  4ce/26c/70a/254/11c/2d2/554/ce0/409/992/522/9b9/d113
    0x1000          3         12        18       217         1        ok       0.000  0x005cd3800  0x0001d0800  0x005903000        25688         247        25441  f96/e88/9d4/2a8/2ab/8ea/edc/0b4/f68/f1f/383/67c/5dc2
    0x1000          3         12        19       229         1        ok       0.000  0x005cd3800  0x0001d4c00  0x0058fec00        25688         260        25428  7d5/0a3/1b1/da9/3ab/209/136/d9f/89a/b92/ec5/e85/a18e
