# Simulating growing object file directories
# 
# dir_split:          4
# example_file:       a692/499656d4292b79b68f837d211cee4799f9e7
# reformat_partition: /dev/murphytest04-vg/smalltest
# data_gen:           random
# dir_depth:          1
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:21:56.454420
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=04 --dir-depth=01 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest04-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7400348 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          4          1         1         2         1        ok       0.000  0x005cd3800  0x000185800  0x00594e000        25688          15        25673  712d/0cd20470cf74b33537c47fcda0e3080ce14a
    0x1000          4          1         2         3         1        ok       0.000  0x005cd3800  0x000187000  0x00594c800        25688          17        25671  1258/6575a57782cba99fe57e341a45e5cae6e85b
    0x1000          4          1         3         4         1        ok       0.000  0x005cd3800  0x000188800  0x00594b000        25688          19        25669  0026/f38b42412232b497662e9dabc9209122b82c
    0x1000          4          1         4         5         1        ok       0.000  0x005cd3800  0x00018a000  0x005949800        25688          21        25667  7eba/4231a2ce7741fe46b1dfbdd68cdb6195fda3
    0x1000          4          1         5         6         1        ok       0.000  0x005cd3800  0x00018b800  0x005948000        25688          23        25665  c70b/fcf2e5066f00c2ebe9cfb1424b448ba28834
    0x1000          4          1         6         7         1        ok       0.000  0x005cd3800  0x00018d000  0x005946800        25688          25        25663  a250/5fe257bdf9be1bbbe1db45bb8aca767696a0
    0x1000          4          1         7         8         1        ok       0.000  0x005cd3800  0x00018e800  0x005945000        25688          27        25661  fa2e/b5aef6d008e3464263f2e4e5a96e0a062e11
    0x1000          4          1         8         9         1        ok       0.000  0x005cd3800  0x000190000  0x005943800        25688          29        25659  b9e7/29985320ba85ffc86882ef47a092dfa496c2
    0x1000          4          1         9        10         1        ok       0.000  0x005cd3800  0x000191800  0x005942000        25688          31        25657  049f/f6eded1e6e101c3a7e86c05e3560fd5e7844
    0x1000          4          1        10        11         1        ok       0.000  0x005cd3800  0x000193000  0x005940800        25688          33        25655  e35c/f270cea80411be304bae94b34fb69075849e
    0x1000          4          1        11        12         1        ok       0.000  0x005cd3800  0x000194800  0x00593f000        25688          35        25653  0348/d777aacb2a2611b637df6bc33472f9ebadd5
    0x1000          4          1        12        13         1        ok       0.000  0x005cd3800  0x000196000  0x00593d800        25688          37        25651  21d8/683594c10d60a074cfb979b3b211c61d0b0f
    0x1000          4          1        13        14         1        ok       0.000  0x005cd3800  0x000197800  0x00593c000        25688          39        25649  1ecf/408a3be22524548b75ecaf9633410d3ec0ed
    0x1000          4          1        14        15         1        ok       0.000  0x005cd3800  0x000199000  0x00593a800        25688          41        25647  07eb/a7ac973b4a7165ee8dac368ce3c3f2def286
    0x1000          4          1        15        16         1        ok       0.000  0x005cd3800  0x00019a800  0x005939000        25688          43        25645  5305/58cf8fd4ddd5e74469733c7e5230c540b22f
    0x1000          4          1        16        17         1        ok       0.000  0x005cd3800  0x00019c000  0x005937800        25688          45        25643  041f/9a4671c07e8dd8d240c23e8fa3fd81f0e26c
    0x1000          4          1        17        18         1        ok       0.000  0x005cd3800  0x00019d800  0x005936000        25688          47        25641  fd17/205a46e6f471d0a8e65af1315136a8f9e274
    0x1000          4          1        18        19         1        ok       0.000  0x005cd3800  0x00019f000  0x005934800        25688          49        25639  254a/6b8497d8ce9395126a8f80671229e35b16b1
    0x1000          4          1        19        20         1        ok       0.000  0x005cd3800  0x0001a0800  0x005933000        25688          51        25637  58cc/aa7d324c58482bcacce9bc3f69095fc3c6f0
    0x1000          4          1        20        21         1        ok       0.000  0x005cd3800  0x0001a2000  0x005931800        25688          53        25635  de56/643d31636b99fbd9ad0b08c28d0246026cf8
    0x1000          4          1        21        22         1        ok       0.000  0x005cd3800  0x0001a3800  0x005930000        25688          55        25633  a69e/62634b9d441af39ff7fb35539a75d32e1016
    0x1000          4          1        22        23         1        ok       0.000  0x005cd3800  0x0001a5000  0x00592e800        25688          57        25631  ff64/2a5c3ea8a9999c6058ef5de7d43cdd4cd17c
    0x1000          4          1        23        24         1        ok       0.000  0x005cd3800  0x0001a6800  0x00592d000        25688          59        25629  28cf/2290da4d919fbba36b33afb8a5b2d104cf7d
    0x1000          4          1        24        25         1        ok       0.000  0x005cd3800  0x0001a8000  0x00592b800        25688          61        25627  9db2/6a94310b6d3cb6a7dfeaaca62f608e4099b9
    0x1000          4          1        25        26         1        ok       0.000  0x005cd3800  0x0001a9800  0x00592a000        25688          63        25625  8485/05ebfbbe0a2bd46365ed813339f0af3a7015
    0x1000          4          1        26        27         1        ok       0.000  0x005cd3800  0x0001ab000  0x005928800        25688          65        25623  95ec/2ae5a44e5f5f1e0dd7478498d4c86be397f5
    0x1000          4          1        27        28         1        ok       0.000  0x005cd3800  0x0001ac800  0x005927000        25688          67        25621  8221/9539faa90ded3528ab493e5ec624bc404d53
    0x1000          4          1        28        29         1        ok       0.000  0x005cd3800  0x0001ae000  0x005925800        25688          69        25619  56b3/373fbec29267b39344e2c28949c5cf0e1945
    0x1000          4          1        29        30         1        ok       0.000  0x005cd3800  0x0001af800  0x005924000        25688          71        25617  1c12/71aab84f68fded1623b534304735a3665fce
    0x1000          4          1        30        31         1        ok       0.000  0x005cd3800  0x0001b1000  0x005922800        25688          73        25615  e2d9/2e8dc715c23a26915a90fe2644bafbe235e4
    0x1000          4          1        31        32         1        ok       0.000  0x005cd3800  0x0001b2800  0x005921000        25688          75        25613  5612/14e27f8a68e9bcecd237764b3810bf6b77de
    0x1000          4          1        32        33         1        ok       0.000  0x005cd3800  0x0001b4000  0x00591f800        25688          77        25611  b0f6/14debd81b59f33ca77c1a98ac8fc0af28972
    0x1000          4          1        33        34         1        ok       0.000  0x005cd3800  0x0001b5800  0x00591e000        25688          79        25609  f490/8780f4ba7e65ad26a6afd7ae3f30d1d00098
    0x1000          4          1        34        35         1        ok       0.000  0x005cd3800  0x0001b7000  0x00591c800        25688          81        25607  d8c6/7ab527190cd717d2e0d2965798c838ffc7b9
    0x1000          4          1        35        36         1        ok       0.000  0x005cd3800  0x0001b8800  0x00591b000        25688          83        25605  7c9e/1682773cd68e6c00e3e5a1dafaccad923f3d
    0x1000          4          1        36        37         1        ok       0.000  0x005cd3800  0x0001ba000  0x005919800        25688          85        25603  26a7/f401ac802baa401ff017f6ec490b2ddb8ed8
    0x1000          4          1        37        38         1        ok       0.000  0x005cd3800  0x0001bb800  0x005918000        25688          87        25601  2d7e/ad83164275debb8c4cde1f317d98024975b5
    0x1000          4          1        38        39         1        ok       0.000  0x005cd3800  0x0001bd000  0x005916800        25688          89        25599  b11b/bfffbe7cbe344cbcc2367604fde6daebd15d
    0x1000          4          1        39        40         1        ok       0.000  0x005cd3800  0x0001be800  0x005915000        25688          91        25597  5895/54c2c0ebb8169d3f7b68d76efabfb8b9f2e5
    0x1000          4          1        40        41         1        ok       0.000  0x005cd3800  0x0001c0000  0x005913800        25688          93        25595  9e5a/64ffe7c56da9f6674281a6364c9f4d76a3a1
    0x1000          4          1        41        42         1        ok       0.000  0x005cd3800  0x0001c1800  0x005912000        25688          95        25593  0337/d55f1d8212d2ca5d70dbef69ead964745119
    0x1000          4          1        42        43         1        ok       0.000  0x005cd3800  0x0001c3000  0x005910800        25688          97        25591  a1c9/e3b75fc44c8e78c725647f82ee78cfce99a5
    0x1000          4          1        43        44         1        ok       0.000  0x005cd3800  0x0001c4800  0x00590f000        25688          99        25589  8ce6/4513158d9d053efd87ab1979798271786194
    0x1000          4          1        44        45         1        ok       0.000  0x005cd3800  0x0001c6000  0x00590d800        25688         101        25587  2863/342f1d935e74c314dd10354893de47cfd977
    0x1000          4          1        45        46         1        ok       0.000  0x005cd3800  0x0001c7800  0x00590c000        25688         103        25585  7061/865e317e8ae49882f3d34092403d213a73fa
    0x1000          4          1        46        47         1        ok       0.000  0x005cd3800  0x0001c9000  0x00590a800        25688         105        25583  5546/ba5241c06dfbcef9c618043bed0528a3cf34
    0x1000          4          1        47        48         1        ok       0.000  0x005cd3800  0x0001ca800  0x005909000        25688         107        25581  a62d/9a76d2ab4a7e64b4b946cae5734810007064
    0x1000          4          1        48        49         1        ok       0.000  0x005cd3800  0x0001cc000  0x005907800        25688         109        25579  8173/af011856901cc75f371e11a3371334475a02
    0x1000          4          1        49        50         1        ok       0.000  0x005cd3800  0x0001cd800  0x005906000        25688         111        25577  3604/90df531219b115a208407efae0e59b4cfb0b
    0x1000          4          1        50        51         1        ok       0.000  0x005cd3800  0x0001cf000  0x005904800        25688         113        25575  01f3/9b9b5a69cd5c5ab12c685861f8423c11d488
    0x1000          4          1        51        52         1        ok       0.000  0x005cd3800  0x0001d0800  0x005903000        25688         115        25573  0a4e/5615b537489ee0facd0363daf13daac34b11
    0x1000          4          1        52        53         1        ok       0.000  0x005cd3800  0x0001d2000  0x005901800        25688         117        25571  af49/9b9bb55b43e1dcdacba88a3e9be06e707099
    0x1000          4          1        53        54         1        ok       0.000  0x005cd3800  0x0001d3800  0x005900000        25688         119        25569  ac7b/080e187c6307a485ecdc0f4135d821e4efcb
    0x1000          4          1        54        55         1        ok       0.000  0x005cd3800  0x0001d5000  0x0058fe800        25688         121        25567  0907/5efc601f7a2ba9865698d2c5cc34ac38f513
    0x1000          4          1        55        56         1        ok       0.000  0x005cd3800  0x0001d6800  0x0058fd000        25688         123        25565  0ecc/cf05fdb6e9f6a7fd8169ca7617ecd8ea56f2
    0x1000          4          1        56        57         1        ok       0.000  0x005cd3800  0x0001d8000  0x0058fb800        25688         125        25563  6104/febd4cda6ef0ec4e48d490116510711e85bc
    0x1000          4          1        57        58         1        ok       0.000  0x005cd3800  0x0001d9800  0x0058fa000        25688         127        25561  d196/97b1d61163c41d496eb1d43f02b6272585be
    0x1000          4          1        58        59         1        ok       0.000  0x005cd3800  0x0001db000  0x0058f8800        25688         129        25559  9431/0b9cd581389fc4ea71cf930f812ea1eedef2
    0x1000          4          1        59        60         1        ok       0.000  0x005cd3800  0x0001dc800  0x0058f7000        25688         131        25557  0dcc/0d8399208550c94edc7ed28e624c4b3190e6
    0x1000          4          1        60        61         1        ok       0.000  0x005cd3800  0x0001de000  0x0058f5800        25688         133        25555  0814/7dc2dfc1afebd29e2e7805b2ed377be955da
    0x1000          4          1        61        62         1        ok       0.000  0x005cd3800  0x0001df800  0x0058f4000        25688         135        25553  6f27/d3082d927b8acce33fb62561b9ca94d9c748
    0x1000          4          1        62        63         1        ok       0.000  0x005cd3800  0x0001e1000  0x0058f2800        25688         137        25551  0ebe/8f1242d27e9ed10f1d9311e7b002a9252fe1
    0x1000          4          1        63        64         1        ok       0.000  0x005cd3800  0x0001e2800  0x0058f1000        25688         139        25549  a807/8562ffae839e0b2092212637ed16149714a0
    0x1000          4          1        64        65         1        ok       0.000  0x005cd3800  0x0001e4000  0x0058ef800        25688         141        25547  92c2/dd6249cedd9e86fc3b4ad5322ed55c46b507
    0x1000          4          1        65        66         1        ok       0.000  0x005cd3800  0x0001e5800  0x0058ee000        25688         143        25545  32a3/f6f3f0a6f71b40541a88cfbb063ef3c10529
    0x1000          4          1        66        67         1        ok       0.000  0x005cd3800  0x0001e7000  0x0058ec800        25688         145        25543  1062/48fd69703fd08e3d38b9a962ae217b72c967
    0x1000          4          1        67        68         1        ok       0.000  0x005cd3800  0x0001e8800  0x0058eb000        25688         147        25541  c880/25e9672e9d1ad410e4044418a358399acf93
    0x1000          4          1        68        69         1        ok       0.000  0x005cd3800  0x0001ea000  0x0058e9800        25688         149        25539  a3b0/19d97f52132baa74a5e8c94fab56620acc9d
    0x1000          4          1        69        70         1        ok       0.000  0x005cd3800  0x0001eb800  0x0058e8000        25688         151        25537  85c0/6d2116cfee63bce3e89c29fcaaed6fd069b0
    0x1000          4          1        70        71         1        ok       0.000  0x005cd3800  0x0001ed000  0x0058e6800        25688         153        25535  c2ec/116da346d7832f7de19764cdb9600cf84bf4
    0x1000          4          1        71        72         1        ok       0.000  0x005cd3800  0x0001ee800  0x0058e5000        25688         155        25533  0399/023541d29829ec5a3071cddceb55f8758324
    0x1000          4          1        72        73         1        ok       0.000  0x005cd3800  0x0001f0000  0x0058e3800        25688         157        25531  cbfe/c5732d1be54a3af26db45fb7309756fadfd9
    0x1000          4          1        73        74         1        ok       0.000  0x005cd3800  0x0001f1800  0x0058e2000        25688         159        25529  68d5/6eda3114f5cca193ebfc1d017badcb1449bc
    0x1000          4          1        74        75         1        ok       0.000  0x005cd3800  0x0001f3000  0x0058e0800        25688         161        25527  9f2f/83c75e2e4f195c67d6fc6acfc99c9c118831
    0x1000          4          1        75        76         1        ok       0.000  0x005cd3800  0x0001f4800  0x0058df000        25688         163        25525  8c08/6ccd4a5365d67850ba67bf6f22f32288f228
    0x1000          4          1        76        77         1        ok       0.000  0x005cd3800  0x0001f6000  0x0058dd800        25688         165        25523  be54/d4d2d7f31c908bb9340559f818547ec5048d
    0x1000          4          1        77        78         1        ok       0.000  0x005cd3800  0x0001f7800  0x0058dc000        25688         167        25521  f90e/4cdff34b35f39fb6e36dbb0c9f7b1ddaeb9b
    0x1000          4          1        78        79         1        ok       0.000  0x005cd3800  0x0001f9000  0x0058da800        25688         169        25519  e6ad/5db2282dea0113b03728c80f97815f975962
    0x1000          4          1        79        80         1        ok       0.000  0x005cd3800  0x0001fa800  0x0058d9000        25688         171        25517  aede/35215f7da013642faa97de2f508349472ca7
    0x1000          4          1        80        81         1        ok       0.000  0x005cd3800  0x0001fc000  0x0058d7800        25688         173        25515  c961/10d7390db6138239e7c204cc461d36873110
