# Simulating growing object file directories
# 
# dir_split:          4
# example_file:       8dcf/931d/af9cc31e6f46954dc5df3b716e3d568d
# reformat_partition: /dev/murphytest03-vg/smalltest
# data_gen:           random
# dir_depth:          2
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:24:23.851931
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=04 --dir-depth=02 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest03-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7386812 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          4          2         1         3         1        ok       0.000  0x005cd3800  0x000185c00  0x00594dc00        25688          16        25672  49a1/607c/907d66d7026e4c2eb768d8d94e47d692
    0x1000          4          2         2         5         1        ok       0.000  0x005cd3800  0x000187800  0x00594c000        25688          19        25669  6433/7cdf/276ebb304d0467245eb4496f31022570
    0x1000          4          2         3         7         1        ok       0.000  0x005cd3800  0x000189400  0x00594a400        25688          22        25666  bcab/78e2/75e4d2b1063c0669f2705d0d3a5a2029
    0x1000          4          2         4         9         1        ok       0.000  0x005cd3800  0x00018b000  0x005948800        25688          25        25663  61ae/5d24/dee81cf1893a97c2ae38336b72be5965
    0x1000          4          2         5        11         1        ok       0.000  0x005cd3800  0x00018cc00  0x005946c00        25688          28        25660  ba61/5c63/08f91c41b8ebd4cda299dc83cfc8bdad
    0x1000          4          2         6        13         1        ok       0.000  0x005cd3800  0x00018e800  0x005945000        25688          31        25657  262b/9780/ccdee9d2c5de5499ae3d933e8892e688
    0x1000          4          2         7        15         1        ok       0.000  0x005cd3800  0x000190400  0x005943400        25688          34        25654  8a43/ca2b/eacb5a6ab3d7c156317753da8ac8935c
    0x1000          4          2         8        17         1        ok       0.000  0x005cd3800  0x000192000  0x005941800        25688          37        25651  a797/1866/aeeb27cc44c9bc5ec4582119bd825c38
    0x1000          4          2         9        19         1        ok       0.000  0x005cd3800  0x000193c00  0x00593fc00        25688          40        25648  5b1f/b728/483dd3f7e2eecca012c8561bface6e34
    0x1000          4          2        10        21         1        ok       0.000  0x005cd3800  0x000195800  0x00593e000        25688          43        25645  8a9e/739b/0bafeafd48ea10a8842f55f6efa97ebb
    0x1000          4          2        11        23         1        ok       0.000  0x005cd3800  0x000197400  0x00593c400        25688          46        25642  b3c9/582c/39bb0ee1ea87c2ae512dcdbcb8ea51b9
    0x1000          4          2        12        25         1        ok       0.000  0x005cd3800  0x000199000  0x00593a800        25688          49        25639  0607/e797/0ec7f6a26f22d5485abbf1ab997f9bdc
    0x1000          4          2        13        27         1        ok       0.000  0x005cd3800  0x00019ac00  0x005938c00        25688          52        25636  9ef2/9a91/0043a95556bfecb72f790e6a62317013
    0x1000          4          2        14        29         1        ok       0.000  0x005cd3800  0x00019c800  0x005937000        25688          55        25633  631f/898b/f39a3e467a7f99814960a374e3844842
    0x1000          4          2        15        31         1        ok       0.000  0x005cd3800  0x00019e400  0x005935400        25688          58        25630  b1a3/1d62/1f2b3bd6aec397759bc2417853ecef17
    0x1000          4          2        16        33         1        ok       0.000  0x005cd3800  0x0001a0000  0x005933800        25688          61        25627  4fd1/49b5/324cbe0791f50cb8697756a7126f0114
    0x1000          4          2        17        35         1        ok       0.000  0x005cd3800  0x0001a1c00  0x005931c00        25688          64        25624  47f7/348f/7ab2d4ad1434c98a6e23c5bb5077421f
    0x1000          4          2        18        37         1        ok       0.000  0x005cd3800  0x0001a3800  0x005930000        25688          67        25621  e91e/2724/022d2e70699822dcef9572b2035c708b
    0x1000          4          2        19        39         1        ok       0.000  0x005cd3800  0x0001a5400  0x00592e400        25688          70        25618  4a78/4a67/f25ee9e2fbcdcff1afe23d97fab7afa0
    0x1000          4          2        20        41         1        ok       0.000  0x005cd3800  0x0001a7000  0x00592c800        25688          73        25615  6112/63ce/5ab1a98f9dd92a4e20161f1926454659
    0x1000          4          2        21        43         1        ok       0.000  0x005cd3800  0x0001a8c00  0x00592ac00        25688          76        25612  da91/79db/5de11ce78cb97495b88dc45e226a9453
    0x1000          4          2        22        45         1        ok       0.000  0x005cd3800  0x0001aa800  0x005929000        25688          79        25609  4bda/8de9/9c99a142d114077d2a5dda0db32dd49f
    0x1000          4          2        23        47         1        ok       0.000  0x005cd3800  0x0001ac400  0x005927400        25688          82        25606  883e/ea27/9d2a5ac9e9a50e044fbd4f20653a63af
    0x1000          4          2        24        49         1        ok       0.000  0x005cd3800  0x0001ae000  0x005925800        25688          85        25603  6b53/e461/a152cee5fbe5c546cf515fcf56290bb3
    0x1000          4          2        25        51         1        ok       0.000  0x005cd3800  0x0001afc00  0x005923c00        25688          88        25600  f3b3/9f61/8755fc05175b746ddd60095cce2ed328
    0x1000          4          2        26        53         1        ok       0.000  0x005cd3800  0x0001b1800  0x005922000        25688          91        25597  672c/10b9/98e87dad5a8d8803b9100531c59a74c6
    0x1000          4          2        27        55         1        ok       0.000  0x005cd3800  0x0001b3400  0x005920400        25688          94        25594  8a2c/309a/3f704a12e018f0f91c2c23db00612328
