# Simulating growing object file directories
# 
# dir_split:          4
# example_file:       e570/de3e/ad76/1e5a/6024/1b3ad8f97c153ac4b0dc
# reformat_partition: /dev/murphytest04-vg/smalltest
# data_gen:           random
# dir_depth:          5
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:24:34.999030
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=04 --dir-depth=05 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest04-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7394092 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          4          5         1         6         1        ok       0.000  0x005cd3800  0x000186800  0x00594d000        25688          19        25669  5f1c/d6f8/16d0/e7ec/37d2/5ec6b04a028bbbd70d4d
    0x1000          4          5         2        11         1        ok       0.000  0x005cd3800  0x000189000  0x00594a800        25688          25        25663  7816/82dc/16fd/16e0/8d7b/adf81f74bbcfb75ff5b2
    0x1000          4          5         3        16         1        ok       0.000  0x005cd3800  0x00018b800  0x005948000        25688          31        25657  d8be/5eb0/e49b/776b/e355/6a6b8e056cabcaed26f2
    0x1000          4          5         4        21         1        ok       0.000  0x005cd3800  0x00018e000  0x005945800        25688          37        25651  93cd/8234/2637/1685/89be/c9ea69fcfb31c4c0fd86
    0x1000          4          5         5        26         1        ok       0.000  0x005cd3800  0x000190800  0x005943000        25688          43        25645  27a2/c50e/03b1/7df1/ac58/80e2f4f9e85a62a662aa
    0x1000          4          5         6        31         1        ok       0.000  0x005cd3800  0x000193000  0x005940800        25688          49        25639  426c/1004/f5b9/b137/e69d/7fd1a99558625a746548
    0x1000          4          5         7        36         1        ok       0.000  0x005cd3800  0x000195800  0x00593e000        25688          55        25633  e39c/e751/0749/d727/f243/3a55a5fed1bdf3c8a11a
    0x1000          4          5         8        41         1        ok       0.000  0x005cd3800  0x000198000  0x00593b800        25688          61        25627  2928/8cea/1512/9201/eb95/09f4fb90ccf856618446
    0x1000          4          5         9        46         1        ok       0.000  0x005cd3800  0x00019a800  0x005939000        25688          67        25621  9968/e2e1/a253/0109/de5c/612190f336676c7d2f07
    0x1000          4          5        10        51         1        ok       0.000  0x005cd3800  0x00019d000  0x005936800        25688          73        25615  50ce/26af/b0f2/2de4/f088/f579a0aa7909f8d31075
