# Simulating growing object file directories
# 
# dir_split:          4
# example_file:       8fd1/1659/8886/38a1/e113/019e/52e09ceb93c33168
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          6
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:28:52.281524
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=04 --dir-depth=06 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7399280 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          4          6         1         7         1        ok       0.000  0x005cd3800  0x000186c00  0x00594cc00        25688          20        25668  1c1a/9346/f2b2/2813/4e93/c007/e4fa853e4463c3d9
    0x1000          4          6         2        13         1        ok       0.000  0x005cd3800  0x000189800  0x00594a000        25688          27        25661  a265/b113/1658/af14/dede/f405/32724e838fba1251
    0x1000          4          6         3        19         1        ok       0.000  0x005cd3800  0x00018c400  0x005947400        25688          34        25654  08bd/96d2/ea24/b952/b4f9/965f/1de5b7313d79aa2e
    0x1000          4          6         4        25         1        ok       0.000  0x005cd3800  0x00018f000  0x005944800        25688          41        25647  fc2b/0343/c7e7/bf89/18a5/44eb/620d7dc861b73351
    0x1000          4          6         5        31         1        ok       0.000  0x005cd3800  0x000191c00  0x005941c00        25688          48        25640  cc9b/6e3c/d88f/c4be/78c6/2ba8/7007c5265cffbe72
    0x1000          4          6         6        37         1        ok       0.000  0x005cd3800  0x000194800  0x00593f000        25688          55        25633  19a7/a7b0/55bb/f130/e4b8/6f78/0f1ce1c8185bdb95
    0x1000          4          6         7        43         1        ok       0.000  0x005cd3800  0x000197400  0x00593c400        25688          62        25626  b45d/161f/3c99/5a56/c2b1/323f/5912b0b85eef96b1
    0x1000          4          6         8        49         1        ok       0.000  0x005cd3800  0x00019a000  0x005939800        25688          69        25619  28ab/4197/9e45/dfea/078e/6a60/31d9fbd81f699ceb
    0x1000          4          6         9        55         1        ok       0.000  0x005cd3800  0x00019cc00  0x005936c00        25688          76        25612  ad48/1a38/8427/3182/17ce/9522/34e2b7d60d33d7ce
    0x1000          4          6        10        61         1        ok       0.000  0x005cd3800  0x00019f800  0x005934000        25688          83        25605  0b04/42c1/5565/585d/796d/a165/99d88d7e13938af7
