# Simulating growing object file directories
# 
# dir_split:          4
# example_file:       565e/b2e5/1e8b/e309/5f05/5bc1/301f730755e04738
# reformat_partition: /dev/murphytest03-vg/smalltest
# data_gen:           random
# dir_depth:          6
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:26:24.281593
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=04 --dir-depth=06 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest03-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7380980 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          4          6         1         7         1        ok       0.000  0x005cd3800  0x000186c00  0x00594cc00        25688          20        25668  3ea9/8959/7000/7693/be5d/65b1/b246ab16dcb6d7c4
    0x1000          4          6         2        13         1        ok       0.000  0x005cd3800  0x000189800  0x00594a000        25688          27        25661  65c5/2e8b/a20b/c736/126a/585c/71736756f125874e
    0x1000          4          6         3        19         1        ok       0.000  0x005cd3800  0x00018c400  0x005947400        25688          34        25654  fb78/21ec/7269/61c6/ad75/0675/6af4644c32698e46
    0x1000          4          6         4        25         1        ok       0.000  0x005cd3800  0x00018f000  0x005944800        25688          41        25647  e14b/1592/c723/119a/3ed5/011a/32019a3d8d5db64d
    0x1000          4          6         5        31         1        ok       0.000  0x005cd3800  0x000191c00  0x005941c00        25688          48        25640  6a39/a4b0/705a/21b0/c9fd/15dd/861209038c6491eb
    0x1000          4          6         6        37         1        ok       0.000  0x005cd3800  0x000194800  0x00593f000        25688          55        25633  9a9c/4e34/ac18/e599/017d/387a/5606e89dcb1019fd
    0x1000          4          6         7        43         1        ok       0.000  0x005cd3800  0x000197400  0x00593c400        25688          62        25626  f49e/bdd3/5b87/c665/bb2a/f572/d6a22a8f88d369b5
    0x1000          4          6         8        49         1        ok       0.000  0x005cd3800  0x00019a000  0x005939800        25688          69        25619  3a0d/74e6/32e9/e3d4/066e/5547/5a857285358aebb5
    0x1000          4          6         9        55         1        ok       0.000  0x005cd3800  0x00019cc00  0x005936c00        25688          76        25612  6615/7edd/3d30/3bd0/d3ce/98a6/26cac09d70e95fa8
    0x1000          4          6        10        61         1        ok       0.000  0x005cd3800  0x00019f800  0x005934000        25688          83        25605  e8d6/6b25/3a8c/ec80/6e0e/8042/a601912bc21fa08a
    0x1000          4          6        11        67         1        ok       0.000  0x005cd3800  0x0001a2400  0x005931400        25688          90        25598  2b27/1f17/c6d1/668d/c345/fa6c/47a777318e9596b4
    0x1000          4          6        12        73         1        ok       0.000  0x005cd3800  0x0001a5000  0x00592e800        25688          97        25591  4c65/573e/ffc1/7e66/0b40/28a2/55311f7643a2268a
    0x1000          4          6        13        79         1        ok       0.000  0x005cd3800  0x0001a7c00  0x00592bc00        25688         104        25584  b16e/840d/6802/0223/238b/c1ce/4074b55cfcd7d2ea
    0x1000          4          6        14        85         1        ok       0.000  0x005cd3800  0x0001aa800  0x005929000        25688         111        25577  f22a/4052/eefa/a263/adcc/4684/c39d72814ed33b67
    0x1000          4          6        15        91         1        ok       0.000  0x005cd3800  0x0001ad400  0x005926400        25688         118        25570  9bb7/6279/9216/3539/661f/726f/51d890eb09eb2d54
    0x1000          4          6        16        97         1        ok       0.000  0x005cd3800  0x0001b0000  0x005923800        25688         125        25563  b7af/9a15/ad2e/8ebf/f86e/e83d/d731a68ca4ba3329
    0x1000          4          6        17       103         1        ok       0.000  0x005cd3800  0x0001b2c00  0x005920c00        25688         132        25556  22f8/c3f1/87fd/7d54/4957/8514/182113ea2040854e
    0x1000          4          6        18       109         1        ok       0.000  0x005cd3800  0x0001b5800  0x00591e000        25688         139        25549  f1fa/fd3b/4118/d726/3c21/cc2d/9a4454415d9e180e
    0x1000          4          6        19       115         1        ok       0.000  0x005cd3800  0x0001b8400  0x00591b400        25688         146        25542  29a8/3cb6/c703/7062/2bb1/0eb0/bb2d524e58a8026f
    0x1000          4          6        20       121         1        ok       0.000  0x005cd3800  0x0001bb000  0x005918800        25688         153        25535  9207/a78f/c16a/aa6e/e23d/0961/e245f8464e0a6625
    0x1000          4          6        21       127         1        ok       0.000  0x005cd3800  0x0001bdc00  0x005915c00        25688         160        25528  aeac/ff50/b2ca/3fcc/f634/7ca9/44ead5c64eb2eaf3
    0x1000          4          6        22       133         1        ok       0.000  0x005cd3800  0x0001c0800  0x005913000        25688         167        25521  b072/f553/3aaa/1eae/ffc6/2363/22db7430bad7d98b
    0x1000          4          6        23       139         1        ok       0.000  0x005cd3800  0x0001c3400  0x005910400        25688         174        25514  ece2/c96a/85bb/cf56/a7b9/7f6a/0ae1fa6f52186b09
