# Simulating growing object file directories
# 
# dir_split:          4
# example_file:       a7f6/d075/1cde/7e83/3661/4d08/bc5f/c31ba77ba225
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          7
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:29:11.794821
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=04 --dir-depth=07 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7399080 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          4          7         1         8         1        ok       0.000  0x005cd3800  0x000187000  0x00594c800        25688          21        25667  3e0f/6668/4331/199f/d65b/37b6/0b0a/4fde7341c83d
    0x1000          4          7         2        15         1        ok       0.000  0x005cd3800  0x00018a000  0x005949800        25688          29        25659  04c7/4e9c/551f/0f23/3857/8322/4c97/311f4ff70788
    0x1000          4          7         3        22         1        ok       0.000  0x005cd3800  0x00018d000  0x005946800        25688          37        25651  4f5a/5fcb/3fc8/6d56/421a/307b/e80c/44d9b3da086c
    0x1000          4          7         4        29         1        ok       0.000  0x005cd3800  0x000190000  0x005943800        25688          45        25643  6ada/684d/12ad/f241/4183/e44c/07a2/27befa343f37
    0x1000          4          7         5        36         1        ok       0.000  0x005cd3800  0x000193000  0x005940800        25688          53        25635  9489/7633/5fcd/bb14/11ac/d1db/d825/d4b530e5853a
    0x1000          4          7         6        43         1        ok       0.000  0x005cd3800  0x000196000  0x00593d800        25688          61        25627  1e12/e15a/5c14/5575/9fc6/d505/2639/6eeed7442012
    0x1000          4          7         7        50         1        ok       0.000  0x005cd3800  0x000199000  0x00593a800        25688          69        25619  b0d5/52cc/98da/a0e4/de44/ffcb/2ce8/780bfd34e236
    0x1000          4          7         8        57         1        ok       0.000  0x005cd3800  0x00019c000  0x005937800        25688          77        25611  fa17/cc5d/a961/78ef/0b20/96d3/f68f/fca03367ff12
    0x1000          4          7         9        64         1        ok       0.000  0x005cd3800  0x00019f000  0x005934800        25688          85        25603  3d1c/f619/76c0/6b94/d46f/77a0/19d5/86ef2589e85f
    0x1000          4          7        10        71         1        ok       0.000  0x005cd3800  0x0001a2000  0x005931800        25688          93        25595  7e8e/7c13/c4ba/a796/39fb/e24b/3314/4a6703a7fff2
    0x1000          4          7        11        78         1        ok       0.000  0x005cd3800  0x0001a5000  0x00592e800        25688         101        25587  209f/3a06/f305/145d/0265/b4d5/445d/9966d23c178d
