# Simulating growing object file directories
# 
# dir_split:          4
# example_file:       0c27/3119/2929/0fe3/b416/6310/4995/98fb/510b40fe
# reformat_partition: /dev/murphytest04-vg/smalltest
# data_gen:           random
# dir_depth:          8
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:25:33.605458
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=04 --dir-depth=08 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest04-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7389476 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          4          8         1         9         1        ok       0.000  0x005cd3800  0x000187400  0x00594c400        25688          22        25666  bdf9/00b6/7891/721c/fa71/c1f5/daae/9f4d/424caf54
    0x1000          4          8         2        17         1        ok       0.000  0x005cd3800  0x00018a800  0x005949000        25688          31        25657  2f31/22c7/5b1e/3bda/1fd8/95cb/bfbb/895f/0c6c2db3
    0x1000          4          8         3        25         1        ok       0.000  0x005cd3800  0x00018dc00  0x005945c00        25688          40        25648  3a34/7b4e/cb5f/49e7/4e4b/0be8/76da/1aac/d115e5ef
    0x1000          4          8         4        33         1        ok       0.000  0x005cd3800  0x000191000  0x005942800        25688          49        25639  039a/91d5/c776/697c/d859/9fa8/348e/6186/c4796b1f
    0x1000          4          8         5        41         1        ok       0.000  0x005cd3800  0x000194400  0x00593f400        25688          58        25630  acb4/ca38/0f48/593a/b13f/c53e/ee4c/5377/a9f3b3a9
    0x1000          4          8         6        49         1        ok       0.000  0x005cd3800  0x000197800  0x00593c000        25688          67        25621  fd08/446e/1c95/e857/7cf5/6e67/4af2/d221/cadcd9aa
    0x1000          4          8         7        57         1        ok       0.000  0x005cd3800  0x00019ac00  0x005938c00        25688          76        25612  437a/8f01/6be1/c903/a88e/6cc0/de8d/07b1/db567242
    0x1000          4          8         8        65         1        ok       0.000  0x005cd3800  0x00019e000  0x005935800        25688          85        25603  523d/8e19/7135/4507/cc3f/d900/1c3a/97a8/95d0aa2d
    0x1000          4          8         9        73         1        ok       0.000  0x005cd3800  0x0001a1400  0x005932400        25688          94        25594  72c9/0b82/7d1d/8ee8/68f0/1577/e4c8/9e40/0de03e71
    0x1000          4          8        10        81         1        ok       0.000  0x005cd3800  0x0001a4800  0x00592f000        25688         103        25585  8753/ebcd/9e4f/1620/205e/3239/cf5e/d113/14fb6474
    0x1000          4          8        11        89         1        ok       0.000  0x005cd3800  0x0001a7c00  0x00592bc00        25688         112        25576  f7c1/f522/bc37/b772/594c/cd38/5acf/a58e/0d753f1d
    0x1000          4          8        12        97         1        ok       0.000  0x005cd3800  0x0001ab000  0x005928800        25688         121        25567  6983/fbee/2146/e827/3366/673a/e70f/41ba/a5e8df02
    0x1000          4          8        13       105         1        ok       0.000  0x005cd3800  0x0001ae400  0x005925400        25688         130        25558  a5b5/817e/330e/10b9/84c4/37ed/e755/c104/42286418
    0x1000          4          8        14       113         1        ok       0.000  0x005cd3800  0x0001b1800  0x005922000        25688         139        25549  4608/b0a1/1d41/e97c/d6bc/1b6d/e64f/a773/fcf0e40a
    0x1000          4          8        15       121         1        ok       0.000  0x005cd3800  0x0001b4c00  0x00591ec00        25688         148        25540  e44b/d4d4/e2f9/7aec/6bcf/572d/00c3/c550/8df95ba7
    0x1000          4          8        16       129         1        ok       0.000  0x005cd3800  0x0001b8000  0x00591b800        25688         157        25531  1d8d/d603/d35d/5ef7/5225/1702/c842/9392/fb069bf3
    0x1000          4          8        17       137         1        ok       0.000  0x005cd3800  0x0001bb400  0x005918400        25688         166        25522  df07/1101/a583/f02d/822a/09de/4165/b41c/d35ee531
    0x1000          4          8        18       145         1        ok       0.000  0x005cd3800  0x0001be800  0x005915000        25688         175        25513  5695/cac0/4ba5/e07e/6daa/81ea/5686/ec3f/2bea1a25
    0x1000          4          8        19       153         1        ok       0.000  0x005cd3800  0x0001c1c00  0x005911c00        25688         184        25504  95c8/00a2/5744/a20b/ba3b/f11b/1c26/2d56/915d6752
    0x1000          4          8        20       161         1        ok       0.000  0x005cd3800  0x0001c5000  0x00590e800        25688         193        25495  a0f1/07f6/fcf9/e0cd/78c1/7b12/7043/ddd5/dc9921f5
    0x1000          4          8        21       169         1        ok       0.000  0x005cd3800  0x0001c8400  0x00590b400        25688         202        25486  ca17/9235/8ad1/55a3/2d1c/87fb/e36b/9cce/be92a4fc
    0x1000          4          8        22       177         1        ok       0.000  0x005cd3800  0x0001cb800  0x005908000        25688         211        25477  fb78/e7fb/a409/8cfa/fb47/6f5f/c285/9570/626eb9db
    0x1000          4          8        23       185         1        ok       0.000  0x005cd3800  0x0001cec00  0x005904c00        25688         220        25468  bdf3/5712/c628/f8c9/bc21/7f41/3f37/3415/d13fc646
    0x1000          4          8        24       193         1        ok       0.000  0x005cd3800  0x0001d2000  0x005901800        25688         229        25459  b422/40ff/894d/093d/d429/29de/290c/84dd/55187b4c
    0x1000          4          8        25       201         1        ok       0.000  0x005cd3800  0x0001d5400  0x0058fe400        25688         238        25450  6d6b/6e3f/effb/c934/f784/035a/7dac/db4e/442939a1
    0x1000          4          8        26       209         1        ok       0.000  0x005cd3800  0x0001d8800  0x0058fb000        25688         247        25441  b48a/aa2b/3a31/8ee4/0f51/431e/07a1/8ef4/b3ba4efa
    0x1000          4          8        27       217         1        ok       0.000  0x005cd3800  0x0001dbc00  0x0058f7c00        25688         256        25432  51c3/db21/9940/46fe/5269/ae6e/4881/0cd0/30f5363b
    0x1000          4          8        28       225         1        ok       0.000  0x005cd3800  0x0001df000  0x0058f4800        25688         265        25423  f5fc/6bf2/9b20/3aaf/5607/1ab9/5b49/02ae/86af73aa
    0x1000          4          8        29       233         1        ok       0.000  0x005cd3800  0x0001e2400  0x0058f1400        25688         274        25414  47cb/0baf/938c/e894/6229/a2a1/f265/9bc9/0e2c1af3
    0x1000          4          8        30       241         1        ok       0.000  0x005cd3800  0x0001e5800  0x0058ee000        25688         283        25405  4130/1ad8/7a39/58ee/1c0c/c2fc/6b3a/844d/6bfb2069
    0x1000          4          8        31       249         1        ok       0.000  0x005cd3800  0x0001e8c00  0x0058eac00        25688         292        25396  5e1a/eb1e/6d3f/70dd/f095/ae32/b69a/91ea/1d9d5686
    0x1000          4          8        32       257         1        ok       0.000  0x005cd3800  0x0001ec000  0x0058e7800        25688         301        25387  e783/0366/ace7/9b8b/bc26/df2d/0878/ac83/0b31ba3f
    0x1000          4          8        33       265         1        ok       0.000  0x005cd3800  0x0001ef400  0x0058e4400        25688         310        25378  cb6c/1454/56a4/b76c/0b4e/5aa7/5eb1/1244/6323e2f3
    0x1000          4          8        34       273         1        ok       0.000  0x005cd3800  0x0001f2800  0x0058e1000        25688         319        25369  23c8/feae/2fd9/c03c/ad7d/b50b/e65e/1d63/96913267
    0x1000          4          8        35       281         1        ok       0.000  0x005cd3800  0x0001f5c00  0x0058ddc00        25688         328        25360  77f9/51ad/aa87/8c02/8cd4/9d0f/73d9/92f0/2f5607c8
    0x1000          4          8        36       289         1        ok       0.000  0x005cd3800  0x0001f9000  0x0058da800        25688         337        25351  0833/2531/41dc/6e53/2227/3390/0b2b/9950/0b57ba1d
    0x1000          4          8        37       297         1        ok       0.000  0x005cd3800  0x0001fc400  0x0058d7400        25688         346        25342  b204/d84b/8de0/254f/34f3/ca0f/a616/6b26/981978f1
    0x1000          4          8        38       305         1        ok       0.000  0x005cd3800  0x0001ff800  0x0058d4000        25688         355        25333  f816/badb/6e39/9964/f584/3106/44d2/3efc/437729d0
    0x1000          4          8        39       313         1        ok       0.000  0x005cd3800  0x000202c00  0x0058d0c00        25688         364        25324  75b5/70f1/f708/1346/47c8/9f6c/e10c/b4e7/0baa80ea
    0x1000          4          8        40       321         1        ok       0.000  0x005cd3800  0x000206000  0x0058cd800        25688         373        25315  6002/7429/455b/8644/1ffc/9205/ac2d/a60e/b691da17
    0x1000          4          8        41       329         1        ok       0.000  0x005cd3800  0x000209400  0x0058ca400        25688         382        25306  4920/4d5e/b2d7/c845/687c/c116/810f/180c/aa304a2d
    0x1000          4          8        42       337         1        ok       0.000  0x005cd3800  0x00020c800  0x0058c7000        25688         391        25297  89c9/6368/c452/cd36/8305/9995/3f57/6a61/60850d37
    0x1000          4          8        43       345         1        ok       0.000  0x005cd3800  0x00020fc00  0x0058c3c00        25688         400        25288  4da1/d30e/1966/eb6b/a5cb/7b96/83f4/ed64/7535fa12
    0x1000          4          8        44       353         1        ok       0.000  0x005cd3800  0x000213000  0x0058c0800        25688         409        25279  27ab/e9af/9a77/c166/dbdc/4e94/c556/db69/14049e82
    0x1000          4          8        45       361         1        ok       0.000  0x005cd3800  0x000216400  0x0058bd400        25688         418        25270  b9bb/6169/8f49/00ee/811c/9335/33fc/fa17/b3c795bb
    0x1000          4          8        46       369         1        ok       0.000  0x005cd3800  0x000219800  0x0058ba000        25688         427        25261  ee63/14d3/0882/609b/59c4/c802/98c6/1f9e/7ab24f03
    0x1000          4          8        47       377         1        ok       0.000  0x005cd3800  0x00021cc00  0x0058b6c00        25688         436        25252  52f9/176f/48de/ba83/df45/916d/dcfb/eddf/d8f4471f
    0x1000          4          8        48       385         1        ok       0.000  0x005cd3800  0x000220000  0x0058b3800        25688         445        25243  f3d0/477a/021a/7e2d/ab13/67e9/2140/67c8/571212a1
    0x1000          4          8        49       393         1        ok       0.000  0x005cd3800  0x000223400  0x0058b0400        25688         454        25234  e75b/9cea/9c90/25a4/7066/1e60/67f7/6445/235edc13
