# Simulating growing object file directories
# 
# dir_split:          4
# example_file:       9674/25f3/3026/c91e/9aa8/e606/8cf2/ecdc/48dc/9e1a
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          9
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:29:45.776693
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=04 --dir-depth=09 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7396208 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          4          9         1        10         1        ok       0.000  0x005cd3800  0x000187800  0x00594c000        25688          23        25665  ac97/b2a6/5301/0cba/0ea2/abcf/b8d8/53fa/5431/ccbb
    0x1000          4          9         2        19         1        ok       0.000  0x005cd3800  0x00018b000  0x005948800        25688          33        25655  16d7/095d/b774/6172/f746/51ac/7e68/5001/1abb/596d
    0x1000          4          9         3        28         1        ok       0.000  0x005cd3800  0x00018e800  0x005945000        25688          43        25645  297b/b33a/6955/5273/6e6e/0bf8/995d/a113/4996/72c2
    0x1000          4          9         4        37         1        ok       0.000  0x005cd3800  0x000192000  0x005941800        25688          53        25635  762e/f6fa/97d0/d4db/6470/5859/6c05/df23/0bf6/312e
    0x1000          4          9         5        46         1        ok       0.000  0x005cd3800  0x000195800  0x00593e000        25688          63        25625  7b4b/1d1d/fae1/8940/128f/7626/baa6/f17f/eb09/38f4
    0x1000          4          9         6        55         1        ok       0.000  0x005cd3800  0x000199000  0x00593a800        25688          73        25615  04cf/7688/d35f/80cd/5dc0/d1e7/95aa/8f52/ec51/0ea8
    0x1000          4          9         7        64         1        ok       0.000  0x005cd3800  0x00019c800  0x005937000        25688          83        25605  421f/a317/c449/2440/1f8f/034f/9ee5/8775/1580/1720
    0x1000          4          9         8        73         1        ok       0.000  0x005cd3800  0x0001a0000  0x005933800        25688          93        25595  a005/ea2d/1f26/fb75/6ea5/5000/43e9/86b7/fdd5/9a9c
    0x1000          4          9         9        82         1        ok       0.000  0x005cd3800  0x0001a3800  0x005930000        25688         103        25585  d1ce/f694/8365/f0c0/3e61/8340/f8e5/0fa4/73d9/d84a
    0x1000          4          9        10        91         1        ok       0.000  0x005cd3800  0x0001a7000  0x00592c800        25688         113        25575  427a/034b/0e70/1609/9c7b/012f/b761/d4af/38ca/71cb
    0x1000          4          9        11       100         1        ok       0.000  0x005cd3800  0x0001aa800  0x005929000        25688         123        25565  9873/c200/80e5/4b9c/94e4/0ee6/6ff9/a818/a084/4ea3
    0x1000          4          9        12       109         1        ok       0.000  0x005cd3800  0x0001ae000  0x005925800        25688         133        25555  f7e7/d64a/f792/71ba/0aae/8132/b955/b5fe/2868/819d
    0x1000          4          9        13       118         1        ok       0.000  0x005cd3800  0x0001b1800  0x005922000        25688         143        25545  607e/c295/3133/5f31/aa7a/5a5e/204a/9881/931c/c9c5
    0x1000          4          9        14       127         1        ok       0.000  0x005cd3800  0x0001b5000  0x00591e800        25688         153        25535  29ac/7ee8/f71b/b1b3/1952/fbb3/b54b/bb5c/20cd/b9fb
    0x1000          4          9        15       136         1        ok       0.000  0x005cd3800  0x0001b8800  0x00591b000        25688         163        25525  1fea/df7c/f992/7a85/8ca3/7b8f/80a2/d87d/7a87/77f1
    0x1000          4          9        16       145         1        ok       0.000  0x005cd3800  0x0001bc000  0x005917800        25688         173        25515  76db/29d7/773e/42d1/668e/d754/b178/108b/69ef/b012
    0x1000          4          9        17       154         1        ok       0.000  0x005cd3800  0x0001bf800  0x005914000        25688         183        25505  4a68/04d0/6238/5cad/898d/eadc/e22e/8972/22ab/8854
    0x1000          4          9        18       163         1        ok       0.000  0x005cd3800  0x0001c3000  0x005910800        25688         193        25495  c673/afd9/5b99/461d/b64a/491f/c79c/c5f7/7ae0/7c3d
    0x1000          4          9        19       172         1        ok       0.000  0x005cd3800  0x0001c6800  0x00590d000        25688         203        25485  52fe/c651/883c/3004/6245/3d58/b45f/dc2f/d974/2280
    0x1000          4          9        20       181         1        ok       0.000  0x005cd3800  0x0001ca000  0x005909800        25688         213        25475  18a0/87d5/4455/bf3a/0587/2638/3da6/f06f/1f3a/fa9b
    0x1000          4          9        21       190         1        ok       0.000  0x005cd3800  0x0001cd800  0x005906000        25688         223        25465  f0ca/6914/ff91/1aec/207e/a555/76fa/59bc/9e1a/8d4b
    0x1000          4          9        22       199         1        ok       0.000  0x005cd3800  0x0001d1000  0x005902800        25688         233        25455  0f54/3b11/a02b/0bbf/50a4/460e/9e75/c834/fad5/d012
    0x1000          4          9        23       208         1        ok       0.000  0x005cd3800  0x0001d4800  0x0058ff000        25688         243        25445  99be/7b16/2686/3495/e75e/1716/bd18/55b8/1f8a/feec
    0x1000          4          9        24       217         1        ok       0.000  0x005cd3800  0x0001d8000  0x0058fb800        25688         253        25435  5133/e9f6/2450/3c60/2b93/f8a2/cd32/b563/3469/8408
    0x1000          4          9        25       226         1        ok       0.000  0x005cd3800  0x0001db800  0x0058f8000        25688         263        25425  0ae9/c90e/0e90/5263/81d5/89ea/b495/a1e7/338e/6219
    0x1000          4          9        26       235         1        ok       0.000  0x005cd3800  0x0001df000  0x0058f4800        25688         273        25415  8957/cb1a/d8e5/4b6d/5462/dd64/335f/a5a9/bba0/570b
    0x1000          4          9        27       244         1        ok       0.000  0x005cd3800  0x0001e2800  0x0058f1000        25688         283        25405  3bd1/78d7/843a/ccf9/a16b/2cc6/2866/cde4/5ae8/e600
    0x1000          4          9        28       253         1        ok       0.000  0x005cd3800  0x0001e6000  0x0058ed800        25688         293        25395  2868/ea56/185f/dcaa/abfc/2628/2431/eab0/37dd/abcf
    0x1000          4          9        29       262         1        ok       0.000  0x005cd3800  0x0001e9800  0x0058ea000        25688         303        25385  0701/2dcd/5fb2/5838/7ff4/13a0/a896/a4d9/ce17/b947
    0x1000          4          9        30       271         1        ok       0.000  0x005cd3800  0x0001ed000  0x0058e6800        25688         313        25375  2051/f41f/7c9f/d6d4/095d/6ee2/4678/a9ae/0550/2b54
    0x1000          4          9        31       280         1        ok       0.000  0x005cd3800  0x0001f0800  0x0058e3000        25688         323        25365  8725/ddac/570c/458c/2444/9273/ae84/acdc/0b67/950a
    0x1000          4          9        32       289         1        ok       0.000  0x005cd3800  0x0001f4000  0x0058df800        25688         333        25355  4633/4f88/3fae/4714/9163/7c81/ee30/791a/9ef0/e7cf
    0x1000          4          9        33       298         1        ok       0.000  0x005cd3800  0x0001f7800  0x0058dc000        25688         343        25345  8c5c/4914/2be5/b24d/e7f9/4614/8cda/82c1/ff1b/9942
    0x1000          4          9        34       307         1        ok       0.000  0x005cd3800  0x0001fb000  0x0058d8800        25688         353        25335  6565/78d6/7300/301c/2cac/cc8a/d2fc/2180/f1c2/bd02
    0x1000          4          9        35       316         1        ok       0.000  0x005cd3800  0x0001fe800  0x0058d5000        25688         363        25325  5ab1/2207/4b3c/c1ca/15c5/48e8/4e55/52a2/1f46/3350
    0x1000          4          9        36       325         1        ok       0.000  0x005cd3800  0x000202000  0x0058d1800        25688         373        25315  4ad9/5e0e/7c6a/9750/39f3/815c/f50d/6faf/c145/27eb
    0x1000          4          9        37       334         1        ok       0.000  0x005cd3800  0x000205800  0x0058ce000        25688         383        25305  9bc6/5085/5fae/b2db/d423/d8ab/cc52/b021/347c/fa40
    0x1000          4          9        38       343         1        ok       0.000  0x005cd3800  0x000209000  0x0058ca800        25688         393        25295  5886/6e18/fcaa/d698/f7ab/eecc/4c57/c6db/6cec/b530
    0x1000          4          9        39       352         1        ok       0.000  0x005cd3800  0x00020c800  0x0058c7000        25688         403        25285  838c/e33f/512c/df15/03c4/a7e7/adeb/4e2b/47e4/90f4
    0x1000          4          9        40       361         1        ok       0.000  0x005cd3800  0x000210000  0x0058c3800        25688         413        25275  1272/a819/c1a6/20da/cff3/1a37/8dbf/900c/8536/b183
    0x1000          4          9        41       370         1        ok       0.000  0x005cd3800  0x000213800  0x0058c0000        25688         423        25265  f833/9c1b/ad4f/6243/433d/35e4/52e3/a335/7ae4/97e0
    0x1000          4          9        42       379         1        ok       0.000  0x005cd3800  0x000217000  0x0058bc800        25688         433        25255  d8fe/f427/c5a8/7095/d2c7/056a/c9db/9c3b/4954/dae5
    0x1000          4          9        43       388         1        ok       0.000  0x005cd3800  0x00021a800  0x0058b9000        25688         443        25245  2ab1/0761/9163/ea72/8e17/2128/97d5/b818/d077/5299
    0x1000          4          9        44       397         1        ok       0.000  0x005cd3800  0x00021e000  0x0058b5800        25688         453        25235  b922/060b/9b6f/c429/f455/240d/d283/d683/24ae/0702
    0x1000          4          9        45       406         1        ok       0.000  0x005cd3800  0x000221800  0x0058b2000        25688         463        25225  81d8/e742/0766/cbb6/2960/456c/5990/bdea/c768/de44
