# Simulating growing object file directories
# 
# dir_split:          4
# example_file:       65a5/1453/f795/a88f/266d/3492/7078/a66e/fbff/19fb
# reformat_partition: /dev/murphytest03-vg/smalltest
# data_gen:           random
# dir_depth:          9
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:27:17.350576
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=04 --dir-depth=09 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest03-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7379712 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          4          9         1        10         1        ok       0.000  0x005cd3800  0x000187800  0x00594c000        25688          23        25665  f125/03df/dedb/1615/d498/b74b/4c13/9028/398e/df42
    0x1000          4          9         2        19         1        ok       0.000  0x005cd3800  0x00018b000  0x005948800        25688          33        25655  75ab/df3e/91c6/3f5d/448d/e2ee/b39f/c217/9928/c350
    0x1000          4          9         3        28         1        ok       0.000  0x005cd3800  0x00018e800  0x005945000        25688          43        25645  8988/8a16/6d24/5897/e726/d50c/3629/7602/e07b/c909
    0x1000          4          9         4        37         1        ok       0.000  0x005cd3800  0x000192000  0x005941800        25688          53        25635  3449/ea76/7a62/97e0/8fa9/497a/15ff/3a46/9490/25a7
    0x1000          4          9         5        46         1        ok       0.000  0x005cd3800  0x000195800  0x00593e000        25688          63        25625  f938/ca73/3cba/c152/47ac/c4e9/22a2/fbd9/c200/b122
    0x1000          4          9         6        55         1        ok       0.000  0x005cd3800  0x000199000  0x00593a800        25688          73        25615  7697/355c/51d2/e2a5/8679/99ff/80a7/4df4/33c2/3384
    0x1000          4          9         7        64         1        ok       0.000  0x005cd3800  0x00019c800  0x005937000        25688          83        25605  5f3c/0330/e5e5/0259/0631/f41c/e053/658f/7f5b/dae3
    0x1000          4          9         8        73         1        ok       0.000  0x005cd3800  0x0001a0000  0x005933800        25688          93        25595  09c8/685e/dfe6/004a/77da/c01d/67b3/a107/0315/fea9
    0x1000          4          9         9        82         1        ok       0.000  0x005cd3800  0x0001a3800  0x005930000        25688         103        25585  d7a5/db84/cd8a/ddfc/f2dc/3651/4bb3/d0f9/ce7b/2650
    0x1000          4          9        10        91         1        ok       0.000  0x005cd3800  0x0001a7000  0x00592c800        25688         113        25575  d75b/efab/613c/79ae/b9bf/29e9/69dd/e53d/4e7d/c4c3
