# Simulating growing object file directories
# 
# dir_split:          5
# example_file:       a47b3/5a347/a617c/89970/0b088/5dc9d7b9e2c21ba
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          5
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:32:36.457465
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=05 --dir-depth=05 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7388920 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          5          5         1         6         1        ok       0.000  0x005cd3800  0x000186800  0x00594d000        25688          19        25669  faea7/35f74/d5777/766f7/f31b3/4a66797beff8001
    0x1000          5          5         2        11         1        ok       0.000  0x005cd3800  0x000189000  0x00594a800        25688          25        25663  08f5f/17936/bf097/3e41f/99d16/526afd50b034679
    0x1000          5          5         3        16         1        ok       0.000  0x005cd3800  0x00018b800  0x005948000        25688          31        25657  c1034/664b9/e968c/765e8/10fbc/1e5bc910a9a58a6
    0x1000          5          5         4        21         1        ok       0.000  0x005cd3800  0x00018e000  0x005945800        25688          37        25651  589f4/6bef2/33004/80ea7/12ed0/5f1b1a02481937b
    0x1000          5          5         5        26         1        ok       0.000  0x005cd3800  0x000190800  0x005943000        25688          43        25645  9e5c4/0e0e3/cdc51/db52c/9091e/eb5039c2b846e7b
    0x1000          5          5         6        31         1        ok       0.000  0x005cd3800  0x000193000  0x005940800        25688          49        25639  dc995/a7d9c/eeccf/6349b/e4577/960448af2c25f79
    0x1000          5          5         7        36         1        ok       0.000  0x005cd3800  0x000195800  0x00593e000        25688          55        25633  d4e62/98c56/74c70/ed7b4/94a0d/bf1e2a33fc06597
    0x1000          5          5         8        41         1        ok       0.000  0x005cd3800  0x000198000  0x00593b800        25688          61        25627  bac23/899ac/4c473/908ad/b577f/6429239b5c09327
    0x1000          5          5         9        46         1        ok       0.000  0x005cd3800  0x00019a800  0x005939000        25688          67        25621  d87d1/13944/22796/3d460/b7cdc/07c5b9aece1c791
    0x1000          5          5        10        51         1        ok       0.000  0x005cd3800  0x00019d000  0x005936800        25688          73        25615  2bfce/0aae1/fcc88/b7390/aba08/840e6b41a680e2b
    0x1000          5          5        11        56         1        ok       0.000  0x005cd3800  0x00019f800  0x005934000        25688          79        25609  438df/18cea/8589b/71783/f93bf/3af269e13a6ecf7
    0x1000          5          5        12        61         1        ok       0.000  0x005cd3800  0x0001a2000  0x005931800        25688          85        25603  53e48/a708e/dc28f/b5bae/c453a/7c5ddedefbd9ea9
    0x1000          5          5        13        66         1        ok       0.000  0x005cd3800  0x0001a4800  0x00592f000        25688          91        25597  1716a/00bc8/0efce/0a381/98a14/ab2a77cb04e2b20
    0x1000          5          5        14        71         1        ok       0.000  0x005cd3800  0x0001a7000  0x00592c800        25688          97        25591  20dbc/be35f/b643e/dd9f9/28ab1/f17519713ef28ae
    0x1000          5          5        15        76         1        ok       0.000  0x005cd3800  0x0001a9800  0x00592a000        25688         103        25585  a2cc2/c40ff/0ccf1/2e973/6eb4d/9a92b3298e140d5
    0x1000          5          5        16        81         1        ok       0.000  0x005cd3800  0x0001ac000  0x005927800        25688         109        25579  4518c/06272/98016/e6c05/db90a/2b29d1fc2facaa8
    0x1000          5          5        17        86         1        ok       0.000  0x005cd3800  0x0001ae800  0x005925000        25688         115        25573  243e4/f44fa/18720/722cc/5e530/f09b507b5e804f0
    0x1000          5          5        18        91         1        ok       0.000  0x005cd3800  0x0001b1000  0x005922800        25688         121        25567  52ebc/300c0/8ac8e/933e3/de623/20fe33c200af0aa
    0x1000          5          5        19        96         1        ok       0.000  0x005cd3800  0x0001b3800  0x005920000        25688         127        25561  a8f21/66b68/b1efb/55586/7ebd4/0831c122b3c8ebe
    0x1000          5          5        20       101         1        ok       0.000  0x005cd3800  0x0001b6000  0x00591d800        25688         133        25555  e80c3/fdb35/9be9d/f0d20/79726/05c05e504405ac7
    0x1000          5          5        21       106         1        ok       0.000  0x005cd3800  0x0001b8800  0x00591b000        25688         139        25549  8229d/13f3e/2e0ce/6f48f/56d07/78d092e8aa88e67
    0x1000          5          5        22       111         1        ok       0.000  0x005cd3800  0x0001bb000  0x005918800        25688         145        25543  18280/a84c3/a11ff/41b0e/a2aea/c3b3b8805f9bfb0
    0x1000          5          5        23       116         1        ok       0.000  0x005cd3800  0x0001bd800  0x005916000        25688         151        25537  a8452/49ca0/de653/d172f/d6ac0/b48957faee8c054
    0x1000          5          5        24       121         1        ok       0.000  0x005cd3800  0x0001c0000  0x005913800        25688         157        25531  0f013/09f53/14d67/27042/c8b64/04c75656c0e5ee4
    0x1000          5          5        25       126         1        ok       0.000  0x005cd3800  0x0001c2800  0x005911000        25688         163        25525  11b15/2e65a/da37f/4e368/b22b5/e68f4e113320c67
