# Simulating growing object file directories
# 
# dir_split:          5
# example_file:       0eba1/1b0a7/3e4b2/ac96c/cda30/eef6a/4abe6/57da3
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          7
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:33:17.062079
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=05 --dir-depth=07 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7387804 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          5          7         1         8         1        ok       0.000  0x005cd3800  0x000187000  0x00594c800        25688          21        25667  3d2b0/e8a3e/70d20/49042/d4f63/cd117/fe17b/85cab
    0x1000          5          7         2        15         1        ok       0.000  0x005cd3800  0x00018a000  0x005949800        25688          29        25659  43de9/2c237/f70b5/bffb6/ea4f7/8af37/90bc9/a5065
    0x1000          5          7         3        22         1        ok       0.000  0x005cd3800  0x00018d000  0x005946800        25688          37        25651  2a9b5/4be00/8a3d7/cb6dc/44755/c2b40/7c4bf/6f9b4
    0x1000          5          7         4        29         1        ok       0.000  0x005cd3800  0x000190000  0x005943800        25688          45        25643  b4fd4/a448a/dfa24/cd5b7/149fd/8c111/54398/c0845
    0x1000          5          7         5        36         1        ok       0.000  0x005cd3800  0x000193000  0x005940800        25688          53        25635  52e44/d6933/5582b/37d78/e4cf2/3a834/f1a13/79234
    0x1000          5          7         6        43         1        ok       0.000  0x005cd3800  0x000196000  0x00593d800        25688          61        25627  8d922/e7baa/b620c/7dd4c/dadc6/b8071/6c41c/fbca8
    0x1000          5          7         7        50         1        ok       0.000  0x005cd3800  0x000199000  0x00593a800        25688          69        25619  11e2c/3cedb/8ba6c/698e8/c73a1/be87e/89197/aa26b
    0x1000          5          7         8        57         1        ok       0.000  0x005cd3800  0x00019c000  0x005937800        25688          77        25611  33938/ba746/5c92e/d267d/11708/97ef7/86318/16713
    0x1000          5          7         9        64         1        ok       0.000  0x005cd3800  0x00019f000  0x005934800        25688          85        25603  a8034/ec236/6b669/0b950/094ed/81e59/fb03a/a6da0
    0x1000          5          7        10        71         1        ok       0.000  0x005cd3800  0x0001a2000  0x005931800        25688          93        25595  5c164/3450f/f22c6/216d1/7b896/8d9d9/eeddc/810dc
