# Simulating growing object file directories
# 
# dir_split:          6
# example_file:       966c7b/6820f00a7d8696dd0fd159e800108be5d7
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          1
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:33:42.069866
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=06 --dir-depth=01 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7388860 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          6          1         1         2         1        ok       0.000  0x005cd3800  0x000185800  0x00594e000        25688          15        25673  e27c11/510983b7f1a2e2ebc0453669ae3fef41b7
    0x1000          6          1         2         3         1        ok       0.000  0x005cd3800  0x000187000  0x00594c800        25688          17        25671  b1f91f/e202a7fa8edd3f39aa021d21c3b67fd22a
    0x1000          6          1         3         4         1        ok       0.000  0x005cd3800  0x000188800  0x00594b000        25688          19        25669  dc94aa/8e68d952708e0c080e0c503f52e2d3c18d
    0x1000          6          1         4         5         1        ok       0.000  0x005cd3800  0x00018a000  0x005949800        25688          21        25667  0662ea/eeff6a8e8a1ee680b39ad70805cea69d07
    0x1000          6          1         5         6         1        ok       0.000  0x005cd3800  0x00018b800  0x005948000        25688          23        25665  8ccbfe/fff991aff8c3f32013bc1e44915bc2d420
    0x1000          6          1         6         7         1        ok       0.000  0x005cd3800  0x00018d000  0x005946800        25688          25        25663  f1ba6e/a7d5a72d3c77e1f385c98a79141e5e8190
    0x1000          6          1         7         8         1        ok       0.000  0x005cd3800  0x00018e800  0x005945000        25688          27        25661  298d50/7921413d3dbf16e6f2096a9b0b8e7d4231
    0x1000          6          1         8         9         1        ok       0.000  0x005cd3800  0x000190000  0x005943800        25688          29        25659  14807c/0e28a37497d013220c76b15b2e1b4c1a85
    0x1000          6          1         9        10         1        ok       0.000  0x005cd3800  0x000191800  0x005942000        25688          31        25657  7afc27/7a0ed5ae7287d337d5066a230582dd4c7b
    0x1000          6          1        10        11         1        ok       0.000  0x005cd3800  0x000193000  0x005940800        25688          33        25655  5cccd2/68902f16f092532a54ef6ee579b2c36a28
    0x1000          6          1        11        12         1        ok       0.000  0x005cd3800  0x000194800  0x00593f000        25688          35        25653  03953b/5b8d521ae9373fbc8afa7eab2eb452d0aa
