# Simulating growing object file directories
# 
# dir_split:          6
# example_file:       11a0c0/5b0e16/0ce34c/42e0bb/0b74ea/b8e345/d451
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          6
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:36:31.918532
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=06 --dir-depth=06 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7377184 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          6          6         1         7         1        ok       0.000  0x005cd3800  0x000186c00  0x00594cc00        25688          20        25668  83b933/5b278d/62c02c/0431ae/13f712/dc1546/33be
    0x1000          6          6         2        13         1        ok       0.000  0x005cd3800  0x000189800  0x00594a000        25688          27        25661  3d748c/a0e576/5564ae/cd7f6b/4e45f1/05f3ea/3b76
    0x1000          6          6         3        19         1        ok       0.000  0x005cd3800  0x00018c400  0x005947400        25688          34        25654  c6ec91/9376c2/5eda6b/cd2081/6d99cd/0f66c3/311d
    0x1000          6          6         4        25         1        ok       0.000  0x005cd3800  0x00018f000  0x005944800        25688          41        25647  689993/6d59ba/a191c1/253985/c2c4a4/2cc8f6/ed3f
    0x1000          6          6         5        31         1        ok       0.000  0x005cd3800  0x000191c00  0x005941c00        25688          48        25640  6d36b9/25c2ec/3a699a/ec37e9/84f5c3/dfca2f/608e
    0x1000          6          6         6        37         1        ok       0.000  0x005cd3800  0x000194800  0x00593f000        25688          55        25633  38e59d/cc6fca/c4caa1/56a1a1/dcc47f/c8fc89/a565
    0x1000          6          6         7        43         1        ok       0.000  0x005cd3800  0x000197400  0x00593c400        25688          62        25626  fdd953/a38ce9/3c86c1/4f29dc/d498ac/77841f/9bd1
    0x1000          6          6         8        49         1        ok       0.000  0x005cd3800  0x00019a000  0x005939800        25688          69        25619  2dd351/4a247a/3bba80/5a9d5d/2c12b7/fbfc90/04d1
    0x1000          6          6         9        55         1        ok       0.000  0x005cd3800  0x00019cc00  0x005936c00        25688          76        25612  b49d13/f51391/56f6f2/afa5a5/43b57f/bef019/3dd2
    0x1000          6          6        10        61         1        ok       0.000  0x005cd3800  0x00019f800  0x005934000        25688          83        25605  2f926d/542997/19a193/4a51cb/6b178c/eee972/cb8e
    0x1000          6          6        11        67         1        ok       0.000  0x005cd3800  0x0001a2400  0x005931400        25688          90        25598  a99c8f/65240b/a64451/41f293/e2dbbf/133726/a117
    0x1000          6          6        12        73         1        ok       0.000  0x005cd3800  0x0001a5000  0x00592e800        25688          97        25591  80d774/83b7b7/3f5ddd/80b988/fb2437/1049f7/6908
    0x1000          6          6        13        79         1        ok       0.000  0x005cd3800  0x0001a7c00  0x00592bc00        25688         104        25584  0198bc/a4ffd8/4dee5e/a72d11/d395d4/3a82c4/4045
    0x1000          6          6        14        85         1        ok       0.000  0x005cd3800  0x0001aa800  0x005929000        25688         111        25577  ab16c3/cdc11e/d6845c/435ea2/9aa664/eafa0a/afd9
    0x1000          6          6        15        91         1        ok       0.000  0x005cd3800  0x0001ad400  0x005926400        25688         118        25570  11df7d/d36ba2/429c02/d0dbb9/dcb579/384883/ed03
    0x1000          6          6        16        97         1        ok       0.000  0x005cd3800  0x0001b0000  0x005923800        25688         125        25563  3b8fc0/e178bc/90f4bf/d8f59d/67bcf5/42e0cd/10ea
    0x1000          6          6        17       103         1        ok       0.000  0x005cd3800  0x0001b2c00  0x005920c00        25688         132        25556  34dad3/da7800/55dfda/a80720/7d502f/52513c/3167
    0x1000          6          6        18       109         1        ok       0.000  0x005cd3800  0x0001b5800  0x00591e000        25688         139        25549  81f033/b6b0ff/769a4d/153ee3/3d70bf/364a9b/c167
    0x1000          6          6        19       115         1        ok       0.000  0x005cd3800  0x0001b8400  0x00591b400        25688         146        25542  b46e5d/80d417/b420ad/f5723a/1cf318/99658d/018f
    0x1000          6          6        20       121         1        ok       0.000  0x005cd3800  0x0001bb000  0x005918800        25688         153        25535  f03b07/b69c0f/3d4571/d7a83e/8e2051/3b72ad/6063
    0x1000          6          6        21       127         1        ok       0.000  0x005cd3800  0x0001bdc00  0x005915c00        25688         160        25528  cb66f9/78d7c1/a6c853/c20cbd/4ed7bc/f3e71a/f805
    0x1000          6          6        22       133         1        ok       0.000  0x005cd3800  0x0001c0800  0x005913000        25688         167        25521  a9b2a4/9aaf7e/a93e3b/290d4a/df8d93/21875c/9c48
