# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       e4/c4/ad/04/57/3b1362a9f96670491b440ce92774f5
# reformat_partition: /dev/murphytest03-vg/smalltest
# data_gen:           random
# dir_depth:          5
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T00:22:39.277999
# commandline:   ./filesystem_limit.py --each-file-size=4096 --dir-split=2 --dir-depth=5 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest03-vg/smalltest
# testversion:   9948e52 FS test: track number of leaf directories created
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7509480 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
  each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  d_ct_time  write_ok  write_time      df_total       df_used      df_avail  inode_total  inode_used  inode_avail
0x0000001000          2          5         1         1         1      0.000        ok       0.000  0x0005cd3800  0x0000186800  0x000594d000        25688          19        25669
0x0000001000          2          5         2         2         1      0.000        ok       0.000  0x0005cd3800  0x0000189000  0x000594a800        25688          25        25663
0x0000001000          2          5         3         3         1      0.000        ok       0.000  0x0005cd3800  0x000018b800  0x0005948000        25688          31        25657
0x0000001000          2          5         4         4         1      0.000        ok       0.000  0x0005cd3800  0x000018e000  0x0005945800        25688          37        25651
0x0000001000          2          5         5         5         1      0.000        ok       0.000  0x0005cd3800  0x0000190800  0x0005943000        25688          43        25645
0x0000001000          2          5         6         6         1      0.000        ok       0.000  0x0005cd3800  0x0000193000  0x0005940800        25688          49        25639
0x0000001000          2          5         7         7         1      0.000        ok       0.000  0x0005cd3800  0x0000195800  0x000593e000        25688          55        25633
0x0000001000          2          5         8         8         1      0.000        ok       0.000  0x0005cd3800  0x0000198000  0x000593b800        25688          61        25627
0x0000001000          2          5         9         9         1      0.000        ok       0.000  0x0005cd3800  0x000019a800  0x0005939000        25688          67        25621
0x0000001000          2          5        10        10         1      0.000        ok       0.000  0x0005cd3800  0x000019d000  0x0005936800        25688          73        25615
0x0000001000          2          5        11        11         1      0.000        ok       0.000  0x0005cd3800  0x000019f800  0x0005934000        25688          79        25609
0x0000001000          2          5        12        12         1      0.000        ok       0.000  0x0005cd3800  0x00001a2000  0x0005931800        25688          85        25603
0x0000001000          2          5        13        13         1      0.000        ok       0.000  0x0005cd3800  0x00001a4800  0x000592f000        25688          91        25597
0x0000001000          2          5        14        14         1      0.000        ok       0.000  0x0005cd3800  0x00001a7000  0x000592c800        25688          97        25591
0x0000001000          2          5        15        15         1      0.000        ok       0.000  0x0005cd3800  0x00001a9800  0x000592a000        25688         103        25585
0x0000001000          2          5        16        16         1      0.000        ok       0.000  0x0005cd3800  0x00001ac000  0x0005927800        25688         109        25579
0x0000001000          2          5        17        17         1      0.000        ok       0.000  0x0005cd3800  0x00001ae800  0x0005925000        25688         115        25573
0x0000001000          2          5        18        18         1      0.000        ok       0.000  0x0005cd3800  0x00001b1000  0x0005922800        25688         121        25567
0x0000001000          2          5        19        19         1      0.000        ok       0.000  0x0005cd3800  0x00001b3800  0x0005920000        25688         127        25561
0x0000001000          2          5        20        20         1      0.000        ok       0.000  0x0005cd3800  0x00001b6000  0x000591d800        25688         133        25555
0x0000001000          2          5        21        21         1      0.000        ok       0.000  0x0005cd3800  0x00001b8800  0x000591b000        25688         139        25549
0x0000001000          2          5        22        22         1      0.000        ok       0.000  0x0005cd3800  0x00001bb000  0x0005918800        25688         145        25543
0x0000001000          2          5        23        23         1      0.000        ok       0.000  0x0005cd3800  0x00001bd800  0x0005916000        25688         151        25537
0x0000001000          2          5        24        24         1      0.000        ok       0.000  0x0005cd3800  0x00001c0000  0x0005913800        25688         157        25531
0x0000001000          2          5        25        25         1      0.000        ok       0.000  0x0005cd3800  0x00001c2800  0x0005911000        25688         163        25525
0x0000001000          2          5        26        26         1      0.000        ok       0.000  0x0005cd3800  0x00001c5000  0x000590e800        25688         169        25519
0x0000001000          2          5        27        27         1      0.000        ok       0.000  0x0005cd3800  0x00001c7800  0x000590c000        25688         175        25513
0x0000001000          2          5        28        28         1      0.000        ok       0.000  0x0005cd3800  0x00001ca000  0x0005909800        25688         181        25507
0x0000001000          2          5        29        29         1      0.000        ok       0.000  0x0005cd3800  0x00001cc400  0x0005907400        25688         186        25502
0x0000001000          2          5        30        30         1      0.000        ok       0.000  0x0005cd3800  0x00001cec00  0x0005904c00        25688         192        25496
0x0000001000          2          5        31        31         1      0.000        ok       0.000  0x0005cd3800  0x00001d1400  0x0005902400        25688         198        25490
0x0000001000          2          5        32        32         1      0.000        ok       0.000  0x0005cd3800  0x00001d3c00  0x00058ffc00        25688         204        25484
0x0000001000          2          5        33        33         1      0.000        ok       0.000  0x0005cd3800  0x00001d6400  0x00058fd400        25688         210        25478
