# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       93/02/72/55/3f/0c/60/a3/0c55ea1edb3480d6f32b8214
# reformat_partition: /dev/murphytest03-vg/smalltest
# data_gen:           random
# dir_depth:          8
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T00:27:56.306144
# commandline:   ./filesystem_limit.py --each-file-size=4096 --dir-split=2 --dir-depth=8 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest03-vg/smalltest
# testversion:   9948e52 FS test: track number of leaf directories created
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7506352 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
  each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  d_ct_time  write_ok  write_time      df_total       df_used      df_avail  inode_total  inode_used  inode_avail
0x0000001000          2          8         1         1         1      0.000        ok       0.000  0x0005cd3800  0x0000187400  0x000594c400        25688          22        25666
0x0000001000          2          8         2         2         1      0.000        ok       0.000  0x0005cd3800  0x000018a800  0x0005949000        25688          31        25657
0x0000001000          2          8         3         3         1      0.000        ok       0.000  0x0005cd3800  0x000018dc00  0x0005945c00        25688          40        25648
0x0000001000          2          8         4         4         1      0.000        ok       0.000  0x0005cd3800  0x0000191000  0x0005942800        25688          49        25639
0x0000001000          2          8         5         5         1      0.000        ok       0.000  0x0005cd3800  0x0000194400  0x000593f400        25688          58        25630
0x0000001000          2          8         6         6         1      0.000        ok       0.000  0x0005cd3800  0x0000197800  0x000593c000        25688          67        25621
0x0000001000          2          8         7         7         1      0.000        ok       0.000  0x0005cd3800  0x000019ac00  0x0005938c00        25688          76        25612
0x0000001000          2          8         8         8         1      0.000        ok       0.000  0x0005cd3800  0x000019e000  0x0005935800        25688          85        25603
0x0000001000          2          8         9         9         1      0.000        ok       0.000  0x0005cd3800  0x00001a1400  0x0005932400        25688          94        25594
0x0000001000          2          8        10        10         1      0.000        ok       0.000  0x0005cd3800  0x00001a4800  0x000592f000        25688         103        25585
0x0000001000          2          8        11        11         1      0.000        ok       0.000  0x0005cd3800  0x00001a7c00  0x000592bc00        25688         112        25576
0x0000001000          2          8        12        12         1      0.000        ok       0.000  0x0005cd3800  0x00001ab000  0x0005928800        25688         121        25567
0x0000001000          2          8        13        13         1      0.000        ok       0.000  0x0005cd3800  0x00001ae400  0x0005925400        25688         130        25558
0x0000001000          2          8        14        14         1      0.000        ok       0.000  0x0005cd3800  0x00001b1800  0x0005922000        25688         139        25549
0x0000001000          2          8        15        15         1      0.000        ok       0.000  0x0005cd3800  0x00001b4c00  0x000591ec00        25688         148        25540
