# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       87/e7/52/eb/12/7b/8e/45/3c/cb/97/01/0e73915dcbee5d65
# reformat_partition: /dev/murphytest04-vg/smalltest
# data_gen:           random
# dir_depth:          12
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T00:30:23.592196
# commandline:   ./filesystem_limit.py --each-file-size=4096 --dir-split=2 --dir-depth=12 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest04-vg/smalltest
# testversion:   9948e52 FS test: track number of leaf directories created
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7511848 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
  each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  d_ct_time  write_ok  write_time      df_total       df_used      df_avail  inode_total  inode_used  inode_avail
0x0000001000          2         12         1         1         1      0.000        ok       0.000  0x0005cd3800  0x0000188400  0x000594b400        25688          26        25662
0x0000001000          2         12         2         2         1      0.000        ok       0.000  0x0005cd3800  0x000018c800  0x0005947000        25688          39        25649
0x0000001000          2         12         3         3         1      0.000        ok       0.000  0x0005cd3800  0x0000190c00  0x0005942c00        25688          52        25636
0x0000001000          2         12         4         4         1      0.000        ok       0.000  0x0005cd3800  0x0000195000  0x000593e800        25688          65        25623
0x0000001000          2         12         5         5         1      0.000        ok       0.000  0x0005cd3800  0x0000199400  0x000593a400        25688          78        25610
0x0000001000          2         12         6         6         1      0.000        ok       0.000  0x0005cd3800  0x000019d800  0x0005936000        25688          91        25597
0x0000001000          2         12         7         7         1      0.000        ok       0.000  0x0005cd3800  0x00001a1c00  0x0005931c00        25688         104        25584
0x0000001000          2         12         8         8         1      0.000        ok       0.000  0x0005cd3800  0x00001a6000  0x000592d800        25688         117        25571
0x0000001000          2         12         9         9         1      0.000        ok       0.000  0x0005cd3800  0x00001aa400  0x0005929400        25688         130        25558
0x0000001000          2         12        10        10         1      0.000        ok       0.000  0x0005cd3800  0x00001ae800  0x0005925000        25688         143        25545
0x0000001000          2         12        11        11         1      0.000        ok       0.000  0x0005cd3800  0x00001b2c00  0x0005920c00        25688         156        25532
0x0000001000          2         12        12        12         1      0.000        ok       0.000  0x0005cd3800  0x00001b7000  0x000591c800        25688         169        25519
0x0000001000          2         12        13        13         1      0.000        ok       0.000  0x0005cd3800  0x00001bb400  0x0005918400        25688         182        25506
0x0000001000          2         12        14        14         1      0.000        ok       0.000  0x0005cd3800  0x00001bf800  0x0005914000        25688         195        25493
0x0000001000          2         12        15        15         1      0.000        ok       0.000  0x0005cd3800  0x00001c3c00  0x000590fc00        25688         208        25480
0x0000001000          2         12        16        16         1      0.000        ok       0.000  0x0005cd3800  0x00001c8000  0x000590b800        25688         221        25467
0x0000001000          2         12        17        17         1      0.000        ok       0.000  0x0005cd3800  0x00001cc400  0x0005907400        25688         234        25454
0x0000001000          2         12        18        18         1      0.000        ok       0.000  0x0005cd3800  0x00001d0800  0x0005903000        25688         247        25441
0x0000001000          2         12        19        19         1      0.000        ok       0.000  0x0005cd3800  0x00001d4c00  0x00058fec00        25688         260        25428
0x0000001000          2         12        20        20         1      0.000        ok       0.000  0x0005cd3800  0x00001d9000  0x00058fa800        25688         273        25415
0x0000001000          2         12        21        21         1      0.000        ok       0.000  0x0005cd3800  0x00001dd400  0x00058f6400        25688         286        25402
0x0000001000          2         12        22        22         1      0.000        ok       0.000  0x0005cd3800  0x00001e1800  0x00058f2000        25688         299        25389
0x0000001000          2         12        23        23         1      0.000        ok       0.000  0x0005cd3800  0x00001e5c00  0x00058edc00        25688         312        25376
0x0000001000          2         12        24        24         1      0.000        ok       0.000  0x0005cd3800  0x00001ea000  0x00058e9800        25688         325        25363
0x0000001000          2         12        25        25         1      0.000        ok       0.000  0x0005cd3800  0x00001ee400  0x00058e5400        25688         338        25350
0x0000001000          2         12        26        26         1      0.000        ok       0.000  0x0005cd3800  0x00001f2800  0x00058e1000        25688         351        25337
0x0000001000          2         12        27        27         1      0.000        ok       0.000  0x0005cd3800  0x00001f6c00  0x00058dcc00        25688         364        25324
0x0000001000          2         12        28        28         1      0.000        ok       0.000  0x0005cd3800  0x00001fb000  0x00058d8800        25688         377        25311
0x0000001000          2         12        29        29         1      0.000        ok       0.000  0x0005cd3800  0x00001ff400  0x00058d4400        25688         390        25298
0x0000001000          2         12        30        30         1      0.000        ok       0.000  0x0005cd3800  0x0000203800  0x00058d0000        25688         403        25285
0x0000001000          2         12        31        31         1      0.000        ok       0.000  0x0005cd3800  0x0000207c00  0x00058cbc00        25688         416        25272
0x0000001000          2         12        32        32         1      0.000        ok       0.000  0x0005cd3800  0x000020c000  0x00058c7800        25688         429        25259
0x0000001000          2         12        33        33         1      0.000        ok       0.000  0x0005cd3800  0x0000210400  0x00058c3400        25688         442        25246
0x0000001000          2         12        34        34         1      0.000        ok       0.000  0x0005cd3800  0x0000214800  0x00058bf000        25688         455        25233
0x0000001000          2         12        35        35         1      0.000        ok       0.000  0x0005cd3800  0x0000218c00  0x00058bac00        25688         468        25220
0x0000001000          2         12        36        36         1      0.000        ok       0.000  0x0005cd3800  0x000021d000  0x00058b6800        25688         481        25207
0x0000001000          2         12        37        37         1      0.000        ok       0.000  0x0005cd3800  0x0000221400  0x00058b2400        25688         494        25194
0x0000001000          2         12        38        38         1      0.000        ok       0.000  0x0005cd3800  0x0000225800  0x00058ae000        25688         507        25181
0x0000001000          2         12        39        39         1      0.000        ok       0.000  0x0005cd3800  0x0000229c00  0x00058a9c00        25688         520        25168
0x0000001000          2         12        40        40         1      0.000        ok       0.000  0x0005cd3800  0x000022e000  0x00058a5800        25688         533        25155
0x0000001000          2         12        41        41         1      0.000        ok       0.000  0x0005cd3800  0x0000232000  0x00058a1800        25688         545        25143
0x0000001000          2         12        42        42         1      0.000        ok       0.000  0x0005cd3800  0x0000236400  0x000589d400        25688         558        25130
0x0000001000          2         12        43        43         1      0.000        ok       0.000  0x0005cd3800  0x000023a800  0x0005899000        25688         571        25117
0x0000001000          2         12        44        44         1      0.000        ok       0.000  0x0005cd3800  0x000023ec00  0x0005894c00        25688         584        25104
0x0000001000          2         12        45        45         1      0.000        ok       0.000  0x0005cd3800  0x0000243000  0x0005890800        25688         597        25091
0x0000001000          2         12        46        46         1      0.000        ok       0.000  0x0005cd3800  0x0000247400  0x000588c400        25688         610        25078
0x0000001000          2         12        47        47         1      0.000        ok       0.000  0x0005cd3800  0x000024b400  0x0005888400        25688         622        25066
0x0000001000          2         12        48        48         1      0.000        ok       0.000  0x0005cd3800  0x000024f800  0x0005884000        25688         635        25053
0x0000001000          2         12        49        49         1      0.000        ok       0.000  0x0005cd3800  0x0000253c00  0x000587fc00        25688         648        25040
0x0000001000          2         12        50        50         1      0.000        ok       0.000  0x0005cd3800  0x0000258000  0x000587b800        25688         661        25027
0x0000001000          2         12        51        51         1      0.000        ok       0.000  0x0005cd3800  0x000025c400  0x0005877400        25688         674        25014
0x0000001000          2         12        52        52         1      0.000        ok       0.000  0x0005cd3800  0x0000260800  0x0005873000        25688         687        25001
0x0000001000          2         12        53        53         1      0.000        ok       0.000  0x0005cd3800  0x0000264c00  0x000586ec00        25688         700        24988
0x0000001000          2         12        54        54         1      0.000        ok       0.000  0x0005cd3800  0x0000268c00  0x000586ac00        25688         712        24976
0x0000001000          2         12        55        55         1      0.000        ok       0.000  0x0005cd3800  0x000026d000  0x0005866800        25688         725        24963
0x0000001000          2         12        56        56         1      0.000        ok       0.000  0x0005cd3800  0x0000271400  0x0005862400        25688         738        24950
0x0000001000          2         12        57        57         1      0.000        ok       0.000  0x0005cd3800  0x0000275800  0x000585e000        25688         751        24937
0x0000001000          2         12        58        58         1      0.000        ok       0.000  0x0005cd3800  0x0000279c00  0x0005859c00        25688         764        24924
0x0000001000          2         12        59        59         1      0.000        ok       0.000  0x0005cd3800  0x000027dc00  0x0005855c00        25688         776        24912
0x0000001000          2         12        60        60         1      0.000        ok       0.000  0x0005cd3800  0x0000282000  0x0005851800        25688         789        24899
0x0000001000          2         12        61        61         1      0.000        ok       0.000  0x0005cd3800  0x0000286400  0x000584d400        25688         802        24886
0x0000001000          2         12        62        62         1      0.000        ok       0.000  0x0005cd3800  0x000028a400  0x0005849400        25688         814        24874
0x0000001000          2         12        63        63         1      0.000        ok       0.000  0x0005cd3800  0x000028e400  0x0005845400        25688         826        24862
