# Simulating growing object file directories
# 
# dir_split:          0
# example_file:       286922902b0b8a2ce8557c3cc06faa48d50b5a56
# reformat_partition: /dev/murphytest03-vg/smalltest
# data_gen:           random
# dir_depth:          0
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-21T22:16:51.355706
# commandline:   ./filesystem_limit.py --each-file-size=4096 --dir-split=0 --dir-depth=0 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest03-vg/smalltest
# testversion:   e185b7d FS test: measure disk free in parent dir
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7516088 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
  each_bytes  dir_split  dir_depth         f_num       d_f_num  d_ct_time  write_ok  write_time      df_total       df_used      df_avail            du    du_time
0x0000001000          0          0             1             1      0.000        ok       0.000  0x0005cd3800  0x0000185400  0x000594e400  0x0000001800      0.002
0x0000001000          0          0             2             2      0.000        ok       0.000  0x0005cd3800  0x0000186800  0x000594d000  0x0000002800      0.002
0x0000001000          0          0             3             3      0.000        ok       0.000  0x0005cd3800  0x0000187c00  0x000594bc00  0x0000003800      0.002
0x0000001000          0          0             4             4      0.000        ok       0.000  0x0005cd3800  0x0000189000  0x000594a800  0x0000004800      0.002
0x0000001000          0          0             5             5      0.000        ok       0.000  0x0005cd3800  0x000018a400  0x0005949400  0x0000005800      0.002
0x0000001000          0          0             6             6      0.000        ok       0.000  0x0005cd3800  0x000018b800  0x0005948000  0x0000006800      0.002
0x0000001000          0          0             7             7      0.000        ok       0.000  0x0005cd3800  0x000018cc00  0x0005946c00  0x0000007800      0.002
0x0000001000          0          0             8             8      0.000        ok       0.000  0x0005cd3800  0x000018e000  0x0005945800  0x0000008800      0.002
0x0000001000          0          0             9             9      0.000        ok       0.000  0x0005cd3800  0x000018f400  0x0005944400  0x0000009800      0.002
0x0000001000          0          0            10            10      0.000        ok       0.000  0x0005cd3800  0x0000190800  0x0005943000  0x000000a800      0.002
0x0000001000          0          0            11            11      0.000        ok       0.000  0x0005cd3800  0x0000191c00  0x0005941c00  0x000000b800      0.002
0x0000001000          0          0            12            12      0.000        ok       0.000  0x0005cd3800  0x0000193000  0x0005940800  0x000000c800      0.002
0x0000001000          0          0            13            13      0.000        ok       0.000  0x0005cd3800  0x0000194400  0x000593f400  0x000000d800      0.002
0x0000001000          0          0            14            14      0.000        ok       0.000  0x0005cd3800  0x0000195800  0x000593e000  0x000000e800      0.002
0x0000001000          0          0            15            15      0.000        ok       0.000  0x0005cd3800  0x0000196c00  0x000593cc00  0x000000f800      0.002
0x0000001000          0          0            16            16      0.000        ok       0.000  0x0005cd3800  0x0000198000  0x000593b800  0x0000010800      0.002
0x0000001000          0          0            17            17      0.000        ok       0.000  0x0005cd3800  0x0000199400  0x000593a400  0x0000011800      0.002
0x0000001000          0          0            18            18      0.000        ok       0.000  0x0005cd3800  0x000019a800  0x0005939000  0x0000012800      0.002
0x0000001000          0          0            19            19      0.000        ok       0.000  0x0005cd3800  0x000019bc00  0x0005937c00  0x0000013800      0.002
0x0000001000          0          0            20            20      0.000        ok       0.000  0x0005cd3800  0x000019d000  0x0005936800  0x0000014800      0.002
0x0000001000          0          0            21            21      0.000        ok       0.000  0x0005cd3800  0x000019ec00  0x0005934c00  0x0000016000      0.002
0x0000001000          0          0            22            22      0.000        ok       0.000  0x0005cd3800  0x00001a0000  0x0005933800  0x0000017000      0.002
0x0000001000          0          0            23            23      0.000        ok       0.000  0x0005cd3800  0x00001a1400  0x0005932400  0x0000018000      0.002
0x0000001000          0          0            24            24      0.000        ok       0.000  0x0005cd3800  0x00001a2800  0x0005931000  0x0000019000      0.002
0x0000001000          0          0            25            25      0.000        ok       0.000  0x0005cd3800  0x00001a3c00  0x000592fc00  0x000001a000      0.002
0x0000001000          0          0            26            26      0.000        ok       0.000  0x0005cd3800  0x00001a5000  0x000592e800  0x000001b000      0.002
0x0000001000          0          0            27            27      0.000        ok       0.000  0x0005cd3800  0x00001a6400  0x000592d400  0x000001c000      0.002
0x0000001000          0          0            28            28      0.000        ok       0.000  0x0005cd3800  0x00001a7800  0x000592c000  0x000001d000      0.002
0x0000001000          0          0            29            29      0.000        ok       0.000  0x0005cd3800  0x00001a8c00  0x000592ac00  0x000001e000      0.002
0x0000001000          0          0            30            30      0.000        ok       0.000  0x0005cd3800  0x00001aa000  0x0005929800  0x000001f000      0.002
0x0000001000          0          0            31            31      0.000        ok       0.000  0x0005cd3800  0x00001ab400  0x0005928400  0x0000020000      0.002
0x0000001000          0          0            32            32      0.000        ok       0.000  0x0005cd3800  0x00001ac800  0x0005927000  0x0000021000      0.002
0x0000001000          0          0            33            33      0.000        ok       0.000  0x0005cd3800  0x00001adc00  0x0005925c00  0x0000022000      0.002
0x0000001000          0          0            34            34      0.000        ok       0.000  0x0005cd3800  0x00001af000  0x0005924800  0x0000023000      0.002
0x0000001000          0          0            35            35      0.000        ok       0.000  0x0005cd3800  0x00001b0400  0x0005923400  0x0000024000      0.002
0x0000001000          0          0            36            36      0.000        ok       0.000  0x0005cd3800  0x00001b1800  0x0005922000  0x0000025000      0.002
0x0000001000          0          0            37            37      0.000        ok       0.000  0x0005cd3800  0x00001b2c00  0x0005920c00  0x0000026000      0.002
0x0000001000          0          0            38            38      0.000        ok       0.000  0x0005cd3800  0x00001b4000  0x000591f800  0x0000027000      0.002
0x0000001000          0          0            39            39      0.000        ok       0.000  0x0005cd3800  0x00001b5400  0x000591e400  0x0000028000      0.002
0x0000001000          0          0            40            40      0.000        ok       0.000  0x0005cd3800  0x00001b6800  0x000591d000  0x0000029000      0.002
0x0000001000          0          0            41            41      0.000        ok       0.000  0x0005cd3800  0x00001b7c00  0x000591bc00  0x000002a000      0.002
0x0000001000          0          0            42            42      0.000        ok       0.000  0x0005cd3800  0x00001b9400  0x000591a400  0x000002b400      0.002
0x0000001000          0          0            43            43      0.000        ok       0.000  0x0005cd3800  0x00001ba800  0x0005919000  0x000002c400      0.002
0x0000001000          0          0            44            44      0.000        ok       0.000  0x0005cd3800  0x00001bc000  0x0005917800  0x000002d800      0.002
0x0000001000          0          0            45            45      0.000        ok       0.000  0x0005cd3800  0x00001bd400  0x0005916400  0x000002e800      0.002
0x0000001000          0          0            46            46      0.000        ok       0.000  0x0005cd3800  0x00001be800  0x0005915000  0x000002f800      0.002
0x0000001000          0          0            47            47      0.000        ok       0.000  0x0005cd3800  0x00001bfc00  0x0005913c00  0x0000030800      0.002
0x0000001000          0          0            48            48      0.000        ok       0.000  0x0005cd3800  0x00001c1000  0x0005912800  0x0000031800      0.002
0x0000001000          0          0            49            49      0.000        ok       0.000  0x0005cd3800  0x00001c2400  0x0005911400  0x0000032800      0.002
0x0000001000          0          0            50            50      0.000        ok       0.000  0x0005cd3800  0x00001c3800  0x0005910000  0x0000033800      0.002
0x0000001000          0          0            51            51      0.000        ok       0.000  0x0005cd3800  0x00001c4c00  0x000590ec00  0x0000034800      0.002
0x0000001000          0          0            52            52      0.000        ok       0.000  0x0005cd3800  0x00001c6000  0x000590d800  0x0000035800      0.002
0x0000001000          0          0            53            53      0.000        ok       0.000  0x0005cd3800  0x00001c7400  0x000590c400  0x0000036800      0.002
0x0000001000          0          0            54            54      0.000        ok       0.000  0x0005cd3800  0x00001c8800  0x000590b000  0x0000037800      0.002
0x0000001000          0          0            55            55      0.000        ok       0.000  0x0005cd3800  0x00001c9c00  0x0005909c00  0x0000038800      0.002
0x0000001000          0          0            56            56      0.000        ok       0.000  0x0005cd3800  0x00001cb000  0x0005908800  0x0000039800      0.002
0x0000001000          0          0            57            57      0.000        ok       0.000  0x0005cd3800  0x00001cc400  0x0005907400  0x000003a800      0.002
0x0000001000          0          0            58            58      0.000        ok       0.000  0x0005cd3800  0x00001cd800  0x0005906000  0x000003b800      0.004
0x0000001000          0          0            59            59      0.000        ok       0.000  0x0005cd3800  0x00001cec00  0x0005904c00  0x000003c800      0.002
0x0000001000          0          0            60            60      0.000        ok       0.000  0x0005cd3800  0x00001d0000  0x0005903800  0x000003d800      0.002
0x0000001000          0          0            61            61      0.000        ok       0.000  0x0005cd3800  0x00001d1400  0x0005902400  0x000003e800      0.002
0x0000001000          0          0            62            62      0.000        ok       0.000  0x0005cd3800  0x00001d2800  0x0005901000  0x000003f800      0.002
0x0000001000          0          0            63            63      0.000        ok       0.000  0x0005cd3800  0x00001d3c00  0x00058ffc00  0x0000040800      0.002
0x0000001000          0          0            64            64      0.000        ok       0.000  0x0005cd3800  0x00001d5000  0x00058fe800  0x0000041800      0.002
0x0000001000          0          0            65            65      0.000        ok       0.000  0x0005cd3800  0x00001d6400  0x00058fd400  0x0000042800      0.002
0x0000001000          0          0            66            66      0.000        ok       0.000  0x0005cd3800  0x00001d7800  0x00058fc000  0x0000043800      0.002
0x0000001000          0          0            67            67      0.000        ok       0.000  0x0005cd3800  0x00001d8c00  0x00058fac00  0x0000044800      0.002
0x0000001000          0          0            68            68      0.000        ok       0.000  0x0005cd3800  0x00001da000  0x00058f9800  0x0000045800      0.002
0x0000001000          0          0            69            69      0.000        ok       0.000  0x0005cd3800  0x00001db400  0x00058f8400  0x0000046800      0.002
0x0000001000          0          0            70            70      0.000        ok       0.000  0x0005cd3800  0x00001dc800  0x00058f7000  0x0000047800      0.002
0x0000001000          0          0            71            71      0.000        ok       0.000  0x0005cd3800  0x00001ddc00  0x00058f5c00  0x0000048800      0.002
0x0000001000          0          0            72            72      0.000        ok       0.000  0x0005cd3800  0x00001df000  0x00058f4800  0x0000049800      0.002
0x0000001000          0          0            73            73      0.000        ok       0.000  0x0005cd3800  0x00001e0400  0x00058f3400  0x000004a800      0.002
0x0000001000          0          0            74            74      0.000        ok       0.000  0x0005cd3800  0x00001e1c00  0x00058f1c00  0x000004bc00      0.002
0x0000001000          0          0            75            75      0.000        ok       0.000  0x0005cd3800  0x00001e3000  0x00058f0800  0x000004cc00      0.002
0x0000001000          0          0            76            76      0.000        ok       0.000  0x0005cd3800  0x00001e4400  0x00058ef400  0x000004dc00      0.002
0x0000001000          0          0            77            77      0.000        ok       0.000  0x0005cd3800  0x00001e5800  0x00058ee000  0x000004ec00      0.002
0x0000001000          0          0            78            78      0.000        ok       0.000  0x0005cd3800  0x00001e6c00  0x00058ecc00  0x000004fc00      0.002
0x0000001000          0          0            79            79      0.000        ok       0.000  0x0005cd3800  0x00001e8000  0x00058eb800  0x0000050c00      0.002
0x0000001000          0          0            80            80      0.000        ok       0.000  0x0005cd3800  0x00001e9400  0x00058ea400  0x0000051c00      0.002
0x0000001000          0          0            81            81      0.000        ok       0.000  0x0005cd3800  0x00001ea800  0x00058e9000  0x0000052c00      0.002
0x0000001000          0          0            82            82      0.000        ok       0.000  0x0005cd3800  0x00001ebc00  0x00058e7c00  0x0000053c00      0.002
0x0000001000          0          0            83            83      0.000        ok       0.000  0x0005cd3800  0x00001ed000  0x00058e6800  0x0000054c00      0.002
0x0000001000          0          0            84            84      0.000        ok       0.000  0x0005cd3800  0x00001ee800  0x00058e5000  0x0000056000      0.002
0x0000001000          0          0            85            85      0.000        ok       0.000  0x0005cd3800  0x00001efc00  0x00058e3c00  0x0000057000      0.002
0x0000001000          0          0            86            86      0.000        ok       0.000  0x0005cd3800  0x00001f1000  0x00058e2800  0x0000058000      0.002
0x0000001000          0          0            87            87      0.000        ok       0.000  0x0005cd3800  0x00001f2400  0x00058e1400  0x0000059000      0.002
0x0000001000          0          0            88            88      0.000        ok       0.000  0x0005cd3800  0x00001f3c00  0x00058dfc00  0x000005a400      0.002
0x0000001000          0          0            89            89      0.000        ok       0.000  0x0005cd3800  0x00001f5000  0x00058de800  0x000005b400      0.002
0x0000001000          0          0            90            90      0.000        ok       0.000  0x0005cd3800  0x00001f6400  0x00058dd400  0x000005c400      0.002
0x0000001000          0          0            91            91      0.000        ok       0.000  0x0005cd3800  0x00001f7800  0x00058dc000  0x000005d400      0.002
0x0000001000          0          0            92            92      0.000        ok       0.000  0x0005cd3800  0x00001f8c00  0x00058dac00  0x000005e400      0.002
0x0000001000          0          0            93            93      0.000        ok       0.000  0x0005cd3800  0x00001fa000  0x00058d9800  0x000005f400      0.002
0x0000001000          0          0            94            94      0.000        ok       0.000  0x0005cd3800  0x00001fb400  0x00058d8400  0x0000060400      0.002
0x0000001000          0          0            95            95      0.000        ok       0.000  0x0005cd3800  0x00001fc800  0x00058d7000  0x0000061400      0.002
0x0000001000          0          0            96            96      0.000        ok       0.000  0x0005cd3800  0x00001fdc00  0x00058d5c00  0x0000062400      0.002
0x0000001000          0          0            97            97      0.000        ok       0.000  0x0005cd3800  0x00001ff000  0x00058d4800  0x0000063400      0.002
0x0000001000          0          0            98            98      0.000        ok       0.000  0x0005cd3800  0x0000200800  0x00058d3000  0x0000064800      0.002
0x0000001000          0          0            99            99      0.000        ok       0.000  0x0005cd3800  0x0000201c00  0x00058d1c00  0x0000065800      0.002
0x0000001000          0          0           100           100      0.000        ok       0.000  0x0005cd3800  0x0000203000  0x00058d0800  0x0000066800      0.002
0x0000001000          0          0           101           101      0.000        ok       0.000  0x0005cd3800  0x0000204400  0x00058cf400  0x0000067800      0.002
0x0000001000          0          0           102           102      0.000        ok       0.000  0x0005cd3800  0x0000205800  0x00058ce000  0x0000068800      0.002
0x0000001000          0          0           103           103      0.000        ok       0.000  0x0005cd3800  0x0000206c00  0x00058ccc00  0x0000069800      0.002
0x0000001000          0          0           104           104      0.000        ok       0.000  0x0005cd3800  0x0000208000  0x00058cb800  0x000006a800      0.002
0x0000001000          0          0           105           105      0.000        ok       0.000  0x0005cd3800  0x0000209400  0x00058ca400  0x000006b800      0.002
0x0000001000          0          0           106           106      0.000        ok       0.000  0x0005cd3800  0x000020a800  0x00058c9000  0x000006c800      0.002
0x0000001000          0          0           107           107      0.000        ok       0.000  0x0005cd3800  0x000020bc00  0x00058c7c00  0x000006d800      0.002
0x0000001000          0          0           108           108      0.000        ok       0.000  0x0005cd3800  0x000020d000  0x00058c6800  0x000006e800      0.002
0x0000001000          0          0           109           109      0.000        ok       0.000  0x0005cd3800  0x000020e800  0x00058c5000  0x000006fc00      0.002
0x0000001000          0          0           110           110      0.000        ok       0.000  0x0005cd3800  0x000020fc00  0x00058c3c00  0x0000070c00      0.002
0x0000001000          0          0           111           111      0.000        ok       0.000  0x0005cd3800  0x0000211000  0x00058c2800  0x0000071c00      0.002
0x0000001000          0          0           112           112      0.000        ok       0.000  0x0005cd3800  0x0000212400  0x00058c1400  0x0000072c00      0.002
0x0000001000          0          0           113           113      0.000        ok       0.000  0x0005cd3800  0x0000213800  0x00058c0000  0x0000073c00      0.002
0x0000001000          0          0           114           114      0.000        ok       0.000  0x0005cd3800  0x0000214c00  0x00058bec00  0x0000074c00      0.002
0x0000001000          0          0           115           115      0.000        ok       0.000  0x0005cd3800  0x0000216000  0x00058bd800  0x0000075c00      0.002
0x0000001000          0          0           116           116      0.000        ok       0.000  0x0005cd3800  0x0000217400  0x00058bc400  0x0000076c00      0.002
0x0000001000          0          0           117           117      0.000        ok       0.000  0x0005cd3800  0x0000218800  0x00058bb000  0x0000077c00      0.002
0x0000001000          0          0           118           118      0.000        ok       0.000  0x0005cd3800  0x0000219c00  0x00058b9c00  0x0000078c00      0.002
0x0000001000          0          0           119           119      0.000        ok       0.000  0x0005cd3800  0x000021b000  0x00058b8800  0x0000079c00      0.002
0x0000001000          0          0           120           120      0.000        ok       0.000  0x0005cd3800  0x000021c400  0x00058b7400  0x000007ac00      0.002
0x0000001000          0          0           121           121      0.000        ok       0.000  0x0005cd3800  0x000021d800  0x00058b6000  0x000007bc00      0.002
0x0000001000          0          0           122           122      0.000        ok       0.000  0x0005cd3800  0x000021ec00  0x00058b4c00  0x000007cc00      0.002
