# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       3d/6927a52dd8a08b77bcc637286b73b78e6ae88a
# reformat_partition: /dev/murphytest04-vg/smalltest
# data_gen:           random
# dir_depth:          1
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-21T22:45:24.120816
# commandline:   ./filesystem_limit.py --each-file-size=4096 --dir-split=2 --dir-depth=1 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest04-vg/smalltest
# testversion:   f7aa795 FS test: Collect inode data instead of `du`
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7522576 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
  each_bytes  dir_split  dir_depth         f_num       d_f_num  d_ct_time  write_ok  write_time      df_total       df_used      df_avail  inode_total  inode_used  inode_avail
0x0000001000          2          1             1             1      0.000        ok       0.000  0x0005cd3800  0x0000185800  0x000594e000        25688          15        25673
0x0000001000          2          1             2             1      0.000        ok       0.000  0x0005cd3800  0x0000187000  0x000594c800        25688          17        25671
0x0000001000          2          1             3             1      0.000        ok       0.000  0x0005cd3800  0x0000188800  0x000594b000        25688          19        25669
0x0000001000          2          1             4             1      0.000        ok       0.000  0x0005cd3800  0x000018a000  0x0005949800        25688          21        25667
0x0000001000          2          1             5             1      0.000        ok       0.000  0x0005cd3800  0x000018b800  0x0005948000        25688          23        25665
0x0000001000          2          1             6             1      0.000        ok       0.000  0x0005cd3800  0x000018d000  0x0005946800        25688          25        25663
0x0000001000          2          1             7             1      0.000        ok       0.000  0x0005cd3800  0x000018e800  0x0005945000        25688          27        25661
0x0000001000          2          1             8             1      0.000        ok       0.000  0x0005cd3800  0x0000190000  0x0005943800        25688          29        25659
0x0000001000          2          1             9             1      0.000        ok       0.000  0x0005cd3800  0x0000191800  0x0005942000        25688          31        25657
0x0000001000          2          1            10             1      0.000        ok       0.000  0x0005cd3800  0x0000193000  0x0005940800        25688          33        25655
0x0000001000          2          1            11             1      0.000        ok       0.000  0x0005cd3800  0x0000194800  0x000593f000        25688          35        25653
0x0000001000          2          1            12             1      0.000        ok       0.000  0x0005cd3800  0x0000196000  0x000593d800        25688          37        25651
0x0000001000          2          1            13             1      0.000        ok       0.000  0x0005cd3800  0x0000197800  0x000593c000        25688          39        25649
0x0000001000          2          1            14             1      0.000        ok       0.000  0x0005cd3800  0x0000199000  0x000593a800        25688          41        25647
0x0000001000          2          1            15             1      0.000        ok       0.000  0x0005cd3800  0x000019a800  0x0005939000        25688          43        25645
