# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       f8/8f/f4/d9/cb/c6/4b/ccc6716365e9f56afbf16c3b60
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          7
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T00:26:01.269135
# commandline:   ./filesystem_limit.py --each-file-size=4096 --dir-split=2 --dir-depth=7 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   9948e52 FS test: track number of leaf directories created
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7576732 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
  each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  d_ct_time  write_ok  write_time      df_total       df_used      df_avail  inode_total  inode_used  inode_avail
0x0000001000          2          7         1         1         1      0.000        ok       0.000  0x0005cd3800  0x0000187000  0x000594c800        25688          21        25667
0x0000001000          2          7         2         2         1      0.000        ok       0.000  0x0005cd3800  0x000018a000  0x0005949800        25688          29        25659
0x0000001000          2          7         3         3         1      0.000        ok       0.000  0x0005cd3800  0x000018d000  0x0005946800        25688          37        25651
0x0000001000          2          7         4         4         1      0.000        ok       0.000  0x0005cd3800  0x0000190000  0x0005943800        25688          45        25643
0x0000001000          2          7         5         5         1      0.000        ok       0.000  0x0005cd3800  0x0000193000  0x0005940800        25688          53        25635
0x0000001000          2          7         6         6         1      0.000        ok       0.000  0x0005cd3800  0x0000196000  0x000593d800        25688          61        25627
0x0000001000          2          7         7         7         1      0.000        ok       0.000  0x0005cd3800  0x0000199000  0x000593a800        25688          69        25619
0x0000001000          2          7         8         8         1      0.000        ok       0.000  0x0005cd3800  0x000019c000  0x0005937800        25688          77        25611
0x0000001000          2          7         9         9         1      0.000        ok       0.000  0x0005cd3800  0x000019f000  0x0005934800        25688          85        25603
0x0000001000          2          7        10        10         1      0.000        ok       0.000  0x0005cd3800  0x00001a2000  0x0005931800        25688          93        25595
0x0000001000          2          7        11        11         1      0.000        ok       0.000  0x0005cd3800  0x00001a5000  0x000592e800        25688         101        25587
0x0000001000          2          7        12        12         1      0.000        ok       0.000  0x0005cd3800  0x00001a8000  0x000592b800        25688         109        25579
0x0000001000          2          7        13        13         1      0.000        ok       0.000  0x0005cd3800  0x00001ab000  0x0005928800        25688         117        25571
0x0000001000          2          7        14        14         1      0.000        ok       0.000  0x0005cd3800  0x00001ae000  0x0005925800        25688         125        25563
0x0000001000          2          7        15        15         1      0.000        ok       0.000  0x0005cd3800  0x00001b1000  0x0005922800        25688         133        25555
