# Committing increasingly large files
# 
# vcs:         bup
# vcs_version: debian/0.25-1
# data_gen:    random
# 
# date:          2016-10-14T17:15:46.952785
# commandline:   ./increasing_file_size.py bup 0 37 --mag-step=2 --data-gen=random --tmp=/test
# testversion:   94e6f2a Shorten filehsize and create_time columns
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7678332 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                         Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-test  197G   60M  197G   1% /test
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
mag     filebytes  filesize  cre_time   c1_time       c1_size   c1_cmd    c1_ver   c1_repo   c2_time       c2_size   c2_cmd    c2_ver   c2_repo   gc_time       gc_size   gc_cmd   gc_repo
  0  0x0000000001      1.0B     0.000     1.142  0x0000024000       ok   assumed   assumed     1.000  0x0000026000       ok   assumed   assumed     0.000  0x0000026000       ok   assumed
  0  0x0000000001      1.0B     0.000     0.914  0x0000024000       ok   assumed   assumed     0.994  0x0000026000       ok   assumed   assumed     0.000  0x0000026000       ok   assumed
  1  0x0000000002      2.0B     0.000     0.929  0x0000024000       ok   assumed   assumed     0.978  0x0000026000       ok   assumed   assumed     0.000  0x0000026000       ok   assumed
  1  0x0000000003      3.0B     0.000     0.936  0x0000024000       ok   assumed   assumed     0.991  0x0000026000       ok   assumed   assumed     0.000  0x0000026000       ok   assumed
  2  0x0000000004      4.0B     0.000     0.911  0x0000024000       ok   assumed   assumed     0.984  0x0000026000       ok   assumed   assumed     0.000  0x0000026000       ok   assumed
  2  0x0000000006      6.0B     0.000     0.956  0x0000024000       ok   assumed   assumed     0.974  0x0000026000       ok   assumed   assumed     0.000  0x0000026000       ok   assumed
  3  0x0000000008      8.0B     0.000     0.928  0x0000024000       ok   assumed   assumed     0.985  0x0000026000       ok   assumed   assumed     0.000  0x0000026000       ok   assumed
  3  0x000000000c     12.0B     0.000     0.939  0x0000024000       ok   assumed   assumed     0.997  0x0000026000       ok   assumed   assumed     0.000  0x0000026000       ok   assumed
  4  0x0000000010     16.0B     0.000     0.907  0x0000024000       ok   assumed   assumed     0.985  0x0000026000       ok   assumed   assumed     0.000  0x0000026000       ok   assumed
  4  0x0000000018     24.0B     0.000     0.927  0x0000024000       ok   assumed   assumed     1.007  0x0000026000       ok   assumed   assumed     0.000  0x0000026000       ok   assumed
  5  0x0000000020     32.0B     0.000     0.929  0x0000024000       ok   assumed   assumed     0.992  0x0000026000       ok   assumed   assumed     0.000  0x0000026000       ok   assumed
  5  0x0000000030     48.0B     0.000     0.900  0x0000024000       ok   assumed   assumed     0.985  0x0000026000       ok   assumed   assumed     0.000  0x0000026000       ok   assumed
  6  0x0000000040     64.0B     0.000     0.955  0x0000024000       ok   assumed   assumed     0.990  0x0000026000       ok   assumed   assumed     0.000  0x0000026000       ok   assumed
  6  0x0000000060     96.0B     0.000     0.928  0x0000024000       ok   assumed   assumed     1.009  0x0000026000       ok   assumed   assumed     0.000  0x0000026000       ok   assumed
  7  0x0000000080    128.0B     0.000     0.892  0x0000024000       ok   assumed   assumed     1.002  0x0000026000       ok   assumed   assumed     0.000  0x0000026000       ok   assumed
  7  0x00000000c0    192.0B     0.000     0.932  0x0000024000       ok   assumed   assumed     0.987  0x0000026000       ok   assumed   assumed     0.000  0x0000026000       ok   assumed
  8  0x0000000100    256.0B     0.000     0.919  0x0000024000       ok   assumed   assumed     0.990  0x0000026000       ok   assumed   assumed     0.000  0x0000026000       ok   assumed
  8  0x0000000180    384.0B     0.000     1.136  0x0000024000       ok   assumed   assumed     0.783  0x0000026000       ok   assumed   assumed     0.000  0x0000026000       ok   assumed
  9  0x0000000200    512.0B     0.000     0.914  0x0000024000       ok   assumed   assumed     1.005  0x0000026000       ok   assumed   assumed     0.000  0x0000026000       ok   assumed
  9  0x0000000300    768.0B     0.000     0.916  0x0000024000       ok   assumed   assumed     0.985  0x0000026000       ok   assumed   assumed     0.000  0x0000026000       ok   assumed
 10  0x0000000400    1.0KiB     0.000     0.933  0x0000024000       ok   assumed   assumed     0.985  0x0000026000       ok   assumed   assumed     0.000  0x0000026000       ok   assumed
 10  0x0000000600    1.5KiB     0.000     0.933  0x0000024000       ok   assumed   assumed     0.995  0x0000026000       ok   assumed   assumed     0.000  0x0000026000       ok   assumed
 11  0x0000000800    2.0KiB     0.000     0.908  0x0000024000       ok   assumed   assumed     1.002  0x0000026000       ok   assumed   assumed     0.000  0x0000026000       ok   assumed
 11  0x0000000c00    3.0KiB     0.000     0.909  0x0000024000       ok   assumed   assumed     1.003  0x0000026000       ok   assumed   assumed     0.000  0x0000026000       ok   assumed
 12  0x0000001000    4.0KiB     0.001     0.919  0x0000025000       ok   assumed   assumed     0.996  0x0000027000       ok   assumed   assumed     0.000  0x0000027000       ok   assumed
 12  0x0000001800    6.0KiB     0.001     0.929  0x0000026000       ok   assumed   assumed     0.985  0x0000028000       ok   assumed   assumed     0.000  0x0000028000       ok   assumed
 13  0x0000002000    8.0KiB     0.001     0.924  0x0000027000       ok   assumed   assumed     0.980  0x000002a000       ok   assumed   assumed     0.000  0x000002a000       ok   assumed
 13  0x0000003000   12.0KiB     0.001     0.924  0x0000029000       ok   assumed   assumed     0.976  0x000002b000       ok   assumed   assumed     0.000  0x000002b000       ok   assumed
 14  0x0000004000   16.0KiB     0.001     0.929  0x000002b000       ok   assumed   assumed     1.007  0x0000031000       ok   assumed   assumed     0.000  0x0000031000       ok   assumed
 14  0x0000006000   24.0KiB     0.002     0.903  0x000002f000       ok   assumed   assumed     1.005  0x0000033000       ok   assumed   assumed     0.000  0x0000033000       ok   assumed
 15  0x0000008000   32.0KiB     0.002     0.922  0x0000033000       ok   assumed   assumed     0.983  0x0000037000       ok   assumed   assumed     0.000  0x0000037000       ok   assumed
 15  0x000000c000   48.0KiB     0.003     0.929  0x000003b000       ok   assumed   assumed     0.990  0x0000040000       ok   assumed   assumed     0.000  0x0000040000       ok   assumed
 16  0x0000010000   64.0KiB     0.004     0.914  0x0000043000       ok   assumed   assumed     0.995  0x0000049000       ok   assumed   assumed     0.000  0x0000049000       ok   assumed
 16  0x0000018000   96.0KiB     0.008     0.916  0x0000053000       ok   assumed   assumed     0.988  0x0000056000       ok   assumed   assumed     0.000  0x0000056000       ok   assumed
 17  0x0000020000  128.0KiB     0.010     0.935  0x0000063000       ok   assumed   assumed     1.225  0x000006d000       ok   assumed   assumed     0.000  0x000006d000       ok   assumed
 17  0x0000030000  192.0KiB     0.015     0.668  0x0000083000       ok   assumed   assumed     0.985  0x000008d000       ok   assumed   assumed     0.000  0x000008d000       ok   assumed
