# Committing increasingly large files
# 
# vcs:         bup
# vcs_version: debian/0.25-1
# data_gen:    random
# 
# date:          2016-10-19T13:54:21.820748
# commandline:   ./increasing_file_size.py bup 0 38 --mag-step=2 --data-gen=random --tmp=/test
# testversion:   f01eee6 Fix magnitude/steps for base-10
# hostname:      murphytest01
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7939500 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                         Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest01--vg-test  197G   60M  197G   1% /test
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
mag     filebytes  filesize  cre_time   c1_time       c1_size   c1_cmd    c1_ver   c1_repo     c1_user     c1_nice   c1_system     c1_idle   c1_iowait   c2_time       c2_size   c2_cmd    c2_ver   c2_repo     c2_user     c2_nice   c2_system     c2_idle   c2_iowait   gc_time       gc_size   gc_cmd   gc_repo     gc_user     gc_nice   gc_system     gc_idle   gc_iowait
  0  0x0000000001      1.0B     0.000     1.261  0x0000024000       ok  verified   assumed          20           0           6         223           3     0.985  0x0000026000       ok  verified   assumed          20           0           7         157          12     0.000  0x0000026000       ok   assumed           0           0           0           0           0
  0  0x0000000001      1.0B     0.000     0.882  0x0000024000       ok  verified   assumed          20           0           6         143           6     0.995  0x0000026000       ok  verified   assumed          19           0           7         171           1     0.000  0x0000026000       ok   assumed           0           0           0           1           0
  1  0x0000000002      2.0B     0.000     0.902  0x0000024000       ok  verified   assumed          20           0           7         150           3     1.000  0x0000026000       ok  verified   assumed          20           0           8         172           0     0.000  0x0000026000       ok   assumed           0           0           0           0           0
  1  0x0000000003      3.0B     0.000     0.892  0x0000024000       ok  verified   assumed          20           0           6         147           5     0.988  0x0000026000       ok  verified   assumed          21           0           7         171           0     0.000  0x0000026000       ok   assumed           1           0           0           0           0
  2  0x0000000004      4.0B     0.000     0.921  0x0000024000       ok  verified   assumed          18           0           9         154           4     0.981  0x0000026000       ok  verified   assumed          21           0           6         167           3     0.000  0x0000026000       ok   assumed           0           0           0           0           0
  2  0x0000000006      6.0B     0.000     0.886  0x0000024000       ok  verified   assumed          20           0           6         143           7     0.989  0x0000026000       ok  verified   assumed          21           0           8         170           0     0.000  0x0000026000       ok   assumed           0           0           0           1           0
  3  0x0000000008      8.0B     0.000     0.897  0x0000024000       ok  verified   assumed          19           0           7         149           5     0.974  0x0000026000       ok  verified   assumed          19           0           7         168           0     0.000  0x0000026000       ok   assumed           0           0           0           0           0
  3  0x000000000c     12.0B     0.000     0.891  0x0000024000       ok  verified   assumed          22           0           6         148           3     0.976  0x0000026000       ok  verified   assumed          22           0           4         166           3     0.000  0x0000026000       ok   assumed           0           0           0           0           0
  4  0x0000000010     16.0B     0.000     0.903  0x0000024000       ok  verified   assumed          22           0           6         150           4     0.994  0x0000026000       ok  verified   assumed          21           0           7         172           0     0.000  0x0000026000       ok   assumed           0           0           0           0           0
  4  0x0000000018     24.0B     0.000     0.907  0x0000024000       ok  verified   assumed          19           0           7         150           5     0.977  0x0000026000       ok  verified   assumed          20           0           6         168           0     0.000  0x0000026000       ok   assumed           0           0           0           0           0
