# Committing increasingly large files
# 
# vcs:         git
# vcs_version: git version 2.1.4
# data_gen:    random
# 
# date:          2016-10-21T13:43:30.492632
# commandline:   ./increasing_file_size.py git 0 38 --mag-step=2 --data-gen=random --tmp=/test
# testversion:   b170c9a Give the time columns an extra digit
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7935644 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                         Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-test  197G   60M  197G   1% /test
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
mag     filebytes  filesize   cre_time    c1_time       c1_size   c1_cmd    c1_ver   c1_repo     c1_user     c1_nice   c1_system     c1_idle   c1_iowait    c2_time       c2_size   c2_cmd    c2_ver   c2_repo     c2_user     c2_nice   c2_system     c2_idle   c2_iowait    gc_time       gc_size   gc_cmd   gc_repo     gc_user     gc_nice   gc_system     gc_idle   gc_iowait
  0  0x0000000001      1.0B      0.000      0.005  0x0000028000       ok  verified   assumed           0           0           1           1           0      0.005  0x000002e000       ok  verified   assumed           1           0           0           0           0      0.098  0x0000026000       ok   assumed           1           0           1          11           8
  0  0x0000000001      1.0B      0.000      0.005  0x0000028000       ok  verified   assumed           0           0           1           0           0      0.005  0x000002e000       ok  verified   assumed           0           0           0           1           1      0.118  0x0000026000       ok   assumed           1           0           1          12          10
  1  0x0000000002      2.0B      0.000      0.005  0x0000028000       ok  verified   assumed           0           0           1           0           0      0.005  0x000002e000       ok  verified   assumed           0           0           0           1           0      0.124  0x0000026000       ok   assumed           0           0           1          12          11
  1  0x0000000003      3.0B      0.000      0.006  0x0000028000       ok  verified   assumed           0           0           1           1           0      0.005  0x000002e000       ok  verified   assumed           0           0           0           0           0      0.120  0x0000026000       ok   assumed           0           0           3          12          11
  2  0x0000000004      4.0B      0.000      0.005  0x0000028000       ok  verified   assumed           1           0           0           1           0      0.005  0x000002e000       ok  verified   assumed           1           0           0           0           0      0.102  0x0000026000       ok   assumed           0           0           1          10           9
  2  0x0000000006      6.0B      0.000      0.008  0x0000028000       ok  verified   assumed           0           0           1           1           0      0.006  0x000002e000       ok  verified   assumed           1           0           0           0           0      0.099  0x0000026000       ok   assumed           0           0           1          10           8
  3  0x0000000008      8.0B      0.000      0.005  0x0000028000       ok  verified   assumed           0           0           1           1           0      0.005  0x000002e000       ok  verified   assumed           0           0           0           0           0      0.183  0x0000026000       ok   assumed           0           0           1           8          27
  3  0x000000000c     12.0B      0.000      0.005  0x0000028000       ok  verified   assumed           0           0           1           1           0      0.005  0x000002e000       ok  verified   assumed           0           0           1           0           0      0.115  0x0000026000       ok   assumed           1           0           1          11          10
  4  0x0000000010     16.0B      0.000      0.005  0x0000028000       ok  verified   assumed           1           0           1           1           0      0.005  0x000002e000       ok  verified   assumed           0           0           0           0           0      0.108  0x0000026000       ok   assumed           1           0           1          10           9
  4  0x0000000018     24.0B      0.000      0.007  0x0000027000       ok  verified   assumed           0           0           1           0           0      0.005  0x000002d000       ok  verified   assumed           0           0           1           1           0      0.073  0x0000026000       ok   assumed           0           0           1           7           6
  5  0x0000000020     32.0B      0.000      0.005  0x0000028000       ok  verified   assumed           0           0           1           1           0      0.006  0x000002e000       ok  verified   assumed           0           0           1           1           0      0.095  0x0000026000       ok   assumed           1           0           1           9           8
  5  0x0000000030     48.0B      0.000      0.005  0x0000028000       ok  verified   assumed           0           0           0           1           0      0.006  0x000002e000       ok  verified   assumed           0           0           1           0           0      0.077  0x0000026000       ok   assumed           0           0           2           7           7
  6  0x0000000040     64.0B      0.000      0.005  0x0000028000       ok  verified   assumed           1           0           1           1           0      0.005  0x000002e000       ok  verified   assumed           1           0           0           0           0      0.113  0x0000026000       ok   assumed           1           0           1          11          10
  6  0x0000000060     96.0B      0.000      0.007  0x0000028000       ok  verified   assumed           0           0           1           1           0      0.005  0x000002e000       ok  verified   assumed           0           0           0           1           0      0.088  0x0000026000       ok   assumed           1           0           0           9           7
  7  0x0000000080    128.0B      0.000      0.005  0x0000028000       ok  verified   assumed           1           0           0           1           0      0.005  0x000002e000       ok  verified   assumed           0           0           1           1           0      0.091  0x0000026000       ok   assumed           0           0           1           9           8
  7  0x00000000c0    192.0B      0.000      0.008  0x0000028000       ok  verified   assumed           0           0           1           1           0      0.007  0x000002e000       ok  verified   assumed           1           0           0           1           0      0.096  0x0000026000       ok   assumed           0           0           1           9           8
  8  0x0000000100    256.0B      0.000      0.005  0x0000028000       ok  verified   assumed           0           0           1           1           0      0.005  0x000002e000       ok  verified   assumed           0           0           1           1           0      0.082  0x0000026000       ok   assumed           0           0           2           8           7
  8  0x0000000180    384.0B      0.000      0.008  0x0000028000       ok  verified   assumed           0           0           1           0           0      0.005  0x000002e000       ok  verified   assumed           0           0           1           1           0      0.109  0x0000026000       ok   assumed           1           0           1          11           9
  9  0x0000000200    512.0B      0.000      0.006  0x0000028000       ok  verified   assumed           0           0           1           0           0      0.005  0x000002e000       ok  verified   assumed           1           0           1           1           0      0.089  0x0000026000       ok   assumed           1           0           1           9           8
  9  0x0000000300    768.0B      0.000      0.005  0x0000028000       ok  verified   assumed           0           0           1           0           0      0.005  0x000002e000       ok  verified   assumed           1           0           1           1           0      0.122  0x0000026000       ok   assumed           1           0           1          12          11
 10  0x0000000400    1.0KiB      0.000      0.005  0x0000028000       ok  verified   assumed           1           0           1           0           0      0.005  0x000002e000       ok  verified   assumed           0           0           1           1           0      0.116  0x0000026000       ok   assumed           1           0           0          12          10
 10  0x0000000600    1.5KiB      0.000      0.005  0x0000028000       ok  verified   assumed           0           0           0           0           0      0.005  0x000002e000       ok  verified   assumed           0           0           0           1           0      0.098  0x0000026000       ok   assumed           0           0           2          10           8
 11  0x0000000800    2.0KiB      0.000      0.005  0x0000028000       ok  verified   assumed           0           0           1           0           0      0.007  0x000002e000       ok  verified   assumed           0           0           0           1           0      0.121  0x0000026000       ok   assumed           0           0           1          12          11
 11  0x0000000c00    3.0KiB      0.000      0.005  0x0000028000       ok  verified   assumed           0           0           1           1           0      0.005  0x000002e000       ok  verified   assumed           0           0           0           1           0      0.107  0x0000026000       ok   assumed           0           0           1          10           9
 12  0x0000001000    4.0KiB      0.000      0.007  0x0000029000       ok  verified   assumed           0           0           0           1           0      0.006  0x000002f000       ok  verified   assumed           0           0           1           1           0      0.095  0x0000027000       ok   assumed           1           0           1          10           8
 12  0x0000001800    6.0KiB      0.001      0.005  0x000002a000       ok  verified   assumed           1           0           0           1           0      0.005  0x0000031000       ok  verified   assumed           0           0           0           2           0      0.085  0x0000028000       ok   assumed           1           0           1           8           7
 13  0x0000002000    8.0KiB      0.001      0.005  0x000002b000       ok  verified   assumed           0           0           1           0           0      0.006  0x0000032000       ok  verified   assumed           0           0           1           1           1      0.104  0x0000029000       ok   assumed           2           0           1          10           9
 13  0x0000003000   12.0KiB      0.001      0.005  0x000002d000       ok  verified   assumed           0           0           1           0           0      0.006  0x0000035000       ok  verified   assumed           1           0           1           1           0      0.124  0x000002b000       ok   assumed           1           0           1          12          11
 14  0x0000004000   16.0KiB      0.002      0.005  0x000002f000       ok  verified   assumed           0           0           0           1           0      0.007  0x0000039000       ok  verified   assumed           1           0           1           0           0      0.115  0x000002d000       ok   assumed           0           0           2          11          10
 14  0x0000006000   24.0KiB      0.003      0.009  0x0000033000       ok  verified   assumed           0           0           1           1           0      0.009  0x000003f000       ok  verified   assumed           0           0           1           1           0      0.125  0x0000031000       ok   assumed           0           0           2          12          10
 15  0x0000008000   32.0KiB      0.002      0.007  0x0000037000       ok  verified   assumed           1           0           1           1           0      0.007  0x0000045000       ok  verified   assumed           0           0           1           0           0      0.118  0x0000035000       ok   assumed           0           0           1          11          11
 15  0x000000c000   48.0KiB      0.004      0.009  0x000003f000       ok  verified   assumed           1           0           1           1           0      0.012  0x0000051000       ok  verified   assumed           1           0           2           2           0      0.108  0x000003d000       ok   assumed           0           0           1          11           8
 16  0x0000010000   64.0KiB      0.004      0.008  0x0000047000       ok  verified   assumed           1           0           0           0           1      0.009  0x000005d000       ok  verified   assumed           1           0           1           0           1      0.151  0x0000045000       ok   assumed           0           0           1          15          13
 16  0x0000018000   96.0KiB      0.007      0.010  0x0000057000       ok  verified   assumed           1           0           0           1           0      0.010  0x0000075000       ok  verified   assumed           1           0           1           1           0      0.129  0x0000055000       ok   assumed           0           0           2          13          11
 17  0x0000020000  128.0KiB      0.009      0.010  0x0000067000       ok  verified   assumed           1           0           0           1           0      0.012  0x000008d000       ok  verified   assumed           0           0           1           1           0      0.136  0x0000065000       ok   assumed           2           0           1          14          12
 17  0x0000030000  192.0KiB      0.016      0.013  0x0000087000       ok  verified   assumed           1           0           0           2           0      0.021  0x00000bd000       ok  verified   assumed           3           0           0           2           0      0.132  0x0000085000       ok   assumed           0           0           2          13          11
 18  0x0000040000  256.0KiB      0.017      0.016  0x00000a7000       ok  verified   assumed           2           0           0           1           0      0.026  0x00000ed000       ok  verified   assumed           2           0           1           2           0      0.213  0x00000a5000       ok   assumed           2           0           2          21          18
 18  0x0000060000  384.0KiB      0.029      0.025  0x00000e7000       ok  verified   assumed           2           0           0           3           0      0.035  0x000014d000       ok  verified   assumed           4           0           0           4           0      0.120  0x00000e5000       ok   assumed           2           0           1          12           9
 19  0x0000080000  512.0KiB      0.037      0.027  0x0000127000       ok  verified   assumed           2           0           1           2           0      0.034  0x00001ad000       ok  verified   assumed           4           0           0           3           0      0.117  0x0000125000       ok   assumed           2           0           3          11           7
 19  0x00000c0000  768.0KiB      0.055      0.038  0x00001a7000       ok  verified   assumed           4           0           2           5           0      0.052  0x000026d000       ok  verified   assumed           5           0           1           6           0      0.153  0x00001a5000       ok   assumed           5           0           2          16          10
 20  0x0000100000    1.0MiB      0.072      0.050  0x0000227000       ok  verified   assumed           4           0           1           5           0      0.066  0x000032d000       ok  verified   assumed           6           0           1           6           0      0.168  0x0000225000       ok   assumed           6           0           2          17          10
 20  0x0000180000    1.5MiB      0.103      0.073  0x0000327000       ok  verified   assumed           7           0           0           7           0      0.091  0x00004ad000       ok  verified   assumed           8           0           0           9           0      0.198  0x0000325000       ok   assumed           7           0           4          20           9
 21  0x0000200000    2.0MiB      0.140      0.095  0x0000427000       ok  verified   assumed           9           0           1           9           0      0.124  0x000062d000       ok  verified   assumed          12           0           1          13           0      0.223  0x0000425000       ok   assumed          10           0           2          22          10
