# Committing increasingly large numbers of files
# 
# vcs:         git
# vcs_version: git version 2.1.4
# data_gen:    random
# 
# date:        2016-10-05T14:52:40.953405
# commandline: ./increasing_number_of_files.py git 0 26 --each-file-mag=10 --data-gen=random --mag-step=2 --tmp-dir=~/tmp
# testversion: 0b7b48e Log cleanup time time (but don't record)
# hostname:    murphytest01
# platform:    Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:    8064260 kB
# memfree:     7368152 kB
# 
# fsinfo:
# Filesystem                         Size  Used Avail Use% Mounted on
# /dev/mapper/murphytest01--vg-home  203G   99M  192G   1% /home
# 
# 
magnitude     filecount  filehcount   eachhsize    totalbytes  totalhsize  create_time  commit1_tim  commit1_size  commit1_ratio  errors
        0  0x0000000001         1.0      1.0KiB  0x0000000400      1.0KiB        0.000        0.005  0x000002b000         172.00   False
        0  0x0000000001         1.0      1.0KiB  0x0000000400      1.0KiB        0.000        0.007  0x000002b000         172.00   False
        1  0x0000000002         2.0      1.0KiB  0x0000000800      2.0KiB        0.001        0.007  0x000002e000          92.00   False
        1  0x0000000003         3.0      1.0KiB  0x0000000c00      3.0KiB        0.000        0.007  0x0000031000          65.33   False
        2  0x0000000004         4.0      1.0KiB  0x0000001000      4.0KiB        0.001        0.009  0x0000034000          52.00   False
        2  0x0000000006         6.0      1.0KiB  0x0000001800      6.0KiB        0.001        0.006  0x000003a000          38.67   False
        3  0x0000000008         8.0      1.0KiB  0x0000002000      8.0KiB        0.001        0.009  0x0000040000          32.00   False
        3  0x000000000c        12.0      1.0KiB  0x0000003000     12.0KiB        0.002        0.007  0x000004c000          25.33   False
        4  0x0000000010        16.0      1.0KiB  0x0000004000     16.0KiB        0.002        0.010  0x0000056000          21.50   False
        4  0x0000000018        24.0      1.0KiB  0x0000006000     24.0KiB        0.003        0.013  0x000006f000          18.50   False
        5  0x0000000020        32.0      1.0KiB  0x0000008000     32.0KiB        0.004        0.015  0x0000087000          16.88   False
        5  0x0000000030        48.0      1.0KiB  0x000000c000     48.0KiB        0.006        0.017  0x00000b5000          15.08   False
        6  0x0000000040        64.0      1.0KiB  0x0000010000     64.0KiB        0.008        0.017  0x00000dd000          13.81   False
        6  0x0000000060        96.0      1.0KiB  0x0000018000     96.0KiB        0.015        0.023  0x000013a000          13.08   False
        7  0x0000000080       128.0      1.0KiB  0x0000020000    128.0KiB        0.015        0.028  0x000018c000          12.38   False
        7  0x00000000c0       192.0      1.0KiB  0x0000030000    192.0KiB        0.029        0.039  0x0000232000          11.71   False
        8  0x0000000100       256.0      1.0KiB  0x0000040000    256.0KiB        0.034        0.050  0x00002ca000          11.16   False
        8  0x0000000180       384.0      1.0KiB  0x0000060000    384.0KiB        0.049        0.076  0x000042b000          11.11   False
        9  0x0000000200       512.0      1.0KiB  0x0000080000    512.0KiB        0.060        0.099  0x0000552000          10.64   False
        9  0x0000000300       768.0      1.0KiB  0x00000c0000    768.0KiB        0.093        0.133  0x0000785000          10.03   False
       10  0x0000000400       1.0Ki      1.0KiB  0x0000100000      1.0MiB        0.120        0.191  0x00009b3000           9.70   False
       10  0x0000000600       1.5Ki      1.0KiB  0x0000180000      1.5MiB        0.180        0.284  0x0000e00000           9.33   False
       11  0x0000000800       2.0Ki      1.0KiB  0x0000200000      2.0MiB        0.240        0.370  0x0001249000           9.14   False
       11  0x0000000c00       3.0Ki      1.0KiB  0x0000300000      3.0MiB        0.359        0.529  0x0001adc000           8.95   False
       12  0x0000001000       4.0Ki      1.0KiB  0x0000400000      4.0MiB        0.479        0.737  0x000236e000           8.86   False
       12  0x0000001800       6.0Ki      1.0KiB  0x0000600000      6.0MiB        0.721        0.962  0x00031e5000           8.32   False
       13  0x0000002000       8.0Ki      1.0KiB  0x0000800000      8.0MiB        0.962        1.278  0x0004225000           8.27   False
       13  0x0000003000      12.0Ki      1.0KiB  0x0000c00000     12.0MiB        1.451        1.922  0x00062a5000           8.22   False
       14  0x0000004000      16.0Ki      1.0KiB  0x0001000000     16.0MiB        1.962        2.309  0x0008329000           8.20   False
       14  0x0000006000      24.0Ki      1.0KiB  0x0001800000     24.0MiB        2.914        3.165  0x000c5dd000           8.24   False
       15  0x0000008000      32.0Ki      1.0KiB  0x0002000000     32.0MiB        3.835        4.353  0x0010727000           8.22   False
       15  0x000000c000      48.0Ki      1.0KiB  0x0003000000     48.0MiB        5.801        6.653  0x0018aeb000           8.23   False
       16  0x0000010000      64.0Ki      1.0KiB  0x0004000000     64.0MiB        8.123        9.085  0x0020d40000           8.21   False
       16  0x0000018000      96.0Ki      1.0KiB  0x0006000000     96.0MiB       12.271       24.642  0x0034170000           8.68   False
       17  0x0000020000     128.0Ki      1.0KiB  0x0008000000    128.0MiB       15.902       48.472  0x004550b000           8.66   False
       17  0x0000030000     192.0Ki      1.0KiB  0x000c000000    192.0MiB       25.291       43.536  0x0068097000           8.67   False
       18  0x0000040000     256.0Ki      1.0KiB  0x0010000000    256.0MiB       43.815       65.976  0x008a88b000           8.66   False
       18  0x0000060000     384.0Ki      1.0KiB  0x0018000000    384.0MiB       94.831      141.944  0x00cfe52000           8.66   False
       19  0x0000080000     512.0Ki      1.0KiB  0x0020000000    512.0MiB       74.924      335.668  0x0114fbf000           8.66   False
       19  0x00000c0000     768.0Ki      1.0KiB  0x0030000000    768.0MiB      121.642     1307.212  0x019f94d000           8.66   False
