# Committing increasingly large numbers of files
# 
# reformat_partition: /dev/murphytest04-vg/test
# vcs:                git
# vcs_version:        git version 2.1.4
# each_file_size:     0x400 bytes (1.0KiB)
# data_gen:           random
# 
# date:          2016-10-24T09:32:37.372137
# commandline:   ./increasing_number_of_files.py git 0 7 --mag-step=4 --data-gen=random --tmp=/test --reformat-partition /dev/murphytest04-vg/test
# testversion:   2759e67 Do an initial reformat just in case
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7917312 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                         Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-test  197G   60M  197G   1% /test
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
mag     filecount    totalbytes   cre_time    c1_time       c1_size   c1_cmd    c1_ver   c1_repo     c1_user     c1_nice   c1_system     c1_idle   c1_iowait  stat1_time  stat1_cmd  stat2_time  stat2_cmd    c2_time       c2_size   c2_cmd    c2_ver   c2_repo     c2_user     c2_nice   c2_system     c2_idle   c2_iowait  cleanup_time
  0             1  0x0000000400      0.000      0.005  0x000002b000       ok  verified   assumed           0           0           1           1           0       0.002         ok       0.003         ok      0.005  0x0000033000       ok  verified   assumed           0           0           1           1           0         2.860
  0             2  0x0000000800      0.000      0.005  0x000002e000       ok  verified   assumed           0           0           0           0           1       0.002         ok       0.018         ok      0.005  0x0000036000       ok  verified   assumed           0           0           1           0           0         2.762
  0             4  0x0000001000      0.001      0.006  0x0000034000       ok  verified   assumed           0           0           1           0           1       0.002         ok       0.018         ok      0.005  0x000003b000       ok  verified   assumed           0           0           1           1           0         2.718
  0             6  0x0000001800      0.001      0.006  0x0000039000       ok  verified   assumed           1           0           1           1           0       0.003         ok       0.003         ok      0.008  0x0000041000       ok  verified   assumed           0           0           0           2           0         2.684
  1            10  0x0000002800      0.001      0.007  0x0000046000       ok  verified   assumed           1           0           1           0           0       0.003         ok       0.004         ok      0.005  0x000004e000       ok  verified   assumed           0           0           1           1           0         2.717
  1            25  0x0000006400      0.003      0.020  0x0000073000       ok  verified   assumed           2           0           1           1           0       0.003         ok       0.003         ok      0.007  0x000007d000       ok  verified   assumed           0           0           1           1           0         2.748
  1            50  0x000000c800      0.012      0.015  0x00000bd000       ok  verified   assumed           1           0           1           2           0       0.003         ok       0.003         ok      0.007  0x00000c9000       ok  verified   assumed           0           0           0           1           0         2.859
  1            75  0x0000012c00      0.009      0.019  0x0000100000       ok  verified   assumed           3           0           1           1           0       0.003         ok       0.003         ok      0.008  0x000010d000       ok  verified   assumed           1           0           1           1           0         2.746
  2           100  0x0000019000      0.012      0.024  0x0000147000       ok  verified   assumed           1           0           2           2           0       0.004         ok       0.004         ok      0.010  0x0000156000       ok  verified   assumed           1           0           1           1           0         2.815
  2           250  0x000003e800      0.035      0.058  0x0000301000       ok  verified   assumed           2           0           4           6           0       0.008         ok       0.006         ok      0.016  0x0000333000       ok  verified   assumed           1           0           1           2           0         3.066
  2           500  0x000007d000      0.059      0.103  0x000055a000       ok  verified   assumed           5           0           6          10           0       0.008         ok       0.009         ok      0.019  0x00005a5000       ok  verified   assumed           1           0           2           2           0         2.978
  2           750  0x00000bb800      0.090      0.149  0x000079d000       ok  verified   assumed          11           0           6          14           0       0.011         ok       0.012         ok      0.044  0x00007ff000       ok  verified   assumed           4           0           1           4           0         2.934
