# Committing increasingly large numbers of files
# 
# reformat_partition: /dev/murphytest03-vg/test
# vcs:                git
# vcs_version:        git version 2.1.4
# each_file_size:     0x400 bytes (1.0KiB)
# data_gen:           random
# 
# date:          2016-10-25T10:30:41.772825
# commandline:   ./increasing_number_of_files.py git 0 7 --mag-step=4 --data-gen=random --tmp=/test --reformat-partition /dev/murphytest03-vg/test
# testversion:   b170c9a Give the time columns an extra digit
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7892824 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                         Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-test  197G   60M  197G   1% /test
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
mag     filecount    totalbytes   cre_time    c1_time       c1_size   c1_cmd    c1_ver   c1_repo     c1_user     c1_nice   c1_system     c1_idle   c1_iowait  stat1_time  stat1_cmd  stat2_time  stat2_cmd    c2_time       c2_size   c2_cmd    c2_ver   c2_repo     c2_user     c2_nice   c2_system     c2_idle   c2_iowait  cleanup_time
  0             1  0x0000000400      0.000      0.012  0x000002b000       ok  verified   assumed           0           0           0           2           0       0.002         ok       0.002         ok      0.013  0x0000032000       ok  verified   assumed           1           0           0           2           1         2.853
  0             2  0x0000000800      0.000      0.005  0x000002e000       ok  verified   assumed           0           0           1           0           0       0.002         ok       0.049         ok      0.005  0x0000036000       ok  verified   assumed           0           0           1           1           0         3.080
  0             4  0x0000001000      0.001      0.006  0x0000033000       ok  verified   assumed           1           0           0           0           0       0.002         ok       0.028         ok      0.005  0x000003b000       ok  verified   assumed           1           0           0           1           0         2.844
  0             6  0x0000001800      0.001      0.007  0x000003a000       ok  verified   assumed           1           0           0           0           0       0.002         ok       0.010         ok      0.005  0x0000042000       ok  verified   assumed           1           0           1           1           0         2.884
  1            10  0x0000002800      0.001      0.007  0x0000046000       ok  verified   assumed           0           0           1           0           1       0.002         ok       0.006         ok      0.005  0x000004e000       ok  verified   assumed           0           0           1           0           0         2.836
  1            25  0x0000006400      0.003      0.011  0x0000072000       ok  verified   assumed           0           0           1           1           1       0.003         ok       0.026         ok      0.008  0x000007c000       ok  verified   assumed           0           0           0           0           0         2.913
  1            50  0x000000c800      0.006      0.018  0x00000b9000       ok  verified   assumed           1           0           1           0           0       0.003         ok       0.012         ok      0.008  0x00000c6000       ok  verified   assumed           0           0           0           0           0         2.825
  1            75  0x0000012c00      0.009      0.025  0x00000f9000       ok  verified   assumed           2           0           1           2           0       0.003         ok       0.045         ok      0.008  0x0000108000       ok  verified   assumed           0           0           1           1           0         2.901
  2           100  0x0000019000      0.016      0.024  0x0000145000       ok  verified   assumed           0           0           2           2           0       0.004         ok       0.078         ok      0.009  0x0000156000       ok  verified   assumed           1           0           0           1           0         2.827
  2           250  0x000003e800      0.030      0.056  0x00002f1000       ok  verified   assumed           3           0           4           6           0       0.005         ok       0.075         ok      0.016  0x000031e000       ok  verified   assumed           0           0           2           2           0         3.011
  2           500  0x000007d000      0.062      0.093  0x000055b000       ok  verified   assumed           6           0           4           7           2       0.004         ok       0.005         ok      0.019  0x00005a3000       ok  verified   assumed           2           0           2           1           2         3.006
  2           750  0x00000bb800      0.093      0.146  0x00007a2000       ok  verified   assumed           8           0           6          14           1       0.011         ok       0.062         ok      0.037  0x0000805000       ok  verified   assumed           1           0           3           4           0         3.074
  3          1000  0x00000fa000      0.121      0.178  0x00009d0000       ok  verified   assumed           9           0           9          17           0       0.006         ok       0.007         ok      0.033  0x0000a51000       ok  verified   assumed           2           0           2           3           0         3.138
