# Committing increasingly large numbers of files
# 
# reformat_partition: /dev/murphytest01-vg/test
# vcs:                prototype
# vcs_version:        prototype: git version 0356e84 Fix: Prevent update from corrupting cache files
# each_file_size:     0x400 bytes (1.0KiB)
# data_gen:           random
# 
# date:          2017-03-21T18:11:45.193156
# commandline:   ./increasing_number_of_files.py prototype 0 7 --mag-step=4 --data-gen=random --tmp=/test --reformat-partition /dev/murphytest01-vg/test
# testversion:   73d416c Fix: Remove accidental double-reformat
# hostname:      murphytest01
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7331412 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                         Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest01--vg-test  197G   60M  197G   1% /test
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
mag     filecount    totalbytes   cre_time    c1_time       c1_size   c1_cmd    c1_ver   c1_repo     c1_user     c1_nice   c1_system     c1_idle   c1_iowait  stat1_time  stat1_cmd  stat2_time  stat2_cmd    c2_time       c2_size   c2_cmd    c2_ver   c2_repo     c2_user     c2_nice   c2_system     c2_idle   c2_iowait  cleanup_time
  0             1  0x0000000400      0.000      0.103  0x0000014000       ok  verified   assumed           2           0           0          18           1       0.003         ok       0.003         ok      0.004  0x0000020000       ok  verified   assumed           0           0           0           1           0         2.945
  0             2  0x0000000800      0.000      0.104  0x0000018000       ok  verified   assumed           2           0           1          16           3       0.003         ok       0.003         ok      0.005  0x0000024000       ok  verified   assumed           1           0           0           0           0         2.746
  0             4  0x0000001000      0.001      0.103  0x0000020000       ok  verified   assumed           2           0           0          17           0       0.003         ok       0.003         ok      0.004  0x000002b000       ok  verified   assumed           0           0           0           0           0         2.858
  0             6  0x0000001800      0.001      0.104  0x0000028000       ok  verified   assumed           2           0           1          16           2       0.003         ok       0.003         ok      0.004  0x0000033000       ok  verified   assumed           1           0           1           0           0         2.954
  1            10  0x0000002800      0.001      0.104  0x0000038000       ok  verified   assumed           1           0           1          17           2       0.003         ok       0.003         ok      0.004  0x0000044000       ok  verified   assumed           1           0           0           1           0         2.819
  1            25  0x0000006400      0.003      0.106  0x0000072000       ok  verified   assumed           2           0           1          17           1       0.003         ok       0.003         ok      0.108  0x0000081000       ok  verified   assumed           2           0           0          20           0         2.842
  1            50  0x000000c800      0.006      0.107  0x00000d4000       ok  verified   assumed           1           0           2          18           1       0.004         ok       0.004         ok      0.112  0x00000e8000       ok  verified   assumed           0           0           2          21           0         3.014
  1            75  0x0000012c00      0.009      0.108  0x0000134000       ok  verified   assumed           2           0           2          17           1       0.005         ok       0.005         ok      0.114  0x000014a000       ok  verified   assumed           1           0           1          22           0         2.903
  2           100  0x0000019000      0.012      0.110  0x0000190000       ok  verified   assumed           2           0           3          18           0       0.005         ok       0.007         ok      0.115  0x00001ab000       ok  verified   assumed           1           0           1          22           0         2.916
  2           250  0x000003e800      0.030      0.126  0x00003fe000       ok  verified   assumed           4           0           3          19           0       0.011         ok       0.010         ok      0.127  0x0000452000       ok  verified   assumed           1           0           2          22           0         3.016
  2           500  0x000007d000      0.060      0.142  0x0000796000       ok  verified   assumed           5           0           5          16           2       0.019         ok       0.018         ok      0.140  0x000081e000       ok  verified   assumed           1           0           4          23           0         3.199
  2           750  0x00000bb800      0.089      0.265  0x0000af4000       ok  verified   assumed           4           0          10          35           3       0.028         ok       0.026         ok      0.163  0x0000bba000       ok  verified   assumed           1           0           6          25           0         3.187
