# Committing increasingly large numbers of files
# 
# reformat_partition: /dev/murphytest03-vg/test
# vcs:                prototype
# vcs_version:        prototype: git version b2d03d1 Mem: Remove old compare walker
# each_file_size:     0x400 bytes (1.0KiB)
# data_gen:           random
# 
# date:          2017-03-24T11:26:17.287530
# commandline:   ./increasing_number_of_files.py prototype 0 8 --mag-step=4 --data-gen=random --tmp=/test --reformat-partition /dev/murphytest03-vg/test
# testversion:   31479dc Dirs: Use fewer dirs in many files test
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7667248 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                         Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-test  197G  644M  197G   1% /test
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
mag     filecount    totalbytes   cre_time    c1_time       c1_size   c1_cmd    c1_ver   c1_repo     c1_user     c1_nice   c1_system     c1_idle   c1_iowait  stat1_time  stat1_cmd  stat2_time  stat2_cmd    c2_time       c2_size   c2_cmd    c2_ver   c2_repo     c2_user     c2_nice   c2_system     c2_idle   c2_iowait  cleanup_time
  0             1  0x0000000400      0.000      0.110  0x0000010000       ok  verified   assumed           2           0           0          18           1       0.004         ok       0.002         ok      0.104  0x0000018000       ok  verified   assumed           0           0           0          20           0         2.760
  0             2  0x0000000800      0.000      0.104  0x0000013000       ok  verified   assumed           1           0           1          15           3       0.003         ok       0.003         ok      0.104  0x000001b000       ok  verified   assumed           0           0           0          21           0         2.809
  0             4  0x0000001000      0.001      0.104  0x0000019000       ok  verified   assumed           2           0           0          15           3       0.003         ok       0.003         ok      0.105  0x0000021000       ok  verified   assumed           0           0           1          21           0         2.792
  0             6  0x0000001800      0.001      0.104  0x000001f000       ok  verified   assumed           1           0           1          16           2       0.004         ok       0.003         ok      0.104  0x0000027000       ok  verified   assumed           0           0           1          21           0         2.954
  1            10  0x0000002800      0.001      0.104  0x000002b000       ok  verified   assumed           0           0           0          21           0       0.004         ok       0.004         ok      0.105  0x0000033000       ok  verified   assumed           0           0           0          20           0         2.820
  1            25  0x0000006400      0.003      0.107  0x0000054000       ok  verified   assumed           2           0           1          17           1       0.004         ok       0.003         ok      0.107  0x000005d000       ok  verified   assumed           1           0           1          19           1         2.830
  1            50  0x000000c800      0.006      0.109  0x00000a0000       ok  verified   assumed           1           0           2          18           0       0.004         ok       0.004         ok      0.112  0x00000ac000       ok  verified   assumed           0           0           2          20           0         2.894
  1            75  0x0000012c00      0.017      0.110  0x00000e4000       ok  verified   assumed           1           0           2          20           0       0.004         ok       0.004         ok      0.112  0x00000f4000       ok  verified   assumed           1           0           1          21           0         2.847
  2           100  0x0000019000      0.011      0.028  0x0000126000       ok  verified   assumed           2           0           2           1           0       0.005         ok       0.006         ok      0.119  0x0000137000       ok  verified   assumed           2           0           1          20           0         2.713
  2           250  0x000003e800      0.038      0.126  0x00002ed000       ok  verified   assumed           2           0           5          20           1       0.010         ok       0.012         ok      0.124  0x0000319000       ok  verified   assumed           1           0           3          22           0         2.871
